ticker,date,open,high,low,close,volume
ACB,2015-01-01,1.61,1.63,1.58,1.62,243047.65
ACB,2015-02-01,1.27,1.29,1.25,1.27,131469.36
ACB,2015-03-01,1.83,1.85,1.82,1.83,146952.29
ACB,2015-04-01,1.6,1.62,1.59,1.6,48574.57
ACB,2015-05-01,1.68,1.72,1.67,1.7,224935.52
ACB,2015-06-01,2.48,2.55,2.44,2.48,628317.83
ACB,2015-07-01,2.63,2.69,2.59,2.63,722644.13
ACB,2015-08-01,2.13,2.16,2.07,2.11,365080.03
ACB,2015-09-01,2.12,2.15,2.09,2.12,200090.03
ACB,2015-10-01,2.31,2.34,2.29,2.32,204260.29
ACB,2015-11-01,2.25,2.27,2.22,2.24,74178.13
ACB,2015-12-01,2.29,2.31,2.27,2.3,60098.74
ACB,2016-01-01,1.97,1.98,1.94,1.96,71521.48
ACB,2016-02-01,1.69,1.72,1.67,1.7,83910.52
ACB,2016-03-01,2.27,2.28,2.24,2.25,91770.84
ACB,2016-04-01,1.92,1.94,1.9,1.92,55727.53
ACB,2016-05-01,1.9,1.92,1.88,1.9,140521.32
ACB,2016-06-01,2.2,2.22,2.19,2.22,62241.33
ACB,2016-07-01,2.0,2.02,1.98,2.0,132784.55
ACB,2016-08-01,2.09,2.1,2.08,2.09,62606.23
ACB,2016-09-01,1.96,1.98,1.94,1.97,108736.7
ACB,2016-10-01,2.07,2.1,2.05,2.08,273468.13
ACB,2016-11-01,2.23,2.24,2.22,2.23,138693.8
ACB,2016-12-01,2.16,2.18,2.13,2.15,170171.48
ACB,2017-01-01,2.05,2.11,2.03,2.08,532226.84
ACB,2017-02-01,2.77,2.8,2.74,2.77,740815.93
ACB,2017-03-01,3.09,3.15,3.05,3.1,2419592.03
ACB,2017-04-01,2.6,2.64,2.57,2.6,1532619.13
ACB,2017-05-01,2.87,2.93,2.85,2.88,1841279.65
ACB,2017-06-01,3.34,3.38,3.31,3.34,1687770.7
ACB,2017-07-01,3.06,3.08,3.03,3.05,913536.58
ACB,2017-08-01,3.43,3.49,3.41,3.45,1312587.68
ACB,2017-09-01,3.38,3.43,3.34,3.37,1023802.57
ACB,2017-10-01,3.92,3.99,3.87,3.93,1350931.74
ACB,2017-11-01,4.16,4.23,4.12,4.18,1463785.83
ACB,2017-12-01,4.18,4.24,4.11,4.19,2159569.35
ACB,2018-01-01,4.97,5.06,4.91,4.99,3607887.55
ACB,2018-02-01,3.96,4.07,3.9,4.01,2432615.0
ACB,2018-03-01,6.14,6.23,6.04,6.14,3076352.77
ACB,2018-04-01,5.87,6.0,5.74,5.87,2778306.4
ACB,2018-05-01,5.76,5.93,5.62,5.78,2349859.77
ACB,2018-06-01,5.47,5.55,5.32,5.43,2913965.07
ACB,2018-07-01,4.69,4.83,4.52,4.67,3700171.74
ACB,2018-08-01,5.34,5.41,5.28,5.35,3421719.39
ACB,2018-09-01,4.72,4.77,4.66,4.71,2376852.5
ACB,2018-10-01,5.2,5.27,5.1,5.17,2585955.71
ACB,2018-11-01,4.7,4.8,4.64,4.73,2115514.7
ACB,2018-12-01,4.27,4.36,4.21,4.3,1581589.52
ACB,2019-01-01,4.58,4.64,4.49,4.56,977456.42
ACB,2019-02-01,3.61,3.65,3.58,3.61,1249064.89
ACB,2019-03-01,4.61,4.65,4.58,4.61,1592927.55
ACB,2019-04-01,4.23,4.27,4.2,4.23,720756.67
ACB,2019-05-01,4.62,4.66,4.58,4.62,723943.0
ACB,2019-06-01,4.27,4.31,4.25,4.27,562388.07
ACB,2019-07-01,4.97,5.01,4.9,4.94,1097893.45
ACB,2019-08-01,4.51,4.57,4.46,4.53,885249.74
ACB,2019-09-01,4.35,4.4,4.3,4.34,933378.43
ACB,2019-10-01,5.09,5.14,5.04,5.1,1589887.29
ACB,2019-11-01,4.87,4.92,4.82,4.87,1513525.87
ACB,2019-12-01,4.68,4.7,4.64,4.67,768868.61
ACB,2020-01-01,3.68,3.73,3.65,3.68,1225836.39
ACB,2020-02-01,4.87,5.02,4.8,4.95,3499957.28
ACB,2020-03-01,4.56,4.65,4.4,4.5,4430495.42
ACB,2020-04-01,3.85,3.97,3.76,3.87,2009057.43
