ticker,date,open,high,low,close,volume
HHV,2015-12-01,2.61,2.42,2.42,2.42,3.23
HHV,2016-01-01,5.37,5.37,5.37,5.37,0.0
HHV,2016-02-01,4.59,4.59,4.59,4.59,0.0
HHV,2016-03-01,6.17,6.17,6.17,6.17,0.0
HHV,2016-04-01,5.31,5.31,5.31,5.31,53.33
HHV,2016-05-01,4.91,4.91,4.91,4.91,17.74
HHV,2016-06-01,5.09,5.09,5.09,5.09,6.33
HHV,2016-07-01,4.51,4.51,4.47,4.51,54.19
HHV,2016-08-01,4.18,4.18,4.18,4.18,41.94
HHV,2016-09-01,2.46,2.46,2.46,2.46,26.67
HHV,2016-10-01,1.62,1.62,1.62,1.62,3.23
HHV,2016-11-01,1.75,1.67,1.67,1.67,3.33
HHV,2016-12-01,3.42,3.42,3.42,3.42,25.81
HHV,2017-01-01,2.79,2.79,2.79,2.79,0.0
HHV,2017-02-01,3.45,3.45,3.45,3.45,0.0
HHV,2017-03-01,3.88,3.88,3.88,3.88,16.13
HHV,2017-04-01,4.19,4.19,4.19,4.19,0.0
HHV,2017-05-01,4.48,4.48,4.48,4.48,0.0
HHV,2017-06-01,4.85,4.85,4.85,4.85,0.0
HHV,2017-07-01,4.48,4.48,4.48,4.48,0.0
HHV,2017-08-01,4.9,4.9,4.9,4.9,0.0
HHV,2017-09-01,4.4,4.4,4.4,4.4,0.0
HHV,2017-10-01,4.68,4.68,4.68,4.68,0.0
HHV,2017-11-01,4.84,4.84,4.84,4.84,0.0
HHV,2017-12-01,4.47,4.47,4.47,4.47,0.0
HHV,2018-01-01,4.47,4.47,4.47,4.47,65.16
HHV,2018-02-01,3.03,3.03,3.03,3.03,0.0
HHV,2018-03-01,4.41,4.41,4.41,4.41,3.23
HHV,2018-04-01,4.13,4.13,4.13,4.13,3.33
HHV,2018-05-01,4.67,4.67,4.67,4.67,80.65
HHV,2018-06-01,4.55,4.55,4.55,4.55,23.33
HHV,2018-07-01,4.53,4.53,4.53,4.53,0.0
HHV,2018-08-01,4.73,4.73,4.73,4.73,0.0
HHV,2018-09-01,4.08,4.08,4.08,4.08,3.33
HHV,2018-10-01,4.98,4.98,4.98,4.98,13.55
HHV,2018-11-01,4.92,4.92,4.92,4.92,0.0
HHV,2018-12-01,4.33,4.33,4.33,4.33,0.0
HHV,2019-01-01,4.76,4.76,4.76,4.76,0.0
HHV,2019-02-01,3.59,3.59,3.59,3.59,0.0
HHV,2019-03-01,4.55,4.55,4.55,4.55,0.0
HHV,2019-04-01,4.92,4.92,4.92,4.92,6.67
HHV,2019-05-01,5.71,5.71,5.71,5.71,0.0
HHV,2019-06-01,5.38,5.63,5.63,5.63,86.67
HHV,2019-07-01,5.99,5.99,5.99,5.99,0.0
HHV,2019-08-01,6.15,6.11,6.1,6.1,22.58
HHV,2019-09-01,6.59,6.59,6.59,6.59,146.67
HHV,2019-10-01,7.28,7.42,7.12,7.3,1153.1
HHV,2019-11-01,7.56,7.81,7.46,7.56,1175.97
HHV,2019-12-01,6.6,6.63,6.6,6.63,116.03
HHV,2020-01-01,4.69,4.69,4.69,4.69,71.23
HHV,2020-02-01,8.11,8.12,8.11,8.12,42.48
HHV,2020-03-01,7.67,7.63,7.59,7.59,45.39
HHV,2020-04-01,8.04,8.33,7.99,8.3,803.9
HHV,2020-05-01,8.15,8.15,8.15,8.16,56.52
HHV,2020-06-01,9.15,9.15,9.11,9.1,346.3
HHV,2020-07-01,9.27,9.27,9.27,9.27,16.13
HHV,2020-08-01,8.4,8.44,8.4,8.45,169.74
HHV,2020-09-01,8.94,9.22,9.02,9.2,189.37
HHV,2020-10-01,8.84,8.84,8.84,8.84,3.23
HHV,2020-11-01,8.01,8.01,8.01,8.01,56.67
HHV,2020-12-01,9.33,9.33,9.33,9.33,177.42
HHV,2021-01-01,9.52,9.59,9.4,9.49,521.45
HHV,2021-02-01,7.74,7.75,7.72,7.73,114.29
HHV,2021-03-01,10.48,10.62,10.4,10.52,431.42
HHV,2021-04-01,9.7,9.81,9.64,9.75,372.6
HHV,2021-05-01,9.35,9.42,9.34,9.41,499.06
HHV,2021-06-01,9.43,9.73,9.16,9.42,487204.37
HHV,2021-07-01,9.84,10.1,9.54,9.84,1392716.9
HHV,2021-08-01,10.51,10.83,10.28,10.57,4540374.97
HHV,2021-09-01,10.62,10.81,10.36,10.55,4390571.07
HHV,2021-10-01,10.31,10.47,10.15,10.32,3088613.68
HHV,2021-11-01,12.52,12.96,12.21,12.61,8978053.57
HHV,2021-12-01,14.53,14.89,14.19,14.54,7444140.77
HHV,2022-01-01,6.29,6.45,6.08,6.26,3458456.65
HHV,2022-02-01,10.36,10.53,10.17,10.38,2304239.29
HHV,2022-03-01,13.37,13.59,13.19,13.34,3300577.42
HHV,2022-04-01,10.9,11.08,10.59,10.73,2542630.0
HHV,2022-05-01,7.81,8.01,7.61,7.78,1159577.42
HHV,2022-06-01,7.56,7.74,7.39,7.49,1108660.0
HHV,2022-07-01,6.76,6.94,6.64,6.8,1268035.48
HHV,2022-08-01,8.52,8.66,8.37,8.52,1456767.74
HHV,2022-09-01,7.67,7.86,7.5,7.66,2513430.33
HHV,2022-10-01,5.74,5.89,5.54,5.65,1572066.77
HHV,2022-11-01,4.88,5.05,4.74,4.88,1682062.7
HHV,2022-12-01,5.11,5.24,4.95,5.08,2097092.94
HHV,2023-01-01,4.71,4.84,4.6,4.73,3342953.74
HHV,2023-02-01,7.29,7.49,7.06,7.24,5806964.46
HHV,2023-03-01,7.8,7.95,7.67,7.8,4635164.29
HHV,2023-04-01,6.97,7.06,6.87,6.94,3925415.7
HHV,2023-05-01,6.99,7.1,6.9,7.0,5278321.16
HHV,2023-06-01,8.91,9.04,8.77,8.9,6671046.4
HHV,2023-07-01,9.1,9.21,8.98,9.07,5065159.9
HHV,2023-08-01,9.82,9.94,9.65,9.75,5051115.52
HHV,2023-09-01,8.9,9.08,8.69,8.88,7585300.53
HHV,2023-10-01,9.54,9.72,9.23,9.45,6340084.52
HHV,2023-11-01,9.35,9.54,9.17,9.35,5159700.63
HHV,2023-12-01,9.43,9.55,9.31,9.42,4208401.13
HHV,2024-01-01,10.1,10.19,9.99,10.07,4477023.87
HHV,2024-02-01,7.82,7.88,7.74,7.79,3407221.21
HHV,2024-03-01,9.49,9.57,9.38,9.45,5635919.19
HHV,2024-04-01,8.22,8.3,8.06,8.13,5022358.77
HHV,2024-05-01,8.4,8.5,8.3,8.39,3896391.61
HHV,2024-06-01,7.92,7.99,7.83,7.86,3064180.2
HHV,2024-07-01,8.3,8.36,8.19,8.26,1563520.71
HHV,2024-08-01,7.67,7.8,7.53,7.66,3256573.1
HHV,2024-09-01,7.25,7.38,7.17,7.26,3322155.93
HHV,2024-10-01,8.45,8.54,8.36,8.41,2972548.32
HHV,2024-11-01,7.43,7.5,7.33,7.39,1736741.3
HHV,2024-12-01,7.63,7.73,7.55,7.63,2383722.32
HHV,2025-01-01,6.24,6.36,6.17,6.26,3867828.71
HHV,2025-02-01,8.72,8.84,8.63,8.71,6546694.32
HHV,2025-03-01,8.14,8.23,8.04,8.11,5267619.68
HHV,2025-04-01,7.37,7.52,7.25,7.36,4818452.5
HHV,2025-05-01,7.53,7.61,7.42,7.5,5106373.13
HHV,2025-06-01,8.23,8.33,8.15,8.21,5237920.0
HHV,2025-07-01,9.3,9.45,9.15,9.28,11335750.32
HHV,2025-08-01,9.86,10.08,9.6,9.83,13572935.48
HHV,2025-09-01,10.27,10.48,10.04,10.25,9894246.67
HHV,2025-10-01,3.55,3.59,3.48,3.51,2457900.0
