ticker,date,open,high,low,close,volume
NVL,2016-12-01,2.47,2.49,2.42,2.47,414237.42
NVL,2017-01-01,13.7,13.78,13.63,13.72,573328.71
NVL,2017-02-01,17.77,18.06,17.67,17.85,870317.86
NVL,2017-03-01,21.87,22.1,21.61,21.85,788913.23
NVL,2017-04-01,19.08,19.23,18.95,19.09,259024.67
NVL,2017-05-01,19.65,19.74,19.5,19.61,357752.26
NVL,2017-06-01,21.21,21.31,21.06,21.22,747194.33
NVL,2017-07-01,19.47,19.53,19.32,19.47,868231.94
NVL,2017-08-01,20.02,20.08,19.76,19.94,1295103.55
NVL,2017-09-01,17.27,17.4,17.08,17.3,1326106.67
NVL,2017-10-01,18.59,18.68,18.48,18.58,1091820.0
NVL,2017-11-01,18.96,19.11,18.81,18.96,1148056.33
NVL,2017-12-01,17.81,17.96,17.7,17.83,453592.58
NVL,2018-01-01,22.93,23.31,22.69,23.12,1113476.13
NVL,2018-02-01,18.36,18.63,18.3,18.52,1469788.93
NVL,2018-03-01,24.67,25.22,24.47,24.79,1954073.55
NVL,2018-04-01,25.28,25.84,24.88,25.38,1614603.33
NVL,2018-05-01,21.04,21.51,20.49,21.0,2034105.48
NVL,2018-06-01,20.17,20.38,19.89,20.2,1965754.33
NVL,2018-07-01,21.21,21.62,20.93,21.42,643669.68
NVL,2018-08-01,26.44,26.62,25.98,26.49,401837.42
NVL,2018-09-01,23.12,23.42,22.73,23.12,429428.0
NVL,2018-10-01,28.21,28.63,27.69,28.32,438770.32
NVL,2018-11-01,28.42,28.69,28.02,28.37,175373.33
NVL,2018-12-01,23.78,24.04,23.55,23.76,216171.94
NVL,2019-01-01,23.16,23.38,22.77,23.13,381147.42
NVL,2019-02-01,17.33,17.56,17.2,17.32,329019.64
NVL,2019-03-01,22.04,22.39,21.8,22.02,436317.42
NVL,2019-04-01,20.0,20.2,19.87,20.04,267571.33
NVL,2019-05-01,23.09,23.29,22.91,23.1,330245.16
NVL,2019-06-01,21.93,22.17,21.69,21.94,381552.67
NVL,2019-07-01,24.59,24.76,24.31,24.51,364917.1
NVL,2019-08-01,23.95,24.28,23.76,24.08,376588.71
NVL,2019-09-01,23.07,23.28,22.85,23.09,267601.33
NVL,2019-10-01,25.38,25.62,25.16,25.33,297740.32
NVL,2019-11-01,22.62,22.74,22.4,22.53,261210.0
NVL,2019-12-01,22.03,22.46,21.99,22.28,235525.16
NVL,2020-01-01,17.0,17.14,16.78,16.99,181825.81
NVL,2020-02-01,20.79,20.95,20.47,20.78,375786.55
NVL,2020-03-01,20.62,20.82,20.31,20.71,452356.13
NVL,2020-04-01,19.35,19.53,19.09,19.4,436112.67
NVL,2020-05-01,19.06,19.38,18.72,19.1,767739.68
NVL,2020-06-01,23.03,23.51,22.78,23.25,881004.67
NVL,2020-07-01,25.94,26.27,25.72,26.02,720786.45
NVL,2020-08-01,23.96,24.21,23.74,24.03,1032288.06
NVL,2020-09-01,24.65,24.89,24.46,24.68,983745.67
NVL,2020-10-01,24.72,24.88,24.5,24.69,1002337.42
NVL,2020-11-01,24.07,24.1,23.8,24.02,957034.33
NVL,2020-12-01,26.52,26.91,26.31,26.61,2171127.74
NVL,2021-01-01,26.59,27.32,26.11,26.78,3319754.84
NVL,2021-02-01,24.3,24.62,23.85,24.24,1246153.57
NVL,2021-03-01,33.73,33.99,33.31,33.7,1637019.35
NVL,2021-04-01,37.43,38.44,36.95,38.12,2021086.67
NVL,2021-05-01,48.83,49.76,48.17,49.01,1241216.13
NVL,2021-06-01,60.22,61.07,59.48,60.42,1795300.0
NVL,2021-07-01,58.6,59.24,57.45,58.35,2312622.58
NVL,2021-08-01,56.76,57.37,56.33,56.76,2022777.42
NVL,2021-09-01,52.59,52.76,52.31,52.53,1383146.67
NVL,2021-10-01,53.47,54.07,53.12,53.58,1925135.48
NVL,2021-11-01,59.23,59.92,58.61,59.15,2313153.33
NVL,2021-12-01,64.79,65.65,63.71,64.77,2833180.65
NVL,2022-01-01,50.73,51.16,49.91,50.52,1535938.71
NVL,2022-02-01,44.77,45.03,44.2,44.61,1580410.71
NVL,2022-03-01,58.59,59.43,57.86,58.56,3479841.94
NVL,2022-04-01,55.47,56.25,54.63,55.55,2939100.0
