ticker,date,open,high,low,close,volume
GMD,2015-01-01,5.92,6.0,5.87,5.93,154681.29
GMD,2015-02-01,4.39,4.41,4.33,4.36,44178.21
GMD,2015-03-01,6.26,6.31,6.21,6.25,102448.39
GMD,2015-04-01,5.49,5.55,5.44,5.5,88325.33
GMD,2015-05-01,6.03,6.14,5.96,6.05,186547.74
GMD,2015-06-01,6.98,7.04,6.93,6.97,122561.67
GMD,2015-07-01,7.59,7.71,7.53,7.63,249860.65
GMD,2015-08-01,7.1,7.19,7.0,7.1,190601.61
GMD,2015-09-01,7.2,7.26,7.13,7.19,109965.0
GMD,2015-10-01,8.6,8.79,8.52,8.67,317757.42
GMD,2015-11-01,8.9,9.0,8.76,8.85,274344.67
GMD,2015-12-01,9.53,9.68,9.46,9.58,239994.84
GMD,2016-01-01,8.46,8.56,8.35,8.46,182440.0
GMD,2016-02-01,7.21,7.26,7.12,7.19,121902.41
GMD,2016-03-01,9.57,9.65,9.51,9.56,180987.42
GMD,2016-04-01,8.47,8.57,8.41,8.5,132656.33
GMD,2016-05-01,9.09,9.19,8.97,9.07,240438.71
GMD,2016-06-01,10.5,10.62,10.36,10.51,189243.67
GMD,2016-07-01,9.41,9.52,9.3,9.39,236252.58
GMD,2016-08-01,10.5,10.71,10.4,10.52,411862.9
GMD,2016-09-01,10.04,10.17,9.93,10.04,294786.67
GMD,2016-10-01,9.65,9.74,9.56,9.63,150613.87
GMD,2016-11-01,10.08,10.2,9.97,10.06,177285.33
GMD,2016-12-01,9.75,9.82,9.68,9.72,126904.19
GMD,2017-01-01,7.82,7.9,7.75,7.85,166906.13
GMD,2017-02-01,10.57,10.83,10.47,10.7,603522.86
GMD,2017-03-01,13.41,13.62,13.19,13.4,668261.29
GMD,2017-04-01,10.72,10.87,10.59,10.73,344584.67
GMD,2017-05-01,13.53,13.8,13.28,13.5,1026313.55
GMD,2017-06-01,15.94,16.21,15.76,15.98,792697.0
GMD,2017-07-01,14.46,14.66,14.31,14.45,358864.84
GMD,2017-08-01,15.59,15.8,15.47,15.61,430281.94
GMD,2017-09-01,14.44,14.63,14.31,14.42,524379.33
GMD,2017-10-01,15.71,15.86,15.53,15.62,513989.03
GMD,2017-11-01,15.29,15.55,15.08,15.32,502170.0
GMD,2017-12-01,14.3,14.42,14.09,14.22,426299.68
GMD,2018-01-01,15.94,16.2,15.68,15.97,817914.19
GMD,2018-02-01,11.4,11.59,11.17,11.32,601495.71
GMD,2018-03-01,14.54,14.73,14.21,14.43,1058829.03
GMD,2018-04-01,11.67,11.8,11.49,11.6,516435.0
GMD,2018-05-01,11.96,12.13,11.71,11.91,333045.48
GMD,2018-06-01,11.94,12.14,11.75,11.94,345315.0
GMD,2018-07-01,10.97,11.13,10.78,10.95,272253.55
GMD,2018-08-01,12.18,12.34,12.03,12.19,494978.71
GMD,2018-09-01,11.09,11.24,10.99,11.1,712504.67
GMD,2018-10-01,13.28,13.52,13.09,13.31,1032123.87
GMD,2018-11-01,13.9,14.07,13.75,13.9,911023.0
GMD,2018-12-01,12.08,12.16,11.92,12.01,314670.97
GMD,2019-01-01,12.34,12.46,12.22,12.32,227137.1
GMD,2019-02-01,9.74,9.83,9.66,9.75,332425.36
GMD,2019-03-01,12.45,12.56,12.34,12.41,317729.35
GMD,2019-04-01,11.09,11.16,11.0,11.06,149042.0
GMD,2019-05-01,12.57,12.68,12.47,12.57,222402.9
GMD,2019-06-01,11.64,11.72,11.54,11.62,154927.0
GMD,2019-07-01,13.31,13.42,13.23,13.29,303794.52
GMD,2019-08-01,13.03,13.26,12.91,13.12,686525.48
GMD,2019-09-01,12.31,12.39,12.21,12.28,377757.0
GMD,2019-10-01,13.38,13.47,13.27,13.33,260317.74
GMD,2019-11-01,12.36,12.43,12.26,12.31,185166.0
GMD,2019-12-01,11.81,11.89,11.69,11.8,143795.48
GMD,2020-01-01,8.44,8.49,8.25,8.35,231695.48
GMD,2020-02-01,9.41,9.55,9.25,9.47,276587.59
GMD,2020-03-01,8.5,8.66,8.33,8.52,280750.65
GMD,2020-04-01,7.95,8.12,7.84,8.02,323684.67
GMD,2020-05-01,8.75,8.84,8.6,8.74,261293.23
GMD,2020-06-01,10.28,10.44,10.08,10.27,286377.67
GMD,2020-07-01,9.96,10.07,9.87,9.99,155560.97
GMD,2020-08-01,10.23,10.49,10.14,10.33,460376.77
GMD,2020-09-01,12.01,12.18,11.92,12.07,461789.0
GMD,2020-10-01,12.51,12.63,12.35,12.48,402406.13
GMD,2020-11-01,13.39,13.64,13.22,13.46,987300.67
GMD,2020-12-01,17.11,17.5,16.82,17.2,3858217.1
GMD,2021-01-01,15.88,16.27,15.49,15.85,2703616.13
GMD,2021-02-01,12.33,12.65,12.05,12.45,1542967.86
GMD,2021-03-01,18.16,18.39,17.83,18.14,1768761.29
GMD,2021-04-01,16.87,17.19,16.61,16.91,1637640.0
GMD,2021-05-01,17.55,17.9,17.29,17.6,2048238.71
GMD,2021-06-01,22.49,22.95,22.17,22.58,1955553.33
GMD,2021-07-01,22.32,22.8,21.85,22.37,2251290.32
GMD,2021-08-01,25.85,26.42,25.47,25.96,3326206.45
GMD,2021-09-01,25.73,26.15,25.33,25.68,2081896.67
GMD,2021-10-01,25.89,26.32,25.61,25.93,2492448.39
GMD,2021-11-01,28.9,29.35,28.4,28.83,2867490.0
GMD,2021-12-01,27.16,27.42,26.77,27.06,1142374.19
GMD,2022-01-01,20.52,20.85,20.16,20.37,862841.94
GMD,2022-02-01,21.39,21.86,21.08,21.55,1365507.14
GMD,2022-03-01,30.56,31.43,29.93,30.74,2843941.94
GMD,2022-04-01,28.02,28.9,27.36,27.99,1906666.67
GMD,2022-05-01,26.13,27.04,25.49,26.23,1762929.03
GMD,2022-06-01,30.68,31.47,29.86,30.58,2397980.0
GMD,2022-07-01,25.52,25.9,25.08,25.42,792596.77
GMD,2022-08-01,29.31,29.66,28.97,29.29,872022.58
GMD,2022-09-01,24.65,24.92,24.33,24.6,542812.27
GMD,2022-10-01,24.72,25.14,24.13,24.67,634082.81
GMD,2022-11-01,25.38,26.17,24.84,25.53,583056.13
GMD,2022-12-01,25.99,26.3,25.58,25.81,211912.39
GMD,2023-01-01,19.4,19.66,19.2,19.44,278827.65
GMD,2023-02-01,29.34,29.77,28.74,29.16,517038.04
GMD,2023-03-01,29.17,29.48,28.82,29.13,308092.0
GMD,2023-04-01,27.56,27.84,27.24,27.5,513843.73
GMD,2023-05-01,25.27,25.46,25.01,25.14,417848.1
GMD,2023-06-01,29.4,29.72,29.11,29.37,630247.8
GMD,2023-07-01,29.82,30.16,29.45,29.81,888648.97
GMD,2023-08-01,32.47,32.91,32.02,32.52,1045536.32
GMD,2023-09-01,31.97,32.64,31.34,31.95,1184658.4
GMD,2023-10-01,36.46,37.11,35.61,36.27,1003579.65
GMD,2023-11-01,40.03,40.77,39.58,40.21,827135.47
GMD,2023-12-01,38.13,38.45,37.56,38.04,587041.68
GMD,2024-01-01,40.18,40.42,39.71,40.05,652188.29
GMD,2024-02-01,31.43,31.8,31.08,31.53,721291.9
GMD,2024-03-01,43.09,43.59,42.28,43.03,1247126.55
GMD,2024-04-01,40.53,41.16,39.93,40.59,1106061.93
GMD,2024-05-01,47.92,48.45,47.25,47.79,1331822.45
GMD,2024-06-01,45.01,45.49,44.51,44.91,1113636.23
GMD,2024-07-01,48.88,49.28,48.25,48.92,855540.81
GMD,2024-08-01,46.58,47.11,46.05,46.65,593225.13
GMD,2024-09-01,40.78,40.96,40.41,40.72,454045.13
GMD,2024-10-01,46.08,46.44,45.63,46.02,726423.58
GMD,2024-11-01,43.85,44.24,43.23,43.88,817664.47
GMD,2024-12-01,45.16,45.52,44.78,45.19,578416.58
GMD,2025-01-01,33.21,33.52,32.83,33.23,424113.48
GMD,2025-02-01,42.73,43.01,42.4,42.66,708354.14
GMD,2025-03-01,39.16,39.37,38.69,39.03,984894.74
GMD,2025-04-01,31.22,31.85,30.57,31.26,2103014.63
GMD,2025-05-01,34.45,34.99,33.87,34.57,1896138.74
GMD,2025-06-01,38.37,38.86,37.89,38.27,1323272.9
GMD,2025-07-01,43.2,43.59,42.52,43.11,2374871.03
GMD,2025-08-01,41.31,42.26,40.64,41.59,3241012.9
GMD,2025-09-01,46.82,47.35,45.84,46.72,1940180.0
GMD,2025-10-01,15.14,15.27,14.93,15.09,389435.48
