ticker,date,open,high,low,close,volume
HCM,2015-01-01,2.75,2.78,2.72,2.75,204154.84
HCM,2015-02-01,2.1,2.12,2.07,2.09,68824.29
HCM,2015-03-01,3.04,3.07,3.01,3.03,162967.1
HCM,2015-04-01,2.62,2.65,2.6,2.62,115398.33
HCM,2015-05-01,2.58,2.62,2.53,2.57,273939.68
HCM,2015-06-01,3.47,3.55,3.43,3.48,668300.67
HCM,2015-07-01,3.92,3.99,3.87,3.93,768545.16
HCM,2015-08-01,3.55,3.64,3.51,3.59,930516.13
HCM,2015-09-01,3.61,3.64,3.57,3.59,442916.33
HCM,2015-10-01,3.65,3.68,3.61,3.64,515421.94
HCM,2015-11-01,3.37,3.4,3.34,3.35,244982.0
HCM,2015-12-01,3.25,3.29,3.22,3.24,160684.52
HCM,2016-01-01,2.51,2.56,2.47,2.51,300485.16
HCM,2016-02-01,2.23,2.28,2.21,2.25,310063.45
HCM,2016-03-01,3.33,3.37,3.28,3.31,485763.23
HCM,2016-04-01,2.8,2.83,2.77,2.79,337046.0
HCM,2016-05-01,2.74,2.78,2.72,2.75,402860.65
HCM,2016-06-01,3.35,3.39,3.31,3.34,671976.0
HCM,2016-07-01,3.17,3.22,3.13,3.16,655849.03
HCM,2016-08-01,3.14,3.17,3.11,3.13,339034.52
HCM,2016-09-01,2.98,3.0,2.96,2.98,339894.67
HCM,2016-10-01,2.84,2.86,2.82,2.83,211848.06
HCM,2016-11-01,2.89,2.9,2.85,2.88,155452.67
HCM,2016-12-01,2.78,2.81,2.75,2.78,191291.94
HCM,2017-01-01,2.28,2.31,2.27,2.29,163330.0
HCM,2017-02-01,3.04,3.09,3.0,3.04,457018.21
HCM,2017-03-01,3.49,3.53,3.45,3.49,423831.29
HCM,2017-04-01,3.03,3.06,2.99,3.01,317892.33
HCM,2017-05-01,3.88,3.99,3.81,3.9,783778.39
HCM,2017-06-01,4.9,4.97,4.83,4.9,501690.33
HCM,2017-07-01,4.53,4.59,4.46,4.52,388716.77
HCM,2017-08-01,4.65,4.71,4.59,4.63,264009.68
HCM,2017-09-01,4.11,4.17,4.07,4.12,290277.0
HCM,2017-10-01,4.53,4.59,4.48,4.53,279548.39
HCM,2017-11-01,4.99,5.11,4.94,5.04,343296.67
HCM,2017-12-01,5.69,5.82,5.61,5.74,243876.45
HCM,2018-01-01,7.14,7.32,7.05,7.23,292147.42
HCM,2018-02-01,6.53,6.72,6.42,6.58,244213.57
HCM,2018-03-01,8.54,8.69,8.37,8.51,304805.81
HCM,2018-04-01,8.14,8.27,7.93,8.08,368019.33
HCM,2018-05-01,7.48,7.64,7.3,7.48,224335.48
HCM,2018-06-01,7.15,7.29,6.99,7.16,174924.0
HCM,2018-07-01,5.82,6.01,5.68,5.86,265805.48
HCM,2018-08-01,6.88,7.01,6.79,6.89,214620.97
HCM,2018-09-01,6.38,6.48,6.31,6.41,165814.0
HCM,2018-10-01,7.27,7.38,7.15,7.25,126185.48
HCM,2018-11-01,6.48,6.56,6.38,6.47,89600.0
HCM,2018-12-01,5.47,5.52,5.37,5.42,100393.23
HCM,2019-01-01,5.07,5.14,4.98,5.05,145462.9
HCM,2019-02-01,4.56,4.63,4.47,4.56,332697.14
HCM,2019-03-01,6.3,6.39,6.22,6.29,352826.45
HCM,2019-04-01,5.36,5.44,5.3,5.34,370785.67
HCM,2019-05-01,5.92,6.0,5.85,5.92,364773.55
HCM,2019-06-01,5.28,5.34,5.21,5.26,192835.0
HCM,2019-07-01,5.86,5.92,5.79,5.83,510749.03
HCM,2019-08-01,4.94,5.02,4.87,4.94,726013.23
HCM,2019-09-01,5.06,5.16,5.02,5.09,790496.0
HCM,2019-10-01,5.8,5.87,5.73,5.78,623056.13
HCM,2019-11-01,5.82,5.92,5.75,5.82,915048.33
HCM,2019-12-01,5.42,5.49,5.34,5.39,484905.81
HCM,2020-01-01,4.04,4.08,3.98,4.02,580503.87
HCM,2020-02-01,4.39,4.49,4.33,4.4,912863.1
HCM,2020-03-01,3.59,3.69,3.51,3.58,1033744.84
HCM,2020-04-01,3.57,3.66,3.49,3.61,1435958.0
HCM,2020-05-01,4.02,4.12,3.95,4.04,1667490.97
HCM,2020-06-01,4.87,5.03,4.82,4.92,1972740.0
HCM,2020-07-01,4.89,4.96,4.8,4.87,1377238.71
HCM,2020-08-01,4.34,4.4,4.29,4.35,1631677.1
HCM,2020-09-01,5.02,5.1,4.97,5.04,2325294.0
HCM,2020-10-01,5.62,5.7,5.52,5.6,2118791.29
HCM,2020-11-01,5.76,5.83,5.7,5.78,2044037.33
HCM,2020-12-01,7.47,7.66,7.35,7.54,4029120.32
HCM,2021-01-01,7.35,7.52,7.15,7.33,3894603.23
HCM,2021-02-01,5.5,5.63,5.38,5.51,2415353.57
HCM,2021-03-01,8.49,8.6,8.36,8.47,2995922.58
HCM,2021-04-01,7.9,8.01,7.72,7.85,2769870.0
HCM,2021-05-01,8.26,8.49,8.16,8.37,3795545.16
HCM,2021-06-01,11.7,12.07,11.48,11.84,4815680.0
HCM,2021-07-01,12.7,13.04,12.39,12.69,4023719.35
HCM,2021-08-01,13.93,14.24,13.69,14.0,4914341.94
HCM,2021-09-01,13.43,13.62,13.18,13.36,3045186.67
HCM,2021-10-01,12.64,12.79,12.45,12.56,2585267.74
HCM,2021-11-01,15.96,16.36,15.73,16.06,4566443.33
