ticker,date,open,high,low,close,volume
ACB,2025-11-27 09:15:00,25.0,25.41,24.79,24.84,2555
ACB,2025-11-27 09:16:00,25.01,25.48,24.57,24.97,2555
ACB,2025-11-27 09:17:00,25.02,25.41,24.58,24.92,2555
ACB,2025-11-27 09:18:00,25.03,25.29,24.62,25.01,2555
ACB,2025-11-27 09:19:00,25.03,25.34,24.73,25.22,2555
ACB,2025-11-27 09:20:00,25.04,25.48,24.91,25.02,2555
ACB,2025-11-27 09:21:00,25.05,25.18,24.81,25.11,2555
ACB,2025-11-27 09:22:00,25.06,25.47,24.57,25.02,2555
ACB,2025-11-27 09:23:00,25.07,25.49,24.77,24.89,2555
ACB,2025-11-27 09:24:00,25.08,25.32,24.88,25.15,2555
ACB,2025-11-27 09:25:00,25.08,25.54,24.69,25.0,2555
ACB,2025-11-27 09:26:00,25.09,25.49,24.99,25.08,2555
ACB,2025-11-27 09:27:00,25.1,25.59,24.75,25.3,2555
ACB,2025-11-27 09:28:00,25.11,25.34,24.78,25.31,2555
ACB,2025-11-27 09:29:00,25.12,25.24,24.77,25.1,2555
ACB,2025-11-27 09:30:00,25.13,25.61,24.67,25.14,2555
ACB,2025-11-27 09:31:00,25.13,25.46,24.73,25.02,2555
ACB,2025-11-27 09:32:00,25.14,25.39,25.03,25.09,2555
ACB,2025-11-27 09:33:00,25.15,25.47,24.96,24.97,2555
ACB,2025-11-27 09:34:00,25.16,25.26,24.82,25.24,2555
ACB,2025-11-27 09:35:00,25.17,25.46,24.71,25.12,2555
ACB,2025-11-27 09:36:00,25.18,25.47,25.06,25.34,2555
ACB,2025-11-27 09:37:00,25.18,25.53,24.95,25.28,2555
ACB,2025-11-27 09:38:00,25.19,25.6,24.85,25.02,2555
ACB,2025-11-27 09:39:00,25.2,25.36,24.78,25.18,2555
ACB,2025-11-27 09:40:00,25.21,25.47,24.93,25.22,2555
ACB,2025-11-27 09:41:00,25.22,25.52,24.99,25.08,2555
ACB,2025-11-27 09:42:00,25.23,25.7,24.86,25.09,2555
ACB,2025-11-27 09:43:00,25.23,25.48,25.01,25.36,2555
ACB,2025-11-27 09:44:00,25.24,25.51,24.9,25.28,2555
ACB,2025-11-27 09:45:00,25.25,25.38,24.81,25.31,2555
ACB,2025-11-27 09:46:00,25.26,25.64,25.08,25.31,2555
ACB,2025-11-27 09:47:00,25.27,25.4,24.78,25.34,2555
ACB,2025-11-27 09:48:00,25.28,25.4,25.15,25.26,2555
ACB,2025-11-27 09:49:00,25.28,25.46,24.94,25.39,2555
ACB,2025-11-27 09:50:00,25.29,25.67,24.87,25.3,2555
ACB,2025-11-27 09:51:00,25.3,25.61,25.08,25.41,2555
ACB,2025-11-27 09:52:00,25.31,25.49,24.98,25.3,2555
ACB,2025-11-27 09:53:00,25.32,25.61,25.15,25.44,2555
ACB,2025-11-27 09:54:00,25.33,25.7,25.19,25.39,2555
ACB,2025-11-27 09:55:00,25.34,25.56,24.97,25.25,2555
ACB,2025-11-27 09:56:00,25.34,25.59,25.19,25.46,2555
ACB,2025-11-27 09:57:00,25.35,25.76,25.12,25.39,2555
ACB,2025-11-27 09:58:00,25.36,25.81,25.0,25.43,2555
ACB,2025-11-27 09:59:00,25.37,25.49,25.22,25.56,2555
ACB,2025-11-27 10:00:00,25.38,25.81,25.07,25.41,2555
ACB,2025-11-27 10:01:00,25.39,25.86,24.92,25.36,2555
ACB,2025-11-27 10:02:00,25.39,25.67,25.05,25.54,2555
ACB,2025-11-27 10:03:00,25.4,25.86,25.21,25.26,2555
ACB,2025-11-27 10:04:00,25.41,25.55,24.98,25.5,2555
ACB,2025-11-27 10:05:00,25.42,25.66,25.24,25.4,2555
ACB,2025-11-27 10:06:00,25.43,25.76,25.13,25.52,2555
ACB,2025-11-27 10:07:00,25.44,25.62,24.94,25.57,2555
ACB,2025-11-27 10:08:00,25.44,25.86,25.09,25.3,2555
ACB,2025-11-27 10:09:00,25.45,25.56,25.29,25.31,2555
ACB,2025-11-27 10:10:00,25.46,25.67,25.25,25.52,2555
ACB,2025-11-27 10:11:00,25.47,25.86,25.1,25.39,2555
ACB,2025-11-27 10:12:00,25.48,25.81,25.12,25.48,2555
ACB,2025-11-27 10:13:00,25.49,25.59,25.31,25.4,2555
ACB,2025-11-27 10:14:00,25.49,25.94,25.04,25.47,2555
ACB,2025-11-27 10:15:00,25.5,25.69,25.36,25.66,2555
ACB,2025-11-27 10:16:00,25.51,25.86,25.05,25.69,2555
ACB,2025-11-27 10:17:00,25.52,25.96,25.27,25.42,2555
ACB,2025-11-27 10:18:00,25.53,25.7,25.06,25.65,2555
ACB,2025-11-27 10:19:00,25.54,25.84,25.43,25.37,2555
ACB,2025-11-27 10:20:00,25.54,25.87,25.4,25.37,2555
