ticker,date,open,high,low,close,volume
VTP,2018-11-23 00:00:00,29.17,29.17,29.17,29.17,300
VTP,2018-11-26 00:00:00,33.53,33.53,33.53,33.53,27094
VTP,2018-11-27 00:00:00,35.55,38.55,35.24,38.55,537111
VTP,2018-11-28 00:00:00,38.0,38.46,36.8,37.88,222479
VTP,2018-11-29 00:00:00,36.77,37.69,36.77,37.57,73164
VTP,2018-11-30 00:00:00,37.2,38.61,37.08,38.31,231733
VTP,2018-12-03 00:00:00,38.31,40.42,37.91,40.39,319690
VTP,2018-12-04 00:00:00,40.14,40.14,38.77,38.86,68512
VTP,2018-12-05 00:00:00,38.77,38.86,38.31,38.46,52206
VTP,2018-12-06 00:00:00,38.61,38.64,38.31,38.4,37708
VTP,2018-12-07 00:00:00,38.92,39.29,38.31,39.07,80191
VTP,2018-12-10 00:00:00,39.84,39.84,38.77,38.92,20121
VTP,2018-12-11 00:00:00,39.53,39.53,38.67,38.86,30281
VTP,2018-12-12 00:00:00,38.77,39.53,38.73,39.22,83476
VTP,2018-12-13 00:00:00,39.22,39.38,38.86,39.22,76827
VTP,2018-12-14 00:00:00,38.92,39.26,38.61,38.92,44141
VTP,2018-12-17 00:00:00,38.61,38.61,38.31,38.58,78264
VTP,2018-12-18 00:00:00,38.31,38.58,38.0,38.31,103463
VTP,2018-12-19 00:00:00,38.31,38.31,37.54,37.69,48025
VTP,2018-12-20 00:00:00,37.82,39.22,37.82,38.92,120522
VTP,2018-12-21 00:00:00,38.92,39.44,38.67,39.44,228817
VTP,2018-12-24 00:00:00,39.16,39.22,38.46,39.04,57530
VTP,2018-12-25 00:00:00,38.43,38.89,38.31,38.89,40364
VTP,2018-12-26 00:00:00,38.61,38.8,38.37,38.4,25390
VTP,2018-12-27 00:00:00,38.52,39.41,38.52,39.22,157114
VTP,2018-12-28 00:00:00,39.38,39.93,39.07,39.93,195413
VTP,2019-01-02 00:00:00,39.62,40.6,39.53,40.3,194456
VTP,2019-01-03 00:00:00,40.14,40.14,39.84,39.84,69816
VTP,2019-01-04 00:00:00,39.56,39.99,39.53,39.84,44320
VTP,2019-01-07 00:00:00,39.84,40.36,39.84,40.36,60058
VTP,2019-01-08 00:00:00,40.14,40.21,39.84,39.9,34685
VTP,2019-01-09 00:00:00,39.84,40.14,39.53,40.14,47870
VTP,2019-01-10 00:00:00,39.96,42.29,39.93,41.58,197524
VTP,2019-01-11 00:00:00,42.6,43.06,41.83,43.06,137356
VTP,2019-01-14 00:00:00,43.21,44.4,42.9,44.28,139579
VTP,2019-01-15 00:00:00,43.97,43.97,37.39,43.52,241318
VTP,2019-01-16 00:00:00,43.52,46.27,43.52,46.24,85160
VTP,2019-01-17 00:00:00,45.35,48.42,45.35,47.5,178928
VTP,2019-01-18 00:00:00,45.97,47.68,45.97,47.5,137173
VTP,2019-01-21 00:00:00,47.47,47.47,45.51,46.52,101385
VTP,2019-01-22 00:00:00,47.47,47.47,46.58,47.01,152546
VTP,2019-01-23 00:00:00,47.47,47.47,46.58,47.04,34923
VTP,2019-01-24 00:00:00,46.86,47.81,46.86,47.5,91611
VTP,2019-01-25 00:00:00,47.5,47.56,46.89,47.5,55181
VTP,2019-01-28 00:00:00,47.5,47.56,46.89,47.35,42313
VTP,2019-01-29 00:00:00,46.89,47.41,46.58,47.41,16496
VTP,2019-01-30 00:00:00,47.5,47.5,47.16,47.47,31047
VTP,2019-01-31 00:00:00,47.5,51.08,47.5,50.56,120731
VTP,2019-02-01 00:00:00,49.64,51.48,49.64,51.45,9500
VTP,2019-02-11 00:00:00,51.48,53.63,51.45,53.6,20326
VTP,2019-02-12 00:00:00,52.1,53.38,50.26,51.48,143011
VTP,2019-02-13 00:00:00,50.56,52.13,49.95,51.79,23972
VTP,2019-02-14 00:00:00,51.64,52.34,51.64,52.34,16980
VTP,2019-02-15 00:00:00,52.25,52.71,51.79,51.82,35126
VTP,2019-02-18 00:00:00,52.34,52.37,50.87,51.94,44880
VTP,2019-02-19 00:00:00,51.54,52.4,51.54,52.16,50057
VTP,2019-02-20 00:00:00,52.1,52.71,52.1,52.1,46403
VTP,2019-02-21 00:00:00,52.1,53.93,52.1,53.01,83754
VTP,2019-02-22 00:00:00,53.63,53.69,52.71,52.98,15930
VTP,2019-02-25 00:00:00,53.17,53.17,51.48,51.94,31650
VTP,2019-02-26 00:00:00,51.88,53.32,51.82,53.32,40656
VTP,2019-02-27 00:00:00,53.63,53.63,52.71,52.71,9291
VTP,2019-02-28 00:00:00,53.01,53.01,52.1,53.01,15510
VTP,2019-03-01 00:00:00,52.98,53.32,52.86,53.32,29002
VTP,2019-03-04 00:00:00,53.32,53.93,53.32,53.63,65976
VTP,2019-03-05 00:00:00,53.63,54.09,53.63,54.0,38570
VTP,2019-03-06 00:00:00,53.93,55.86,53.93,55.77,58599
VTP,2019-03-07 00:00:00,55.93,58.07,55.93,57.31,145657
VTP,2019-03-08 00:00:00,57.31,57.61,56.85,57.31,43238
VTP,2019-03-11 00:00:00,58.22,58.99,56.69,58.5,55621
VTP,2019-03-12 00:00:00,58.22,60.71,58.04,60.37,123967
VTP,2019-03-13 00:00:00,60.68,61.6,59.85,60.65,121619
VTP,2019-03-14 00:00:00,60.37,60.52,59.14,59.85,70569
VTP,2019-03-15 00:00:00,59.76,60.06,59.45,59.76,63620
VTP,2019-03-18 00:00:00,59.73,59.91,59.14,59.76,33838
VTP,2019-03-19 00:00:00,59.76,60.37,59.14,59.76,41149
VTP,2019-03-20 00:00:00,59.85,60.06,59.33,59.85,17492
VTP,2019-03-21 00:00:00,59.85,60.31,59.76,60.22,22498
VTP,2019-03-22 00:00:00,60.37,60.37,59.76,60.22,15315
VTP,2019-03-25 00:00:00,59.76,61.32,59.42,60.37,67500
VTP,2019-03-26 00:00:00,60.06,60.37,59.82,59.94,9300
VTP,2019-03-27 00:00:00,60.98,60.98,59.76,59.91,31006
VTP,2019-03-28 00:00:00,59.82,60.37,59.82,60.22,14233
VTP,2019-03-29 00:00:00,60.0,60.98,60.0,60.68,75258
VTP,2019-04-01 00:00:00,61.14,61.14,59.76,60.22,34830
VTP,2019-04-02 00:00:00,60.31,60.37,51.3,58.22,146850
VTP,2019-04-03 00:00:00,58.16,58.53,53.96,54.61,172572
VTP,2019-04-04 00:00:00,54.24,57.31,54.15,57.0,120069
VTP,2019-04-05 00:00:00,56.14,56.66,54.55,55.47,53718
VTP,2019-04-08 00:00:00,55.47,55.47,54.21,55.16,49425
VTP,2019-04-09 00:00:00,54.85,55.01,54.27,54.39,61813
VTP,2019-04-10 00:00:00,54.55,56.29,54.24,55.47,53956
VTP,2019-04-11 00:00:00,56.08,56.23,55.77,56.08,22643
VTP,2019-04-12 00:00:00,56.17,57.83,56.17,57.61,118658
VTP,2019-04-16 00:00:00,57.61,58.22,57.61,57.8,94858
VTP,2019-04-17 00:00:00,57.92,58.53,57.89,58.22,121725
VTP,2019-04-18 00:00:00,58.26,58.29,58.22,58.22,41326
VTP,2019-04-19 00:00:00,56.69,58.22,56.69,57.61,29120
VTP,2019-04-22 00:00:00,57.92,58.22,57.61,57.61,34330
