ticker,date,open,high,low,close,volume
CTG,2015-01-01,5.95,6.11,5.86,5.99,1184900.65
CTG,2015-02-01,5.27,5.41,5.19,5.3,1629447.86
CTG,2015-03-01,7.71,7.81,7.6,7.67,1582760.97
CTG,2015-04-01,6.6,6.7,6.53,6.61,1669138.33
CTG,2015-05-01,6.79,6.93,6.7,6.83,1023400.32
CTG,2015-06-01,8.68,8.85,8.57,8.68,1964240.33
CTG,2015-07-01,9.93,10.18,9.79,10.0,2953825.81
CTG,2015-08-01,8.54,8.68,8.36,8.49,1571070.97
CTG,2015-09-01,8.6,8.72,8.51,8.59,1484567.0
CTG,2015-10-01,9.0,9.08,8.92,9.0,1468314.84
CTG,2015-11-01,8.73,8.78,8.63,8.7,626060.0
CTG,2015-12-01,8.41,8.5,8.32,8.4,388711.29
CTG,2016-01-01,6.96,7.04,6.85,6.95,476058.39
CTG,2016-02-01,5.92,5.99,5.86,5.93,350491.72
CTG,2016-03-01,7.97,8.02,7.88,7.92,477099.03
CTG,2016-04-01,6.77,6.85,6.68,6.76,737534.67
CTG,2016-05-01,6.93,7.03,6.85,6.94,948308.39
CTG,2016-06-01,7.84,7.9,7.74,7.82,440607.33
CTG,2016-07-01,7.44,7.56,7.33,7.44,869164.52
CTG,2016-08-01,7.92,7.99,7.85,7.92,352159.03
CTG,2016-09-01,7.4,7.45,7.34,7.38,239475.67
CTG,2016-10-01,7.2,7.25,7.12,7.17,389002.26
CTG,2016-11-01,7.47,7.52,7.42,7.45,282939.67
CTG,2016-12-01,6.73,6.81,6.66,6.7,414470.32
CTG,2017-01-01,5.92,6.07,5.85,5.99,834838.39
CTG,2017-02-01,8.04,8.17,7.94,8.04,1818840.0
CTG,2017-03-01,8.74,8.84,8.65,8.71,1010260.0
CTG,2017-04-01,7.16,7.23,7.1,7.14,526465.0
CTG,2017-05-01,7.98,8.12,7.89,8.0,1075450.32
CTG,2017-06-01,9.36,9.49,9.26,9.37,1313444.33
CTG,2017-07-01,8.51,8.6,8.39,8.5,1170607.1
CTG,2017-08-01,9.12,9.22,9.01,9.1,1725679.68
CTG,2017-09-01,8.19,8.26,8.13,8.18,958228.0
CTG,2017-10-01,9.0,9.09,8.94,9.0,1042972.26
CTG,2017-11-01,10.24,10.46,10.15,10.35,2558121.67
CTG,2017-12-01,10.3,10.45,10.09,10.28,1817189.03
CTG,2018-01-01,12.27,12.52,12.04,12.32,3934069.68
CTG,2018-02-01,9.81,10.17,9.66,9.94,5448821.07
CTG,2018-03-01,16.32,16.63,16.01,16.3,6883351.94
CTG,2018-04-01,14.56,14.8,14.14,14.39,4198184.0
CTG,2018-05-01,13.4,13.73,13.01,13.36,4015018.06
CTG,2018-06-01,12.5,12.72,12.26,12.48,3293168.0
CTG,2018-07-01,10.87,11.1,10.61,10.83,4072774.52
CTG,2018-08-01,12.48,12.73,12.32,12.54,4835813.55
CTG,2018-09-01,11.4,11.55,11.28,11.39,3453161.67
CTG,2018-10-01,12.45,12.62,12.26,12.39,3230812.9
CTG,2018-11-01,11.12,11.3,10.97,11.11,2437976.67
CTG,2018-12-01,9.49,9.62,9.32,9.43,3235608.71
CTG,2019-01-01,9.08,9.25,8.94,9.07,3927399.35
CTG,2019-02-01,7.43,7.54,7.36,7.44,3530784.64
CTG,2019-03-01,9.97,10.1,9.86,10.0,4405152.9
CTG,2019-04-01,9.16,9.25,9.06,9.12,1604443.33
CTG,2019-05-01,9.88,9.98,9.8,9.87,1603485.81
CTG,2019-06-01,9.14,9.22,9.05,9.1,1800940.0
CTG,2019-07-01,10.53,10.63,10.45,10.52,2465563.87
CTG,2019-08-01,9.67,9.75,9.6,9.67,1671581.94
CTG,2019-09-01,9.12,9.22,9.08,9.14,1656803.67
CTG,2019-10-01,10.62,10.73,10.55,10.62,2162920.0
CTG,2019-11-01,10.15,10.21,10.04,10.1,2514824.0
CTG,2019-12-01,9.62,9.72,9.54,9.63,1639811.61
CTG,2020-01-01,8.51,8.72,8.43,8.58,3815849.03
CTG,2020-02-01,12.14,12.43,11.93,12.2,6232745.52
CTG,2020-03-01,10.35,10.55,10.07,10.27,5169194.84
CTG,2020-04-01,8.61,8.8,8.47,8.65,4051322.33
CTG,2020-05-01,9.3,9.48,9.18,9.33,4602030.97
CTG,2020-06-01,11.46,11.63,11.26,11.41,3894573.0
CTG,2020-07-01,11.36,11.51,11.21,11.36,3076136.45
CTG,2020-08-01,10.62,10.78,10.54,10.66,3166457.74
CTG,2020-09-01,12.07,12.21,11.94,12.07,3605504.33
CTG,2020-10-01,14.03,14.23,13.8,13.97,6698397.42
CTG,2020-11-01,14.89,15.08,14.76,14.91,5854980.0
CTG,2020-12-01,17.22,17.39,17.0,17.19,6236341.94
CTG,2021-01-01,16.02,16.38,15.69,15.94,6798087.1
CTG,2021-02-01,12.9,13.16,12.73,12.99,5441267.86
CTG,2021-03-01,19.61,19.82,19.33,19.55,8889100.0
CTG,2021-04-01,18.82,19.09,18.5,18.78,10223043.33
CTG,2021-05-01,20.47,20.9,20.29,20.68,12782977.42
CTG,2021-06-01,25.93,26.37,25.48,25.85,12317960.0
CTG,2021-07-01,22.14,22.5,21.64,21.92,12348441.94
CTG,2021-08-01,20.88,21.11,20.56,20.78,11620422.58
CTG,2021-09-01,18.47,18.63,18.31,18.4,5623540.0
CTG,2021-10-01,17.88,18.07,17.69,17.85,6860600.0
CTG,2021-11-01,21.22,21.51,20.92,21.23,10228700.0
CTG,2021-12-01,21.77,22.04,21.51,21.73,6059974.19
CTG,2022-01-01,19.15,19.6,18.89,19.22,9014635.48
CTG,2022-02-01,18.07,18.23,17.79,17.93,6081346.43
CTG,2022-03-01,21.53,21.74,21.38,21.49,4495774.19
CTG,2022-04-01,18.18,18.38,17.85,18.03,3544386.67
CTG,2022-05-01,15.1,15.45,14.83,15.13,3231322.58
CTG,2022-06-01,16.91,17.26,16.64,16.94,2865383.33
CTG,2022-07-01,16.16,16.43,15.97,16.17,2712958.06
CTG,2022-08-01,18.99,19.19,18.81,19.0,3131567.74
CTG,2022-09-01,15.5,15.67,15.26,15.37,1827197.6
CTG,2022-10-01,13.44,13.78,13.07,13.41,3916243.19
CTG,2022-11-01,15.97,16.48,15.63,16.14,6647119.53
CTG,2022-12-01,17.46,17.78,17.14,17.47,3159357.39
CTG,2023-01-01,13.52,13.72,13.38,13.61,1999040.39
CTG,2023-02-01,18.69,18.94,18.41,18.61,2008932.89
CTG,2023-03-01,19.03,19.25,18.83,19.1,1494250.32
CTG,2023-04-01,17.41,17.52,17.24,17.39,1350474.6
CTG,2023-05-01,16.2,16.27,16.07,16.15,2276669.42
CTG,2023-06-01,18.96,19.14,18.81,18.98,4034169.3
CTG,2023-07-01,18.05,18.15,17.88,18.02,4095666.71
CTG,2023-08-01,21.04,21.28,20.77,21.07,5966555.9
CTG,2023-09-01,18.1,18.3,17.8,18.03,4175800.4
CTG,2023-10-01,18.36,18.52,18.05,18.33,2090949.42
CTG,2023-11-01,19.16,19.34,18.98,19.18,2098589.33
CTG,2023-12-01,18.07,18.2,17.94,18.09,2356544.55
CTG,2024-01-01,21.82,22.15,21.59,21.95,6282043.97
CTG,2024-02-01,19.14,19.49,18.92,19.25,5824490.62
CTG,2024-03-01,23.75,24.06,23.34,23.73,6305254.81
CTG,2024-04-01,21.29,21.58,20.85,21.2,6956240.87
CTG,2024-05-01,23.25,23.49,22.95,23.16,6446704.45
CTG,2024-06-01,21.74,21.87,21.47,21.63,5295178.67
CTG,2024-07-01,24.04,24.28,23.8,24.06,4880977.81
CTG,2024-08-01,23.1,23.35,22.84,23.2,6065919.35
CTG,2024-09-01,22.47,22.73,22.28,22.56,5516506.67
CTG,2024-10-01,26.55,26.74,26.29,26.48,4959348.39
CTG,2024-11-01,24.33,24.54,24.05,24.36,3884506.67
CTG,2024-12-01,25.93,26.18,25.75,26.03,4138325.81
CTG,2025-01-01,20.52,20.73,20.32,20.52,3201877.42
CTG,2025-02-01,28.9,29.24,28.65,28.98,5380046.43
CTG,2025-03-01,28.36,28.56,28.1,28.39,4641074.19
CTG,2025-04-01,25.11,25.52,24.76,25.14,6869496.67
CTG,2025-05-01,24.93,25.16,24.71,24.98,4866709.68
CTG,2025-06-01,27.83,28.08,27.61,27.92,4991623.33
CTG,2025-07-01,33.01,33.37,32.62,33.07,6277216.13
CTG,2025-08-01,33.2,33.84,32.57,33.21,9781206.45
CTG,2025-09-01,33.76,34.14,33.34,33.77,6069603.33
CTG,2025-10-01,11.72,11.92,11.58,11.8,2330754.84
