ticker,date,open,high,low,close,volume
MBB,2015-01-01,1.6,1.64,1.58,1.61,2581006.45
MBB,2015-02-01,1.23,1.24,1.21,1.23,958538.93
MBB,2015-03-01,1.73,1.74,1.72,1.73,674847.74
MBB,2015-04-01,1.52,1.53,1.51,1.52,405308.33
MBB,2015-05-01,1.51,1.53,1.5,1.52,613346.45
MBB,2015-06-01,1.89,1.92,1.87,1.89,3028878.67
MBB,2015-07-01,2.08,2.11,2.06,2.08,5010803.55
MBB,2015-08-01,1.83,1.85,1.8,1.82,2625396.45
MBB,2015-09-01,1.93,1.96,1.92,1.94,1693341.33
MBB,2015-10-01,1.96,1.97,1.94,1.95,1578406.45
MBB,2015-11-01,1.9,1.92,1.88,1.9,1000471.33
MBB,2015-12-01,1.96,1.97,1.95,1.96,454867.1
MBB,2016-01-01,1.68,1.69,1.66,1.68,593925.48
MBB,2016-02-01,1.54,1.56,1.53,1.54,2007512.76
MBB,2016-03-01,2.05,2.06,2.04,2.05,926031.61
MBB,2016-04-01,1.81,1.83,1.8,1.82,565747.33
MBB,2016-05-01,1.85,1.86,1.83,1.85,1085662.9
MBB,2016-06-01,2.1,2.11,2.08,2.09,690333.67
MBB,2016-07-01,1.93,1.94,1.91,1.93,251715.48
MBB,2016-08-01,2.07,2.08,2.06,2.07,126080.0
MBB,2016-09-01,1.94,1.95,1.94,1.94,155271.67
MBB,2016-10-01,1.9,1.9,1.89,1.9,241386.13
MBB,2016-11-01,1.98,1.99,1.96,1.98,121624.67
MBB,2016-12-01,1.85,1.86,1.84,1.86,151974.19
MBB,2017-01-01,1.5,1.51,1.48,1.49,275171.61
MBB,2017-02-01,1.93,1.94,1.92,1.93,371833.57
MBB,2017-03-01,2.24,2.27,2.22,2.25,859593.55
MBB,2017-04-01,1.98,2.0,1.96,1.98,514508.67
MBB,2017-05-01,2.42,2.47,2.4,2.44,1842830.65
MBB,2017-06-01,3.09,3.14,3.07,3.11,1704324.67
MBB,2017-07-01,2.99,3.03,2.95,3.0,1656991.29
MBB,2017-08-01,3.48,3.53,3.43,3.49,2458847.74
MBB,2017-09-01,3.15,3.18,3.13,3.14,2025474.0
MBB,2017-10-01,3.48,3.52,3.44,3.48,2780674.19
MBB,2017-11-01,3.74,3.79,3.7,3.75,4283779.33
MBB,2017-12-01,3.63,3.67,3.57,3.62,3320563.23
MBB,2018-01-01,4.36,4.46,4.31,4.41,5354772.58
MBB,2018-02-01,3.62,3.71,3.56,3.64,3335029.64
MBB,2018-03-01,5.45,5.54,5.36,5.45,4492745.81
MBB,2018-04-01,4.79,4.85,4.67,4.73,4251294.33
MBB,2018-05-01,4.64,4.74,4.53,4.65,3175826.45
MBB,2018-06-01,4.44,4.51,4.35,4.44,3676026.67
MBB,2018-07-01,4.0,4.1,3.92,4.01,3899649.03
MBB,2018-08-01,4.56,4.62,4.5,4.56,4568120.0
MBB,2018-09-01,3.78,3.82,3.75,3.78,3623118.0
MBB,2018-10-01,4.28,4.35,4.23,4.28,4959016.77
MBB,2018-11-01,4.06,4.1,4.02,4.06,3106223.33
MBB,2018-12-01,3.62,3.65,3.57,3.61,5083419.03
MBB,2019-01-01,3.72,3.77,3.68,3.72,3478620.97
MBB,2019-02-01,3.1,3.12,3.08,3.1,3885921.43
MBB,2019-03-01,3.97,4.01,3.94,3.97,2881473.23
MBB,2019-04-01,3.72,3.74,3.69,3.71,1553151.67
MBB,2019-05-01,4.08,4.11,4.05,4.08,1732647.42
MBB,2019-06-01,3.72,3.75,3.7,3.72,1095559.67
MBB,2019-07-01,4.34,4.38,4.31,4.34,2992270.32
MBB,2019-08-01,4.26,4.3,4.22,4.26,3125692.9
MBB,2019-09-01,4.2,4.23,4.17,4.2,2955848.0
MBB,2019-10-01,4.95,4.99,4.92,4.95,3025125.16
MBB,2019-11-01,4.67,4.7,4.63,4.65,3580208.33
MBB,2019-12-01,4.41,4.44,4.36,4.39,2195901.94
MBB,2020-01-01,3.42,3.46,3.4,3.42,2687965.81
MBB,2020-02-01,4.24,4.31,4.19,4.25,5624460.34
MBB,2020-03-01,3.58,3.64,3.5,3.55,4888696.13
MBB,2020-04-01,3.06,3.12,3.01,3.07,4391928.0
MBB,2020-05-01,3.18,3.22,3.15,3.19,4698594.19
MBB,2020-06-01,3.76,3.81,3.72,3.75,4796469.33
MBB,2020-07-01,3.64,3.67,3.6,3.63,2678683.55
MBB,2020-08-01,3.35,3.39,3.33,3.36,3066227.42
MBB,2020-09-01,3.78,3.81,3.75,3.78,4440168.67
MBB,2020-10-01,4.26,4.29,4.21,4.24,5278662.58
MBB,2020-11-01,4.44,4.48,4.39,4.44,6736647.33
MBB,2020-12-01,5.47,5.54,5.4,5.48,11828986.77
MBB,2021-01-01,5.44,5.56,5.32,5.45,13604203.23
MBB,2021-02-01,4.52,4.63,4.45,4.56,10532025.0
MBB,2021-03-01,6.99,7.06,6.91,6.98,11747812.9
MBB,2021-04-01,6.8,6.88,6.7,6.8,12270500.0
MBB,2021-05-01,7.28,7.42,7.21,7.35,15841312.9
MBB,2021-06-01,9.88,10.07,9.73,9.9,17929610.0
MBB,2021-07-01,9.45,9.58,9.23,9.39,13406822.58
MBB,2021-08-01,9.44,9.56,9.31,9.44,12085990.32
MBB,2021-09-01,8.44,8.52,8.37,8.44,8146733.33
MBB,2021-10-01,8.62,8.66,8.52,8.58,6992422.58
MBB,2021-11-01,9.6,9.71,9.49,9.59,11233106.67
MBB,2021-12-01,9.5,9.59,9.39,9.47,5921619.35
MBB,2022-01-01,8.33,8.52,8.26,8.37,11547938.71
MBB,2022-02-01,8.62,8.77,8.51,8.64,10949100.0
MBB,2022-03-01,10.79,10.91,10.65,10.75,11883412.9
MBB,2022-04-01,9.44,9.58,9.26,9.38,8777186.67
MBB,2022-05-01,7.91,8.04,7.73,7.87,5499516.13
MBB,2022-06-01,8.4,8.55,8.26,8.39,6240736.67
MBB,2022-07-01,7.68,7.78,7.62,7.7,4850661.29
MBB,2022-08-01,9.17,9.27,9.11,9.21,6938858.06
MBB,2022-09-01,7.89,7.94,7.76,7.82,4304152.4
MBB,2022-10-01,6.45,6.56,6.25,6.37,8347394.84
MBB,2022-11-01,6.51,6.68,6.37,6.52,10221500.23
MBB,2022-12-01,6.91,7.04,6.76,6.88,8699298.29
MBB,2023-01-01,5.21,5.28,5.15,5.23,4875905.94
MBB,2023-02-01,7.11,7.19,7.0,7.06,6029943.57
MBB,2023-03-01,7.09,7.16,7.03,7.08,5543085.23
MBB,2023-04-01,6.67,6.71,6.61,6.66,4977668.8
MBB,2023-05-01,6.5,6.53,6.45,6.48,4308355.16
MBB,2023-06-01,8.06,8.14,7.98,8.06,9460498.07
MBB,2023-07-01,7.93,7.99,7.87,7.94,7631685.19
MBB,2023-08-01,8.86,8.93,8.77,8.84,7018124.06
MBB,2023-09-01,7.65,7.73,7.56,7.65,8585862.23
MBB,2023-10-01,8.16,8.23,8.07,8.14,4736331.06
MBB,2023-11-01,8.42,8.5,8.33,8.42,6183730.77
MBB,2023-12-01,7.86,7.92,7.82,7.87,4879909.29
MBB,2024-01-01,9.57,9.72,9.49,9.62,15588959.13
MBB,2024-02-01,8.28,8.39,8.2,8.32,12230707.55
MBB,2024-03-01,10.48,10.62,10.32,10.49,16587656.97
MBB,2024-04-01,9.53,9.65,9.36,9.48,14856545.6
MBB,2024-05-01,10.39,10.48,10.29,10.37,12132790.39
MBB,2024-06-01,9.95,10.03,9.84,9.92,10231541.37
MBB,2024-07-01,11.44,11.6,11.3,11.47,14671840.06
MBB,2024-08-01,11.07,11.2,10.98,11.09,10296703.87
MBB,2024-09-01,10.13,10.25,10.07,10.15,9236994.9
MBB,2024-10-01,12.31,12.4,12.2,12.27,9324128.0
MBB,2024-11-01,11.04,11.1,10.94,11.01,5804228.0
MBB,2024-12-01,11.24,11.33,11.19,11.26,5440957.26
MBB,2025-01-01,8.91,8.97,8.83,8.9,4652483.48
