ticker,date,open,high,low,close,volume
SHB,2015-01-01,1.51,1.55,1.49,1.52,3205328.77
SHB,2015-02-01,1.17,1.19,1.16,1.17,1442448.32
SHB,2015-03-01,1.65,1.68,1.63,1.66,1798995.48
SHB,2015-04-01,1.43,1.45,1.41,1.43,893023.63
SHB,2015-05-01,1.34,1.37,1.31,1.35,2338224.74
SHB,2015-06-01,1.61,1.63,1.57,1.59,1806965.07
SHB,2015-07-01,1.75,1.78,1.7,1.73,3566405.97
SHB,2015-08-01,1.43,1.48,1.37,1.42,2532557.55
SHB,2015-09-01,1.35,1.38,1.33,1.36,934194.3
SHB,2015-10-01,1.38,1.4,1.36,1.38,1503361.42
SHB,2015-11-01,1.34,1.36,1.32,1.34,717537.17
SHB,2015-12-01,1.36,1.37,1.32,1.34,1364243.45
SHB,2016-01-01,1.13,1.15,1.1,1.13,1246766.84
SHB,2016-02-01,1.06,1.08,1.04,1.06,845480.45
SHB,2016-03-01,1.41,1.42,1.39,1.41,730915.42
SHB,2016-04-01,1.22,1.23,1.2,1.22,783500.7
SHB,2016-05-01,1.19,1.21,1.19,1.19,1878924.74
SHB,2016-06-01,1.31,1.33,1.29,1.31,1180075.87
SHB,2016-07-01,1.19,1.21,1.17,1.19,656070.61
SHB,2016-08-01,1.17,1.19,1.14,1.16,1266599.0
SHB,2016-09-01,0.98,1.0,0.96,0.97,2306490.37
SHB,2016-10-01,0.99,1.02,0.97,0.99,2739021.65
SHB,2016-11-01,1.11,1.13,1.09,1.11,1757722.27
SHB,2016-12-01,0.98,1.01,0.96,0.98,1678556.03
SHB,2017-01-01,0.79,0.8,0.78,0.79,938768.74
SHB,2017-02-01,1.05,1.07,1.03,1.05,2883932.39
SHB,2017-03-01,1.19,1.23,1.17,1.2,3937388.55
SHB,2017-04-01,1.34,1.39,1.3,1.36,11439302.23
SHB,2017-05-01,1.45,1.49,1.42,1.45,9586744.71
SHB,2017-06-01,1.67,1.7,1.64,1.67,9901693.9
SHB,2017-07-01,1.67,1.7,1.63,1.67,8678208.13
SHB,2017-08-01,1.81,1.83,1.78,1.8,5242863.94
SHB,2017-09-01,1.61,1.64,1.59,1.61,4709672.17
SHB,2017-10-01,1.75,1.78,1.73,1.75,4680351.19
SHB,2017-11-01,1.81,1.86,1.79,1.84,7676654.7
SHB,2017-12-01,1.9,1.93,1.86,1.89,9223641.13
SHB,2018-01-01,2.51,2.61,2.46,2.55,16415207.97
SHB,2018-02-01,2.23,2.3,2.16,2.23,12323789.25
SHB,2018-03-01,3.04,3.09,2.98,3.03,12049040.32
SHB,2018-04-01,2.7,2.74,2.64,2.68,9752002.03
SHB,2018-05-01,2.36,2.42,2.28,2.35,6172983.06
SHB,2018-06-01,2.05,2.11,2.01,2.07,4436720.6
SHB,2018-07-01,1.81,1.88,1.76,1.83,4209801.13
SHB,2018-08-01,2.04,2.08,2.01,2.04,5185071.65
SHB,2018-09-01,1.78,1.81,1.76,1.78,5650208.03
SHB,2018-10-01,2.02,2.06,1.98,2.02,5546251.52
SHB,2018-11-01,1.81,1.83,1.78,1.8,2333047.47
SHB,2018-12-01,1.58,1.62,1.56,1.59,2300753.74
SHB,2019-01-01,1.66,1.68,1.64,1.66,2294086.13
SHB,2019-02-01,1.34,1.36,1.32,1.34,3082941.96
SHB,2019-03-01,1.73,1.76,1.71,1.73,4407746.42
SHB,2019-04-01,1.57,1.6,1.55,1.57,1645729.77
SHB,2019-05-01,1.71,1.73,1.69,1.7,2445039.23
SHB,2019-06-01,1.54,1.55,1.52,1.54,1594192.73
SHB,2019-07-01,1.66,1.68,1.64,1.65,2463803.19
SHB,2019-08-01,1.49,1.51,1.46,1.49,2062014.71
SHB,2019-09-01,1.4,1.42,1.38,1.4,1523195.63
SHB,2019-10-01,1.62,1.64,1.59,1.61,1669280.61
SHB,2019-11-01,1.52,1.54,1.5,1.51,1719973.67
SHB,2019-12-01,1.44,1.47,1.42,1.44,1723214.16
SHB,2020-01-01,1.26,1.31,1.25,1.27,3393291.19
SHB,2020-02-01,1.98,2.07,1.94,2.03,9116994.86
SHB,2020-03-01,3.21,3.37,3.13,3.31,13228471.61
SHB,2020-04-01,4.24,4.39,4.12,4.32,2678508.8
SHB,2020-05-01,3.88,3.98,3.74,3.88,4073367.16
SHB,2020-06-01,4.36,4.48,4.23,4.35,3745595.53
SHB,2020-07-01,3.7,3.79,3.59,3.7,1627487.35
SHB,2020-08-01,3.48,3.56,3.42,3.52,2067858.71
SHB,2020-09-01,4.07,4.14,4.02,4.08,2527663.8
SHB,2020-10-01,4.43,4.5,4.37,4.42,2327063.9
SHB,2020-11-01,4.67,4.73,4.61,4.69,2474776.67
SHB,2020-12-01,5.12,5.21,5.06,5.13,6754803.35
SHB,2021-01-01,4.55,4.67,4.39,4.52,21351617.58
SHB,2021-02-01,3.3,3.4,3.22,3.32,12349819.89
SHB,2021-03-01,5.29,5.5,5.19,5.42,27918374.26
SHB,2021-04-01,6.96,7.1,6.78,6.98,15395306.87
SHB,2021-05-01,7.72,7.91,7.53,7.75,16402094.48
SHB,2021-06-01,9.41,9.65,9.08,9.3,20634600.2
SHB,2021-07-01,8.42,8.73,8.23,8.45,14377706.65
