ticker,date,open,high,low,close,volume
STB,2015-01-01,9.91,10.1,9.82,9.96,568099.35
STB,2015-02-01,7.68,7.84,7.6,7.72,485507.5
STB,2015-03-01,11.51,11.61,11.38,11.48,1278045.81
STB,2015-04-01,9.67,9.75,9.55,9.63,603886.33
STB,2015-05-01,9.26,9.4,9.15,9.28,578102.9
STB,2015-06-01,11.23,11.37,11.12,11.25,1734557.0
STB,2015-07-01,11.73,11.88,11.6,11.77,559351.94
STB,2015-08-01,9.98,10.08,9.78,9.92,421032.58
STB,2015-09-01,9.57,9.68,9.44,9.56,226728.0
STB,2015-10-01,10.18,10.32,10.03,10.16,455099.03
STB,2015-11-01,8.81,8.86,8.68,8.72,270530.33
STB,2015-12-01,8.56,8.75,8.44,8.64,783843.23
STB,2016-01-01,7.56,7.72,7.44,7.55,357172.9
STB,2016-02-01,6.08,6.16,6.01,6.09,342578.62
STB,2016-03-01,7.97,8.02,7.87,7.93,559519.03
STB,2016-04-01,6.77,6.85,6.71,6.79,472879.67
STB,2016-05-01,7.25,7.4,7.14,7.26,1006209.68
STB,2016-06-01,8.46,8.58,8.3,8.46,783192.0
STB,2016-07-01,7.67,7.79,7.57,7.68,729640.0
STB,2016-08-01,7.95,8.04,7.86,7.95,326357.74
STB,2016-09-01,6.87,6.94,6.77,6.84,1004958.0
STB,2016-10-01,6.25,6.31,6.2,6.24,451165.16
STB,2016-11-01,6.01,6.07,5.89,5.98,530588.67
STB,2016-12-01,5.71,5.86,5.65,5.78,2405608.71
STB,2017-01-01,4.98,5.1,4.93,5.02,1382337.74
STB,2017-02-01,7.02,7.17,6.91,7.03,2620273.57
STB,2017-03-01,7.97,8.14,7.87,7.98,2929762.58
STB,2017-04-01,7.54,7.79,7.34,7.54,5495237.33
STB,2017-05-01,8.34,8.53,8.24,8.35,2706109.35
STB,2017-06-01,10.15,10.28,9.96,10.14,4053406.33
STB,2017-07-01,8.55,8.69,8.4,8.53,2011403.87
STB,2017-08-01,8.95,9.04,8.83,8.9,1372829.03
STB,2017-09-01,7.87,7.99,7.8,7.89,1616896.0
STB,2017-10-01,8.34,8.4,8.22,8.29,1694305.81
STB,2017-11-01,8.61,8.74,8.51,8.65,2301213.33
STB,2017-12-01,8.65,8.77,8.47,8.62,3666188.71
STB,2018-01-01,10.61,10.92,10.4,10.72,19574816.45
STB,2018-02-01,8.45,8.65,8.29,8.47,8802466.79
STB,2018-03-01,11.17,11.32,11.02,11.14,8866063.23
STB,2018-04-01,9.78,9.91,9.59,9.71,5874652.0
STB,2018-05-01,9.05,9.18,8.83,8.98,3211243.87
STB,2018-06-01,8.6,8.75,8.46,8.6,3178118.33
STB,2018-07-01,7.69,7.84,7.55,7.66,3516152.26
STB,2018-08-01,8.44,8.53,8.34,8.41,3505595.48
STB,2018-09-01,7.64,7.78,7.57,7.69,5471455.33
STB,2018-10-01,9.75,9.95,9.61,9.74,8518681.61
STB,2018-11-01,9.0,9.09,8.91,8.98,2730835.33
STB,2018-12-01,8.02,8.12,7.95,8.02,2965853.23
STB,2019-01-01,8.27,8.37,8.17,8.26,2552462.58
STB,2019-02-01,6.89,6.97,6.81,6.89,2809288.93
STB,2019-03-01,8.55,8.63,8.49,8.54,2499306.45
STB,2019-04-01,7.66,7.72,7.58,7.64,1274169.0
STB,2019-05-01,8.5,8.57,8.43,8.49,2321946.13
STB,2019-06-01,7.73,7.78,7.66,7.7,2004702.33
STB,2019-07-01,8.46,8.52,8.38,8.42,2547858.06
STB,2019-08-01,7.37,7.45,7.3,7.37,1942041.94
STB,2019-09-01,6.88,6.95,6.82,6.89,2430097.0
STB,2019-10-01,8.03,8.12,7.96,8.02,2909873.87
STB,2019-11-01,7.44,7.48,7.36,7.4,2176032.0
