ticker,date,open,high,low,close,volume
VCB,2015-01-01,6.78,6.93,6.69,6.81,820670.65
VCB,2015-02-01,5.34,5.45,5.26,5.36,407827.14
VCB,2015-03-01,7.57,7.66,7.5,7.57,714136.45
VCB,2015-04-01,6.75,6.81,6.71,6.76,403597.0
VCB,2015-05-01,7.42,7.59,7.37,7.51,410408.39
VCB,2015-06-01,9.76,10.0,9.65,9.84,531479.0
VCB,2015-07-01,11.5,11.73,11.26,11.48,501686.77
VCB,2015-08-01,8.92,9.08,8.7,8.88,852776.77
VCB,2015-09-01,9.18,9.32,9.09,9.18,689017.0
VCB,2015-10-01,9.81,9.92,9.74,9.83,583878.71
VCB,2015-11-01,9.92,9.99,9.82,9.88,425314.33
VCB,2015-12-01,9.47,9.61,9.36,9.47,697151.94
VCB,2016-01-01,7.99,8.1,7.89,7.99,520609.35
VCB,2016-02-01,6.73,6.82,6.67,6.73,395384.14
VCB,2016-03-01,9.39,9.47,9.3,9.37,701539.03
VCB,2016-04-01,8.59,8.74,8.52,8.64,604159.67
VCB,2016-05-01,9.18,9.3,9.07,9.17,465129.35
VCB,2016-06-01,10.42,10.53,10.34,10.45,453561.33
VCB,2016-07-01,10.75,11.02,10.57,10.82,502520.0
VCB,2016-08-01,12.0,12.2,11.78,11.96,493096.13
VCB,2016-09-01,10.85,11.0,10.65,10.79,1467849.67
VCB,2016-10-01,10.41,10.48,10.29,10.36,675047.74
VCB,2016-11-01,10.85,10.92,10.76,10.85,631738.33
VCB,2016-12-01,10.3,10.38,10.23,10.31,506952.26
VCB,2017-01-01,8.59,8.72,8.53,8.63,754005.48
VCB,2017-02-01,10.88,10.94,10.76,10.83,869413.57
VCB,2017-03-01,11.52,11.61,11.43,11.48,848874.52
VCB,2017-04-01,9.45,9.52,9.39,9.43,592272.67
VCB,2017-05-01,10.23,10.34,10.15,10.23,944408.06
VCB,2017-06-01,11.62,11.71,11.52,11.63,1329284.33
VCB,2017-07-01,10.67,10.73,10.57,10.64,730874.52
VCB,2017-08-01,11.53,11.61,11.46,11.52,533468.39
VCB,2017-09-01,10.43,10.52,10.37,10.43,1008210.67
VCB,2017-10-01,11.92,12.09,11.82,11.96,1732404.52
VCB,2017-11-01,13.84,14.08,13.72,13.91,1584141.67
VCB,2017-12-01,13.84,14.09,13.64,13.91,1469324.52
VCB,2018-01-01,18.03,18.39,17.74,18.16,1602739.03
VCB,2018-02-01,14.9,15.31,14.67,15.04,1428429.64
VCB,2018-03-01,21.53,21.88,21.21,21.5,1945746.45
VCB,2018-04-01,18.31,18.57,17.88,18.14,2124831.33
VCB,2018-05-01,16.87,17.17,16.42,16.78,2083744.84
VCB,2018-06-01,17.11,17.5,16.86,17.27,1936171.67
VCB,2018-07-01,16.65,16.97,16.3,16.66,1511473.55
VCB,2018-08-01,19.31,19.58,19.08,19.36,1648204.84
VCB,2018-09-01,16.87,17.04,16.72,16.86,1084454.67
VCB,2018-10-01,18.63,18.86,18.39,18.58,1140486.45
VCB,2018-11-01,17.16,17.34,16.96,17.15,771194.0
VCB,2018-12-01,15.39,15.55,15.21,15.36,838121.29
VCB,2019-01-01,16.8,16.93,16.66,16.8,626067.1
VCB,2019-02-01,13.75,13.91,13.62,13.78,841697.14
VCB,2019-03-01,18.79,19.0,18.65,18.88,988173.55
VCB,2019-04-01,18.45,18.58,18.29,18.46,368894.0
VCB,2019-05-01,20.26,20.47,20.13,20.28,424216.77
VCB,2019-06-01,19.61,19.87,19.38,19.65,547958.33
VCB,2019-07-01,23.87,24.19,23.68,23.97,659970.65
VCB,2019-08-01,23.68,23.94,23.46,23.67,488263.87
VCB,2019-09-01,22.72,22.99,22.56,22.77,556048.0
VCB,2019-10-01,27.0,27.24,26.8,27.04,566110.65
VCB,2019-11-01,26.68,26.96,26.42,26.63,481889.33
VCB,2019-12-01,26.47,26.74,26.22,26.51,363771.94
VCB,2020-01-01,21.32,21.57,21.1,21.34,644125.16
VCB,2020-02-01,26.17,26.48,25.99,26.27,583484.48
VCB,2020-03-01,21.54,22.06,21.15,21.6,967989.35
VCB,2020-04-01,19.8,20.16,19.49,19.9,1054930.67
VCB,2020-05-01,21.23,21.56,21.06,21.43,914022.26
VCB,2020-06-01,27.2,27.45,26.89,27.15,621468.33
VCB,2020-07-01,26.12,26.34,25.88,26.15,619600.32
VCB,2020-08-01,24.12,24.32,23.96,24.17,571371.29
VCB,2020-09-01,25.3,25.52,25.14,25.33,933376.33
VCB,2020-10-01,26.33,26.53,26.0,26.28,681557.42
VCB,2020-11-01,26.63,26.89,26.39,26.73,629578.67
VCB,2020-12-01,30.91,31.27,30.59,31.05,662757.74
VCB,2021-01-01,28.4,29.03,27.94,28.49,731306.45
VCB,2021-02-01,22.87,23.23,22.43,22.93,793960.71
VCB,2021-03-01,31.1,31.31,30.68,31.04,936309.68
VCB,2021-04-01,28.9,29.27,28.46,28.9,1525836.67
VCB,2021-05-01,27.49,27.83,27.22,27.5,1195258.06
VCB,2021-06-01,33.71,34.32,33.34,33.99,1714273.33
VCB,2021-07-01,32.22,32.56,31.5,32.1,1354570.97
VCB,2021-08-01,30.61,30.93,30.31,30.61,1003132.26
VCB,2021-09-01,28.72,28.9,28.4,28.66,546176.67
VCB,2021-10-01,28.38,28.56,28.1,28.31,725577.42
VCB,2021-11-01,31.66,32.01,31.34,31.64,744496.67
VCB,2021-12-01,32.31,32.69,31.9,32.19,773003.23
VCB,2022-01-01,29.16,29.74,28.62,29.39,1122525.81
VCB,2022-02-01,28.3,28.55,27.96,28.26,920121.43
VCB,2022-03-01,34.89,35.19,34.61,34.85,882048.39
VCB,2022-04-01,30.49,30.82,30.04,30.47,844900.0
VCB,2022-05-01,28.05,28.45,27.63,27.99,681425.81
VCB,2022-06-01,31.91,32.38,31.34,31.85,663313.33
VCB,2022-07-01,27.89,28.15,27.59,27.89,649877.42
VCB,2022-08-01,33.75,34.22,33.54,33.97,883051.61
VCB,2022-09-01,29.39,29.68,29.01,29.23,687715.47
VCB,2022-10-01,26.24,26.66,25.63,26.11,804987.39
VCB,2022-11-01,30.54,31.17,30.06,30.81,1012994.6
VCB,2022-12-01,32.07,32.64,31.51,31.75,1031628.0
VCB,2023-01-01,25.19,25.65,24.9,25.35,632110.45
VCB,2023-02-01,37.34,37.84,36.79,37.37,635845.54
VCB,2023-03-01,37.9,38.36,37.48,37.92,657469.32
VCB,2023-04-01,33.51,33.69,33.25,33.49,351774.57
VCB,2023-05-01,33.45,33.86,33.17,33.57,393607.39
VCB,2023-06-01,41.15,41.71,40.78,41.29,659307.93
VCB,2023-07-01,39.89,40.28,39.57,39.97,649181.39
VCB,2023-08-01,44.03,44.34,43.67,43.94,980448.55
VCB,2023-09-01,37.35,37.63,36.95,37.33,942042.87
VCB,2023-10-01,40.25,40.58,39.86,40.37,616695.61
VCB,2023-11-01,42.32,42.6,41.96,42.32,834166.93
VCB,2023-12-01,37.57,37.72,37.22,37.43,874696.87
VCB,2024-01-01,41.94,42.31,41.63,42.1,987121.35
VCB,2024-02-01,33.14,33.63,32.9,33.33,796664.79
VCB,2024-03-01,42.91,43.24,42.52,42.79,1124907.39
VCB,2024-04-01,39.2,39.54,38.82,39.05,806974.07
VCB,2024-05-01,43.15,43.35,42.81,42.98,982660.42
VCB,2024-06-01,38.73,39.0,38.48,38.57,1272321.0
VCB,2024-07-01,43.23,43.62,43.05,43.24,1177750.42
VCB,2024-08-01,42.22,42.57,41.94,42.25,1201935.81
VCB,2024-09-01,38.13,38.4,37.91,38.13,803257.17
VCB,2024-10-01,45.33,45.62,45.13,45.29,942435.29
VCB,2024-11-01,42.85,43.19,42.65,42.76,1062708.57
VCB,2024-12-01,43.93,44.18,43.72,43.85,1063282.35
VCB,2025-01-01,33.51,33.69,33.36,33.51,691087.52
VCB,2025-02-01,43.89,44.03,43.67,43.79,1169727.29
VCB,2025-03-01,43.85,44.19,43.52,43.77,2019315.35
VCB,2025-04-01,39.14,39.81,38.4,38.85,2805617.1
VCB,2025-05-01,36.72,36.98,36.44,36.56,3177862.97
VCB,2025-06-01,39.31,39.5,39.12,39.24,2339221.37
VCB,2025-07-01,44.85,45.36,44.44,44.84,5895715.52
VCB,2025-08-01,43.0,43.83,42.46,42.97,7821300.58
VCB,2025-09-01,43.1,43.31,42.47,42.74,4343728.77
VCB,2025-10-01,14.25,14.36,14.13,14.24,1131608.55
