ticker,date,open,high,low,close,volume
CTD,2015-01-01,17.0,17.08,16.76,16.96,3111.94
CTD,2015-02-01,13.2,13.24,13.1,13.14,2072.5
CTD,2015-03-01,20.5,20.78,20.27,20.61,18996.45
CTD,2015-04-01,21.06,21.3,20.77,20.98,18406.33
CTD,2015-05-01,21.23,21.44,21.08,21.33,5248.39
CTD,2015-06-01,25.39,25.62,25.14,25.45,3633.0
CTD,2015-07-01,28.54,28.88,28.12,28.53,6674.84
CTD,2015-08-01,29.31,29.85,28.82,29.38,45767.42
CTD,2015-09-01,30.85,31.16,30.55,30.84,44447.0
CTD,2015-10-01,38.8,39.58,38.28,39.01,50346.45
CTD,2015-11-01,44.98,45.63,44.28,45.2,43586.33
CTD,2015-12-01,52.08,52.68,51.4,52.09,24374.19
CTD,2016-01-01,44.03,44.36,43.45,43.89,36841.94
CTD,2016-02-01,37.54,38.04,37.22,37.7,20557.93
CTD,2016-03-01,60.37,61.44,59.62,60.66,46503.23
CTD,2016-04-01,55.06,55.59,53.91,54.47,90430.0
CTD,2016-05-01,53.89,54.27,53.38,53.92,53486.13
CTD,2016-06-01,66.62,67.46,65.85,66.85,70634.33
CTD,2016-07-01,69.65,70.38,68.65,69.77,68301.61
CTD,2016-08-01,77.95,79.05,77.25,78.4,84706.13
CTD,2016-09-01,85.8,87.06,84.77,86.05,80393.67
CTD,2016-10-01,81.46,82.91,79.69,81.19,119236.45
CTD,2016-11-01,83.65,84.41,82.35,83.2,82515.67
CTD,2016-12-01,80.81,81.75,79.95,80.93,82689.35
CTD,2017-01-01,63.8,64.34,63.28,64.0,75524.52
CTD,2017-02-01,86.9,88.0,86.07,87.02,101889.64
CTD,2017-03-01,96.48,97.48,95.53,96.45,111852.9
CTD,2017-04-01,82.66,83.24,81.88,82.56,88738.0
CTD,2017-05-01,88.59,89.42,88.0,88.76,71894.19
CTD,2017-06-01,101.11,101.82,100.21,101.11,69340.67
CTD,2017-07-01,90.82,91.48,89.72,90.67,54296.45
CTD,2017-08-01,100.21,101.03,99.73,100.52,45145.48
CTD,2017-09-01,91.99,92.41,91.5,91.9,24828.67
CTD,2017-10-01,97.8,98.71,96.92,97.84,63752.58
CTD,2017-11-01,111.64,113.2,110.2,111.78,94712.33
CTD,2017-12-01,98.74,99.73,97.39,98.41,80048.39
CTD,2018-01-01,100.31,101.18,98.26,99.81,172020.32
CTD,2018-02-01,64.88,66.0,63.59,64.58,106306.79
CTD,2018-03-01,78.93,80.12,77.57,78.55,242480.0
CTD,2018-04-01,62.43,63.41,61.09,61.87,169919.67
CTD,2018-05-01,64.41,65.87,63.17,64.6,191135.81
CTD,2018-06-01,71.58,72.82,70.18,71.62,184679.33
CTD,2018-07-01,67.63,68.61,66.51,67.5,93630.32
CTD,2018-08-01,78.25,79.32,77.44,78.6,163193.23
CTD,2018-09-01,70.78,71.51,70.17,70.73,99889.0
CTD,2018-10-01,78.57,79.37,77.65,78.2,85883.55
CTD,2018-11-01,74.86,75.71,74.38,75.24,53781.67
CTD,2018-12-01,69.09,69.81,68.74,69.41,203877.74
CTD,2019-01-01,72.2,72.7,71.03,71.62,74360.97
CTD,2019-02-01,49.56,50.03,49.15,49.48,51972.5
CTD,2019-03-01,64.24,65.1,63.67,64.49,108501.94
CTD,2019-04-01,55.38,56.01,54.78,55.24,161132.33
CTD,2019-05-01,56.2,56.62,55.76,56.06,50460.0
CTD,2019-06-01,46.8,47.29,46.13,46.66,47150.33
CTD,2019-07-01,54.8,55.58,54.23,55.29,120650.65
CTD,2019-08-01,50.15,50.45,49.29,49.77,40437.42
CTD,2019-09-01,43.68,44.31,43.15,43.66,23895.0
CTD,2019-10-01,45.54,45.87,45.03,45.19,34154.52
CTD,2019-11-01,34.86,35.3,34.24,34.45,73421.33
CTD,2019-12-01,29.97,30.37,29.43,29.71,46553.23
CTD,2020-01-01,19.75,20.29,19.55,19.88,68411.94
CTD,2020-02-01,29.64,30.66,29.1,29.91,157247.93
CTD,2020-03-01,28.4,29.48,27.82,28.44,147988.06
CTD,2020-04-01,25.93,26.71,25.53,26.35,189511.0
