ticker,date,open,high,low,close,volume
FCN,2015-01-01,7.65,7.79,7.57,7.65,141714.52
FCN,2015-02-01,5.93,5.98,5.85,5.89,72407.5
FCN,2015-03-01,9.28,9.42,9.17,9.28,261400.0
FCN,2015-04-01,8.17,8.26,8.06,8.15,162640.33
FCN,2015-05-01,7.71,7.82,7.59,7.68,171436.13
FCN,2015-06-01,9.1,9.23,9.0,9.07,247402.67
FCN,2015-07-01,9.38,9.51,9.27,9.36,284060.32
FCN,2015-08-01,8.38,8.51,8.24,8.36,230147.1
FCN,2015-09-01,8.23,8.31,8.16,8.25,139533.33
FCN,2015-10-01,8.8,8.93,8.74,8.83,225543.87
FCN,2015-11-01,8.66,8.73,8.56,8.61,123797.33
FCN,2015-12-01,8.82,8.87,8.74,8.83,47133.23
FCN,2016-01-01,7.31,7.39,7.19,7.28,91808.39
FCN,2016-02-01,6.17,6.29,6.12,6.22,111980.34
FCN,2016-03-01,9.21,9.36,9.11,9.2,273959.03
FCN,2016-04-01,8.61,8.75,8.5,8.59,281012.0
FCN,2016-05-01,7.83,7.9,7.76,7.8,129990.32
FCN,2016-06-01,9.02,9.11,8.9,8.99,200005.67
FCN,2016-07-01,8.85,9.03,8.7,8.85,575222.9
FCN,2016-08-01,9.3,9.41,9.18,9.28,262477.42
FCN,2016-09-01,9.2,9.32,9.11,9.18,344265.0
FCN,2016-10-01,8.5,8.56,8.41,8.46,92288.06
FCN,2016-11-01,8.88,8.95,8.78,8.85,116996.0
FCN,2016-12-01,8.19,8.24,8.08,8.15,82943.55
FCN,2017-01-01,6.44,6.47,6.35,6.4,63059.35
FCN,2017-02-01,8.18,8.34,8.12,8.23,332186.43
FCN,2017-03-01,9.22,9.34,9.11,9.19,318545.16
FCN,2017-04-01,7.59,7.68,7.5,7.58,206962.0
FCN,2017-05-01,8.57,8.72,8.48,8.58,443313.23
FCN,2017-06-01,11.56,11.92,11.41,11.66,957886.0
FCN,2017-07-01,11.45,11.65,11.22,11.39,836937.42
FCN,2017-08-01,10.76,10.92,10.56,10.69,688896.77
FCN,2017-09-01,9.29,9.41,9.15,9.25,374554.0
FCN,2017-10-01,10.39,10.57,10.23,10.41,510292.9
FCN,2017-11-01,11.07,11.26,10.92,11.08,720311.33
FCN,2017-12-01,10.9,11.03,10.75,10.86,496774.84
FCN,2018-01-01,11.36,11.54,11.16,11.39,724537.74
FCN,2018-02-01,8.48,8.62,8.31,8.44,297150.71
FCN,2018-03-01,11.16,11.33,11.02,11.14,316876.45
FCN,2018-04-01,9.34,9.46,9.13,9.21,277804.33
FCN,2018-05-01,8.57,8.74,8.38,8.51,456997.74
FCN,2018-06-01,8.65,8.89,8.53,8.75,475833.33
FCN,2018-07-01,8.39,8.55,8.24,8.34,274360.97
FCN,2018-08-01,8.8,8.92,8.7,8.79,308875.81
FCN,2018-09-01,7.6,7.69,7.52,7.59,331849.67
FCN,2018-10-01,9.08,9.22,8.97,9.1,270514.84
FCN,2018-11-01,9.07,9.21,9.01,9.1,341136.33
FCN,2018-12-01,8.21,8.31,8.1,8.19,601606.13
FCN,2019-01-01,7.86,8.0,7.71,7.82,339100.97
FCN,2019-02-01,6.3,6.4,6.21,6.3,173597.86
FCN,2019-03-01,8.34,8.46,8.25,8.35,292409.03
FCN,2019-04-01,7.78,7.9,7.69,7.76,273822.33
FCN,2019-05-01,8.43,8.53,8.36,8.43,160655.48
FCN,2019-06-01,7.76,7.84,7.65,7.74,180860.67
FCN,2019-07-01,8.75,8.81,8.67,8.7,238166.13
