ticker,date,open,high,low,close,volume
HBC,2015-01-01,2.17,2.21,2.15,2.18,239094.19
HBC,2015-02-01,1.77,1.79,1.74,1.76,179609.29
HBC,2015-03-01,2.82,2.88,2.78,2.83,538693.23
HBC,2015-04-01,2.77,2.82,2.73,2.78,319133.33
HBC,2015-05-01,3.0,3.08,2.95,3.03,354431.29
HBC,2015-06-01,3.93,4.02,3.88,3.94,394131.67
HBC,2015-07-01,3.97,4.06,3.88,3.96,521501.94
HBC,2015-08-01,3.41,3.47,3.33,3.39,231360.0
HBC,2015-09-01,3.42,3.49,3.39,3.44,297119.33
HBC,2015-10-01,3.92,4.0,3.88,3.94,577918.39
HBC,2015-11-01,4.22,4.29,4.15,4.21,572762.33
HBC,2015-12-01,4.31,4.37,4.27,4.32,183275.48
HBC,2016-01-01,3.98,4.1,3.93,4.04,539992.26
HBC,2016-02-01,3.45,3.51,3.4,3.45,422746.21
HBC,2016-03-01,4.49,4.52,4.43,4.45,264894.52
HBC,2016-04-01,3.93,3.99,3.88,3.93,218920.67
HBC,2016-05-01,3.93,3.95,3.89,3.91,151030.97
HBC,2016-06-01,5.11,5.21,5.03,5.18,569026.67
HBC,2016-07-01,6.19,6.31,6.07,6.22,579545.48
HBC,2016-08-01,7.53,7.69,7.41,7.57,1595166.45
HBC,2016-09-01,7.74,7.85,7.63,7.76,1022053.0
HBC,2016-10-01,7.77,7.89,7.64,7.76,1021632.58
HBC,2016-11-01,8.27,8.34,8.16,8.25,869074.0
HBC,2016-12-01,7.84,7.94,7.76,7.85,787201.29
HBC,2017-01-01,6.67,6.77,6.63,6.71,878088.06
HBC,2017-02-01,10.79,11.12,10.64,10.93,1948869.29
HBC,2017-03-01,15.33,15.66,15.06,15.41,1546571.61
HBC,2017-04-01,13.05,13.2,12.79,12.99,913240.67
HBC,2017-05-01,14.91,15.2,14.7,14.97,1455038.71
HBC,2017-06-01,17.71,17.92,17.55,17.76,972397.33
HBC,2017-07-01,19.95,20.3,19.74,20.06,1094858.39
HBC,2017-08-01,21.37,21.63,21.12,21.44,949072.9
HBC,2017-09-01,21.19,21.5,21.0,21.24,1017527.67
HBC,2017-10-01,22.83,23.03,22.42,22.61,1107022.9
HBC,2017-11-01,19.84,20.21,19.44,19.84,1382839.0
HBC,2017-12-01,17.42,17.61,17.11,17.29,1135899.35
HBC,2018-01-01,17.25,17.5,16.96,17.21,1322057.1
HBC,2018-02-01,11.16,11.29,10.92,11.07,730755.36
HBC,2018-03-01,16.06,16.39,15.79,16.15,1221751.29
HBC,2018-04-01,15.49,15.73,15.13,15.45,1245672.67
HBC,2018-05-01,14.72,14.9,14.39,14.62,551839.35
HBC,2018-06-01,14.75,15.03,14.45,14.77,908997.0
HBC,2018-07-01,12.45,12.65,12.09,12.36,789077.74
HBC,2018-08-01,13.32,13.56,13.2,13.38,1014574.19
HBC,2018-09-01,11.87,12.06,11.71,11.89,1666509.0
HBC,2018-10-01,13.94,14.22,13.73,13.92,2082255.16
HBC,2018-11-01,11.37,11.5,11.17,11.31,953863.0
HBC,2018-12-01,9.85,10.0,9.69,9.82,965898.06
HBC,2019-01-01,9.31,9.44,9.16,9.24,712112.58
HBC,2019-02-01,7.83,8.01,7.74,7.89,1645251.43
HBC,2019-03-01,10.84,10.97,10.65,10.81,2273771.61
HBC,2019-04-01,9.48,9.57,9.32,9.42,1196212.33
HBC,2019-05-01,10.01,10.18,9.89,9.99,1429746.45
HBC,2019-06-01,9.05,9.11,8.93,8.97,1060195.33
HBC,2019-07-01,9.44,9.54,9.33,9.41,1429960.0
HBC,2019-08-01,8.39,8.48,8.28,8.42,1331401.29
HBC,2019-09-01,7.91,8.04,7.84,7.94,1392430.67
HBC,2019-10-01,8.81,8.89,8.71,8.75,1202657.74
HBC,2019-11-01,7.21,7.27,7.09,7.15,1148392.67
HBC,2019-12-01,6.69,6.77,6.59,6.66,819621.29
HBC,2020-01-01,5.32,5.42,5.23,5.32,1322698.06
HBC,2020-02-01,6.32,6.47,6.21,6.38,1817656.9
HBC,2020-03-01,5.16,5.29,5.05,5.13,2103910.0
HBC,2020-04-01,4.23,4.36,4.16,4.28,2428042.67
HBC,2020-05-01,4.64,4.76,4.58,4.66,2560713.23
HBC,2020-06-01,6.85,7.05,6.58,6.8,6314816.0
HBC,2020-07-01,6.53,6.66,6.4,6.5,2860734.84
HBC,2020-08-01,5.54,5.66,5.49,5.57,2764457.1
HBC,2020-09-01,6.24,6.34,6.15,6.24,3817136.33
HBC,2020-10-01,6.69,6.8,6.57,6.65,4039927.42
HBC,2020-11-01,6.85,7.0,6.76,6.9,4624351.33
HBC,2020-12-01,9.51,9.79,9.33,9.58,7296593.23
HBC,2021-01-01,9.57,9.89,9.4,9.63,5609529.03
HBC,2021-02-01,7.77,8.06,7.6,7.82,4408571.43
HBC,2021-03-01,11.88,12.13,11.67,11.85,5201954.84
HBC,2021-04-01,10.41,10.56,10.16,10.29,3836973.33
HBC,2021-05-01,8.59,8.77,8.44,8.52,3048067.74
HBC,2021-06-01,10.01,10.21,9.84,10.01,4192583.33
HBC,2021-07-01,8.4,8.54,8.24,8.33,2381745.16
HBC,2021-08-01,9.01,9.2,8.85,9.0,4056683.87
HBC,2021-09-01,9.08,9.3,8.94,9.1,4430906.67
HBC,2021-10-01,10.31,10.55,10.19,10.36,5647064.52
HBC,2021-11-01,15.76,16.4,15.41,15.97,8879713.33
HBC,2021-12-01,18.33,18.92,17.92,18.38,7028216.13
HBC,2022-01-01,17.51,18.21,16.93,17.44,6046783.87
HBC,2022-02-01,14.26,14.64,13.97,14.27,4097325.0
HBC,2022-03-01,18.85,19.28,18.52,18.82,4462129.03
HBC,2022-04-01,14.8,15.14,14.29,14.58,3857170.0
HBC,2022-05-01,12.25,12.7,11.94,12.3,2978919.35
HBC,2022-06-01,12.98,13.31,12.61,12.83,3649163.33
HBC,2022-07-01,12.09,12.44,11.93,12.17,3471722.58
HBC,2022-08-01,14.72,14.99,14.48,14.72,3900625.81
HBC,2022-09-01,12.65,12.9,12.33,12.57,2659314.9
HBC,2022-10-01,8.87,9.09,8.54,8.65,1616921.13
HBC,2022-11-01,6.27,6.49,6.11,6.29,2340353.5
HBC,2022-12-01,7.16,7.4,6.95,7.16,2972921.39
HBC,2023-01-01,4.8,4.93,4.7,4.82,1824666.03
HBC,2023-02-01,6.45,6.57,6.28,6.38,1660134.36
HBC,2023-03-01,6.09,6.17,6.01,6.07,1052272.65
HBC,2023-04-01,5.53,5.6,5.44,5.5,1818219.03
HBC,2023-05-01,5.43,5.57,5.33,5.41,3046001.26
HBC,2023-06-01,6.61,6.78,6.48,6.64,2797926.33
HBC,2023-07-01,6.44,6.63,6.35,6.52,2204821.19
HBC,2023-08-01,7.63,7.87,7.38,7.64,2795774.77
HBC,2023-09-01,5.74,5.83,5.61,5.7,1291262.57
HBC,2023-10-01,5.67,5.77,5.51,5.62,698528.94
HBC,2023-11-01,5.48,5.61,5.36,5.49,841342.97
HBC,2023-12-01,5.28,5.39,5.19,5.29,592686.03
HBC,2024-01-01,5.96,6.09,5.86,5.97,1609101.45
HBC,2024-02-01,4.79,4.87,4.74,4.78,1378056.97
HBC,2024-03-01,5.91,5.98,5.83,5.89,1277762.77
HBC,2024-04-01,4.94,4.99,4.86,4.92,912638.03
HBC,2024-05-01,5.5,5.56,5.43,5.49,767971.26
HBC,2024-06-01,5.21,5.26,5.16,5.19,520139.47
HBC,2024-07-01,5.5,5.55,5.42,5.45,1255562.61
HBC,2024-08-01,3.57,3.67,3.5,3.58,1569232.26
HBC,2024-09-01,1.98,2.04,1.92,1.97,656870.0
HBC,2024-10-01,3.73,3.79,3.65,3.73,599190.32
HBC,2024-11-01,3.49,3.53,3.41,3.48,617343.33
HBC,2024-12-01,3.76,3.91,3.69,3.82,1272364.52
HBC,2025-01-01,3.59,3.7,3.46,3.57,1091477.42
HBC,2025-02-01,4.93,5.06,4.82,4.97,1489046.43
HBC,2025-03-01,4.66,4.73,4.57,4.65,764990.32
HBC,2025-04-01,4.08,4.17,3.9,4.04,1068016.67
HBC,2025-05-01,4.03,4.09,3.94,4.04,871116.13
HBC,2025-06-01,4.52,4.59,4.44,4.53,855950.0
HBC,2025-07-01,5.22,5.35,5.09,5.24,3538690.32
HBC,2025-08-01,5.53,5.67,5.35,5.54,3980109.68
HBC,2025-09-01,5.24,5.3,5.11,5.19,1674246.67
HBC,2025-10-01,1.66,1.68,1.63,1.66,316032.26
