ticker,date,open,high,low,close,volume
KDH,2015-01-01,3.02,3.06,3.0,3.03,60891.61
KDH,2015-02-01,2.5,2.53,2.49,2.51,34831.07
KDH,2015-03-01,3.53,3.56,3.49,3.54,34122.9
KDH,2015-04-01,3.22,3.27,3.15,3.21,343270.0
KDH,2015-05-01,3.07,3.13,3.0,3.08,198921.29
KDH,2015-06-01,3.6,3.64,3.55,3.6,132861.0
KDH,2015-07-01,3.72,3.76,3.68,3.72,120277.42
KDH,2015-08-01,3.21,3.23,3.16,3.2,91795.81
KDH,2015-09-01,3.19,3.23,3.17,3.21,99831.67
KDH,2015-10-01,3.53,3.56,3.52,3.54,74969.03
KDH,2015-11-01,3.88,3.92,3.86,3.89,75064.0
KDH,2015-12-01,4.15,4.19,4.12,4.16,106436.45
KDH,2016-01-01,3.48,3.51,3.45,3.48,78683.87
KDH,2016-02-01,3.02,3.04,3.01,3.02,64798.28
KDH,2016-03-01,4.33,4.38,4.3,4.34,197212.26
KDH,2016-04-01,4.01,4.05,3.99,4.02,115581.0
KDH,2016-05-01,3.84,3.86,3.81,3.85,51669.68
KDH,2016-06-01,4.38,4.4,4.35,4.38,55621.33
KDH,2016-07-01,4.04,4.06,4.02,4.04,58768.39
KDH,2016-08-01,4.87,4.93,4.83,4.88,151190.32
KDH,2016-09-01,4.92,4.96,4.9,4.93,126346.0
KDH,2016-10-01,5.0,5.02,4.96,4.99,75214.84
KDH,2016-11-01,5.24,5.25,5.19,5.22,62297.0
KDH,2016-12-01,4.97,4.98,4.94,4.97,59781.61
KDH,2017-01-01,3.76,3.77,3.73,3.75,53849.35
KDH,2017-02-01,4.86,4.93,4.81,4.89,88851.07
KDH,2017-03-01,6.12,6.22,6.08,6.17,106156.45
KDH,2017-04-01,5.51,5.56,5.47,5.51,77904.0
KDH,2017-05-01,6.33,6.45,6.28,6.38,168860.97
KDH,2017-06-01,7.15,7.2,7.1,7.15,94495.67
KDH,2017-07-01,6.63,6.66,6.59,6.63,74721.94
KDH,2017-08-01,7.26,7.29,7.23,7.27,55652.9
KDH,2017-09-01,6.5,6.55,6.47,6.5,56053.0
KDH,2017-10-01,7.4,7.47,7.34,7.44,99474.84
KDH,2017-11-01,8.35,8.44,8.26,8.39,204237.67
KDH,2017-12-01,7.91,7.96,7.81,7.86,176093.23
KDH,2018-01-01,8.93,9.06,8.78,8.97,288753.23
KDH,2018-02-01,7.13,7.27,7.02,7.16,121656.79
KDH,2018-03-01,10.47,10.64,10.37,10.53,192419.68
KDH,2018-04-01,10.33,10.52,10.1,10.32,310887.0
KDH,2018-05-01,10.02,10.12,9.78,9.98,142574.19
KDH,2018-06-01,9.31,9.36,9.18,9.27,60633.67
KDH,2018-07-01,8.76,8.82,8.63,8.75,107350.32
KDH,2018-08-01,9.1,9.19,9.0,9.12,123815.81
KDH,2018-09-01,8.72,8.85,8.64,8.78,157971.33
KDH,2018-10-01,10.68,10.79,10.54,10.69,145082.58
KDH,2018-11-01,9.71,9.76,9.59,9.67,98568.33
KDH,2018-12-01,8.71,8.8,8.62,8.77,320113.23
KDH,2019-01-01,9.47,9.51,9.38,9.45,107368.06
KDH,2019-02-01,7.22,7.29,7.18,7.23,109727.5
KDH,2019-03-01,9.29,9.38,9.22,9.3,155090.65
KDH,2019-04-01,8.79,8.88,8.7,8.77,162772.33
KDH,2019-05-01,9.49,9.55,9.41,9.48,105144.19
KDH,2019-06-01,9.22,9.29,9.14,9.24,119537.67
KDH,2019-07-01,9.76,9.8,9.65,9.71,196618.06
KDH,2019-08-01,9.66,9.74,9.61,9.7,195762.9
KDH,2019-09-01,9.52,9.63,9.46,9.56,260915.33
KDH,2019-10-01,10.98,11.1,10.9,10.99,271827.42
KDH,2019-11-01,10.72,10.83,10.66,10.73,248960.33
KDH,2019-12-01,11.0,11.06,10.94,11.01,218855.81
KDH,2020-01-01,8.21,8.26,8.12,8.2,114169.68
KDH,2020-02-01,9.83,9.9,9.78,9.87,147998.28
KDH,2020-03-01,8.92,9.01,8.69,8.83,195997.42
KDH,2020-04-01,7.69,7.81,7.6,7.74,383634.33
KDH,2020-05-01,8.14,8.22,8.04,8.15,477519.68
KDH,2020-06-01,9.91,10.04,9.8,9.95,575374.67
KDH,2020-07-01,10.35,10.46,10.25,10.37,418554.52
KDH,2020-08-01,9.78,9.88,9.72,9.83,308701.29
KDH,2020-09-01,10.6,10.68,10.52,10.6,407821.67
KDH,2020-10-01,10.66,10.74,10.56,10.67,552509.03
KDH,2020-11-01,10.93,11.06,10.8,10.93,1333286.33
KDH,2020-12-01,12.82,13.02,12.69,12.88,1404091.61
KDH,2021-01-01,12.87,13.23,12.66,13.0,981316.13
KDH,2021-02-01,10.79,11.03,10.54,10.8,791350.0
KDH,2021-03-01,14.54,14.66,14.29,14.48,1181829.03
KDH,2021-04-01,13.42,13.7,13.24,13.46,2581100.0
KDH,2021-05-01,14.76,15.05,14.59,14.86,2904841.94
