ticker,date,open,high,low,close,volume
PDR,2015-01-01,2.08,2.1,2.05,2.08,176531.29
PDR,2015-02-01,1.6,1.61,1.58,1.61,98872.86
PDR,2015-03-01,2.39,2.41,2.36,2.39,165514.19
PDR,2015-04-01,2.13,2.14,2.11,2.13,154662.33
PDR,2015-05-01,2.21,2.25,2.2,2.22,671875.48
PDR,2015-06-01,2.7,2.74,2.67,2.7,951845.67
PDR,2015-07-01,3.02,3.09,2.96,3.04,1096999.03
PDR,2015-08-01,2.79,2.81,2.73,2.77,562787.1
PDR,2015-09-01,2.53,2.57,2.49,2.53,1648528.33
PDR,2015-10-01,2.3,2.34,2.25,2.29,625175.48
PDR,2015-11-01,2.2,2.24,2.17,2.21,581178.0
PDR,2015-12-01,2.28,2.31,2.25,2.28,413146.45
PDR,2016-01-01,1.99,2.02,1.97,2.0,284225.48
PDR,2016-02-01,1.68,1.69,1.67,1.69,233014.48
PDR,2016-03-01,2.47,2.53,2.45,2.5,601017.1
PDR,2016-04-01,2.36,2.39,2.34,2.36,573178.67
PDR,2016-05-01,2.23,2.27,2.22,2.24,397310.65
PDR,2016-06-01,2.49,2.51,2.46,2.49,360492.33
PDR,2016-07-01,2.11,2.14,2.08,2.11,507060.65
PDR,2016-08-01,2.22,2.24,2.2,2.22,536610.65
PDR,2016-09-01,2.11,2.14,2.08,2.11,652945.33
PDR,2016-10-01,2.1,2.13,2.08,2.11,721184.52
PDR,2016-11-01,2.47,2.51,2.43,2.49,605927.33
PDR,2016-12-01,2.27,2.3,2.25,2.28,399929.35
PDR,2017-01-01,1.75,1.76,1.74,1.76,179648.06
PDR,2017-02-01,2.32,2.34,2.3,2.33,406712.86
PDR,2017-03-01,2.62,2.69,2.6,2.65,781031.61
PDR,2017-04-01,3.61,3.69,3.51,3.62,350694.33
PDR,2017-05-01,4.33,4.4,4.26,4.34,363492.26
PDR,2017-06-01,5.04,5.13,4.99,5.08,557426.67
PDR,2017-07-01,4.93,4.98,4.88,4.93,495258.71
PDR,2017-08-01,5.5,5.57,5.45,5.51,682313.23
PDR,2017-09-01,5.2,5.26,5.17,5.23,882668.0
PDR,2017-10-01,5.95,6.0,5.92,5.97,868591.61
PDR,2017-11-01,6.6,6.68,6.57,6.64,1213547.33
PDR,2017-12-01,6.25,6.29,6.2,6.25,811080.97
PDR,2018-01-01,7.15,7.23,7.1,7.18,990028.39
PDR,2018-02-01,5.22,5.29,5.16,5.21,669431.43
PDR,2018-03-01,7.45,7.56,7.4,7.48,1061502.58
PDR,2018-04-01,6.92,7.0,6.8,6.91,809577.0
PDR,2018-05-01,7.09,7.13,6.97,7.07,493901.94
PDR,2018-06-01,7.02,7.09,6.93,7.04,731631.67
PDR,2018-07-01,5.96,6.03,5.85,5.94,618210.97
PDR,2018-08-01,6.12,6.18,6.03,6.1,764861.29
PDR,2018-09-01,5.23,5.3,5.19,5.25,810398.67
PDR,2018-10-01,6.32,6.38,6.25,6.32,976666.13
PDR,2018-11-01,6.24,6.27,6.18,6.25,804042.33
PDR,2018-12-01,5.51,5.56,5.43,5.51,507795.48
PDR,2019-01-01,5.8,5.85,5.72,5.81,390132.26
PDR,2019-02-01,4.58,4.62,4.54,4.58,373909.29
PDR,2019-03-01,6.0,6.06,5.93,6.02,621322.26
PDR,2019-04-01,5.83,5.88,5.77,5.83,634879.33
PDR,2019-05-01,6.72,6.77,6.66,6.72,649298.71
PDR,2019-06-01,6.58,6.66,6.54,6.61,632030.0
PDR,2019-07-01,7.71,7.77,7.67,7.72,692068.06
PDR,2019-08-01,7.42,7.48,7.37,7.43,641625.16
PDR,2019-09-01,6.95,6.98,6.91,6.94,443229.33
PDR,2019-10-01,7.66,7.68,7.62,7.66,536123.23
PDR,2019-11-01,7.22,7.24,7.17,7.22,427586.0
PDR,2019-12-01,7.65,7.72,7.54,7.65,523422.9
PDR,2020-01-01,5.81,5.87,5.69,5.81,436978.39
PDR,2020-02-01,7.41,7.44,7.33,7.41,430425.17
PDR,2020-03-01,7.42,7.47,7.31,7.45,317897.1
PDR,2020-04-01,6.88,6.94,6.83,6.92,331017.67
PDR,2020-05-01,7.29,7.42,7.22,7.37,524075.16
PDR,2020-06-01,8.63,8.72,8.41,8.56,456901.33
PDR,2020-07-01,8.47,8.59,8.37,8.48,488267.42
PDR,2020-08-01,8.26,8.4,8.19,8.33,604779.68
PDR,2020-09-01,11.77,12.07,11.62,11.95,913652.0
PDR,2020-10-01,12.99,13.17,12.85,13.03,1246824.52
PDR,2020-11-01,13.98,14.2,13.74,14.0,1698536.33
PDR,2020-12-01,16.79,17.15,16.54,17.0,2393825.16
PDR,2021-01-01,17.05,17.44,16.74,17.25,2318454.84
PDR,2021-02-01,16.29,16.57,15.93,16.49,2018517.86
PDR,2021-03-01,24.47,24.75,24.11,24.61,2531196.77
PDR,2021-04-01,26.28,26.76,25.89,26.45,2504976.67
PDR,2021-05-01,28.7,29.23,28.38,28.95,2241280.65
PDR,2021-06-01,38.94,39.78,38.36,39.36,3666830.0
PDR,2021-07-01,39.71,40.31,38.99,39.77,2376948.39
PDR,2021-08-01,39.12,39.64,38.55,39.09,2415816.13
PDR,2021-09-01,33.61,33.97,33.2,33.53,2149970.0
PDR,2021-10-01,37.79,38.42,37.43,38.1,3125758.06
PDR,2021-11-01,41.59,42.14,41.06,41.53,3135000.0
PDR,2021-12-01,43.55,43.98,42.95,43.49,3235890.32
PDR,2022-01-01,34.08,34.71,33.5,34.01,2257470.97
PDR,2022-02-01,31.6,31.88,31.11,31.48,1757175.0
PDR,2022-03-01,40.44,40.96,39.81,40.54,2782932.26
PDR,2022-04-01,36.23,36.74,35.45,36.23,1961613.33
PDR,2022-05-01,30.51,31.04,29.73,30.46,1539374.19
PDR,2022-06-01,31.91,32.24,31.29,31.9,1424996.67
PDR,2022-07-01,29.68,29.98,29.39,29.78,871296.77
PDR,2022-08-01,34.01,34.44,33.64,34.19,1930151.61
PDR,2022-09-01,29.03,29.38,28.67,29.05,1232985.07
PDR,2022-10-01,27.6,27.79,26.83,27.49,1121718.84
PDR,2022-11-01,14.92,15.01,14.75,14.87,6232373.3
PDR,2022-12-01,8.66,8.85,8.19,8.52,12668734.39
PDR,2023-01-01,6.2,6.32,6.03,6.18,4268195.03
PDR,2023-02-01,7.13,7.29,6.9,7.03,5178510.07
PDR,2023-03-01,7.26,7.4,7.13,7.33,3717579.81
PDR,2023-04-01,7.51,7.65,7.32,7.53,6264555.23
PDR,2023-05-01,7.38,7.48,7.27,7.38,4815183.19
PDR,2023-06-01,10.18,10.4,9.95,10.17,11459676.17
PDR,2023-07-01,10.89,11.14,10.7,10.98,10280173.74
PDR,2023-08-01,13.68,13.99,13.41,13.75,11201208.03
PDR,2023-09-01,13.31,13.55,12.91,13.26,8354347.63
PDR,2023-10-01,13.96,14.31,13.51,13.91,7525892.65
PDR,2023-11-01,15.74,16.12,15.39,15.85,11688953.5
PDR,2023-12-01,15.54,15.73,15.23,15.49,7729226.94
PDR,2024-01-01,16.52,16.75,16.32,16.51,7148074.39
PDR,2024-02-01,13.48,13.67,13.32,13.47,6451532.97
PDR,2024-03-01,16.72,16.98,16.47,16.73,9604182.61
PDR,2024-04-01,15.9,16.2,15.55,15.82,7155914.23
PDR,2024-05-01,16.68,16.88,16.42,16.65,5867196.06
PDR,2024-06-01,15.57,15.74,15.34,15.46,4246467.83
PDR,2024-07-01,15.14,15.34,14.8,15.0,3817572.74
PDR,2024-08-01,12.63,12.92,12.33,12.7,8203981.9
PDR,2024-09-01,12.84,13.08,12.64,12.87,6248698.4
PDR,2024-10-01,14.52,14.75,14.27,14.46,6641555.58
PDR,2024-11-01,13.56,13.77,13.37,13.56,4523077.63
PDR,2024-12-01,13.93,14.08,13.76,13.92,5890518.58
PDR,2025-01-01,9.7,9.82,9.51,9.64,2485111.26
PDR,2025-02-01,12.74,12.92,12.61,12.74,4385382.71
PDR,2025-03-01,12.61,12.78,12.42,12.61,6177677.16
PDR,2025-04-01,10.2,10.39,10.03,10.24,5172582.97
PDR,2025-05-01,9.96,10.12,9.77,9.96,6108794.87
PDR,2025-06-01,11.52,11.72,11.36,11.54,7565268.97
PDR,2025-07-01,13.54,13.84,13.23,13.52,15711148.29
PDR,2025-08-01,15.46,15.91,15.03,15.54,21473818.71
PDR,2025-09-01,16.12,16.51,15.76,16.06,16330253.33
PDR,2025-10-01,5.19,5.27,5.07,5.16,2997106.45
