ticker,date,open,high,low,close,volume
VRE,2017-11-01,23.45,23.76,22.96,23.37,2431164.67
VRE,2017-12-01,25.28,25.63,24.82,25.22,1040515.81
VRE,2018-01-01,29.99,30.82,29.59,30.08,2034289.68
VRE,2018-02-01,21.7,22.16,21.27,21.73,2003046.79
VRE,2018-03-01,29.98,30.39,29.35,29.77,2587346.13
VRE,2018-04-01,25.02,25.43,24.46,24.84,1264812.0
VRE,2018-05-01,25.3,25.73,24.68,25.25,1652754.19
VRE,2018-06-01,23.78,24.1,23.31,23.64,985886.0
VRE,2018-07-01,21.94,22.38,21.56,22.05,864190.65
VRE,2018-08-01,23.84,24.1,23.61,23.77,914008.06
VRE,2018-09-01,19.18,19.47,18.99,19.24,1303764.33
VRE,2018-10-01,22.42,22.78,22.09,22.32,1180699.35
VRE,2018-11-01,21.75,22.06,21.55,21.79,846584.33
VRE,2018-12-01,19.6,19.86,19.38,19.58,1048182.58
VRE,2019-01-01,20.13,20.41,19.88,20.15,787770.97
VRE,2019-02-01,16.61,16.97,16.33,16.69,1363857.14
VRE,2019-03-01,23.2,23.65,22.85,23.26,1953058.06
VRE,2019-04-01,21.47,21.79,21.24,21.52,1254901.67
VRE,2019-05-01,24.87,25.16,24.66,24.87,1509812.58
VRE,2019-06-01,22.95,23.14,22.78,22.93,714666.33
VRE,2019-07-01,26.81,27.16,26.6,26.92,1318863.55
VRE,2019-08-01,25.07,25.3,24.83,25.0,1042427.74
VRE,2019-09-01,22.64,22.8,22.46,22.54,1340391.33
VRE,2019-10-01,23.88,24.08,23.71,23.87,2021935.16
VRE,2019-11-01,24.32,24.59,24.06,24.34,3489247.33
VRE,2019-12-01,23.94,24.2,23.7,23.95,2048263.55
VRE,2020-01-01,18.24,18.36,17.97,18.11,517061.61
VRE,2020-02-01,20.83,21.22,20.55,20.93,1054584.83
VRE,2020-03-01,16.49,16.91,16.11,16.59,1969653.23
VRE,2020-04-01,15.63,16.13,15.29,15.81,2081593.33
VRE,2020-05-01,16.2,16.6,15.99,16.33,2942941.61
VRE,2020-06-01,19.96,20.23,19.55,19.87,1860074.0
VRE,2020-07-01,19.77,20.11,19.53,19.86,1763213.87
VRE,2020-08-01,18.0,18.22,17.85,18.01,1537461.29
VRE,2020-09-01,19.8,20.03,19.6,19.83,2094172.0
VRE,2020-10-01,19.5,19.64,19.18,19.36,3014333.23
