ticker,date,open,high,low,close,volume
FTS,2017-01-01,0.88,0.91,0.87,0.89,46748.39
FTS,2017-02-01,2.08,2.11,2.06,2.09,43350.0
FTS,2017-03-01,2.3,2.33,2.29,2.31,34787.1
FTS,2017-04-01,2.0,2.02,1.99,2.01,24939.67
FTS,2017-05-01,2.18,2.2,2.16,2.18,29449.03
FTS,2017-06-01,2.38,2.39,2.35,2.38,79186.67
FTS,2017-07-01,2.17,2.18,2.14,2.16,47518.71
FTS,2017-08-01,2.3,2.32,2.28,2.3,24803.55
FTS,2017-09-01,2.03,2.05,2.02,2.04,12567.33
FTS,2017-10-01,2.21,2.23,2.19,2.21,13619.35
FTS,2017-11-01,2.21,2.23,2.19,2.21,28966.67
FTS,2017-12-01,2.14,2.17,2.12,2.15,61182.58
FTS,2018-01-01,2.69,2.73,2.65,2.7,75114.19
FTS,2018-02-01,2.05,2.1,2.01,2.06,32519.29
FTS,2018-03-01,2.92,2.96,2.89,2.93,62226.77
FTS,2018-04-01,2.74,2.79,2.69,2.74,61127.67
FTS,2018-05-01,2.99,3.02,2.95,2.98,20371.61
FTS,2018-06-01,2.88,2.94,2.83,2.9,21440.67
FTS,2018-07-01,2.87,2.9,2.82,2.87,16119.68
FTS,2018-08-01,2.97,2.99,2.95,2.98,12710.65
FTS,2018-09-01,2.68,2.72,2.65,2.7,46606.0
FTS,2018-10-01,3.69,3.76,3.65,3.71,48124.19
FTS,2018-11-01,3.88,3.95,3.83,3.9,53875.33
FTS,2018-12-01,3.35,3.39,3.27,3.34,22007.1
FTS,2019-01-01,3.57,3.62,3.52,3.55,17656.45
FTS,2019-02-01,2.77,2.79,2.72,2.77,19511.79
FTS,2019-03-01,3.51,3.55,3.48,3.52,31101.29
FTS,2019-04-01,3.24,3.26,3.21,3.24,25329.67
FTS,2019-05-01,3.59,3.61,3.54,3.56,21390.65
FTS,2019-06-01,3.07,3.11,3.03,3.06,9601.0
FTS,2019-07-01,3.35,3.38,3.29,3.33,31790.0
FTS,2019-08-01,3.13,3.16,3.09,3.12,24690.97
FTS,2019-09-01,2.86,2.88,2.84,2.86,13553.67
FTS,2019-10-01,3.01,3.03,2.97,3.0,30995.81
FTS,2019-11-01,2.83,2.87,2.8,2.84,50194.0
FTS,2019-12-01,2.97,3.0,2.92,2.96,10350.0
FTS,2020-01-01,2.19,2.22,2.15,2.18,44686.13
FTS,2020-02-01,3.0,3.06,2.95,3.01,58482.76
FTS,2020-03-01,2.95,3.05,2.9,2.97,72451.94
FTS,2020-04-01,2.51,2.56,2.48,2.53,35956.67
FTS,2020-05-01,2.76,2.8,2.72,2.76,56082.26
FTS,2020-06-01,3.73,3.8,3.65,3.74,215234.67
FTS,2020-07-01,4.13,4.21,4.03,4.11,351665.16
FTS,2020-08-01,3.36,3.43,3.33,3.39,211448.71
FTS,2020-09-01,3.78,3.84,3.73,3.79,264488.67
FTS,2020-10-01,3.64,3.68,3.59,3.62,221167.1
FTS,2020-11-01,3.47,3.5,3.42,3.46,187601.67
FTS,2020-12-01,4.14,4.24,4.07,4.18,709109.68
FTS,2021-01-01,4.48,4.61,4.37,4.48,712180.65
FTS,2021-02-01,3.44,3.5,3.35,3.43,259635.71
FTS,2021-03-01,5.12,5.19,5.04,5.11,463390.32
FTS,2021-04-01,4.73,4.78,4.64,4.71,419720.0
FTS,2021-05-01,5.76,6.0,5.71,5.94,706064.52
FTS,2021-06-01,10.64,11.06,10.36,10.84,438453.33
FTS,2021-07-01,10.99,11.29,10.68,11.01,286245.16
FTS,2021-08-01,15.1,15.55,14.74,15.33,726948.39
FTS,2021-09-01,17.26,17.66,16.88,17.32,502116.67
FTS,2021-10-01,18.15,18.48,17.81,18.19,467412.9
FTS,2021-11-01,23.13,23.77,22.66,23.22,675236.67
FTS,2021-12-01,20.35,20.69,19.88,20.19,540861.29
FTS,2022-01-01,14.15,14.46,13.84,14.07,230916.13
FTS,2022-02-01,13.81,14.13,13.56,13.93,228032.14
FTS,2022-03-01,17.88,18.21,17.57,17.87,358987.1
FTS,2022-04-01,16.08,16.65,15.58,16.05,451196.67
FTS,2022-05-01,11.1,11.43,10.7,11.01,265551.61
FTS,2022-06-01,11.06,11.33,10.74,10.97,424013.33
FTS,2022-07-01,11.36,11.78,11.05,11.4,615345.16
FTS,2022-08-01,15.32,15.65,15.0,15.45,872193.55
FTS,2022-09-01,12.97,13.2,12.57,12.83,436462.57
FTS,2022-10-01,10.96,11.23,10.52,10.77,383256.68
FTS,2022-11-01,7.47,7.71,7.23,7.41,1055620.2
FTS,2022-12-01,8.12,8.39,7.81,8.05,1396835.19
FTS,2023-01-01,5.93,6.07,5.81,5.95,650624.35
FTS,2023-02-01,7.76,7.9,7.54,7.66,765440.86
FTS,2023-03-01,8.65,8.89,8.5,8.73,1388617.55
FTS,2023-04-01,10.38,10.66,10.11,10.38,1689162.97
FTS,2023-05-01,10.96,11.2,10.76,10.99,1231597.26
FTS,2023-06-01,13.87,14.07,13.59,13.81,1314401.4
FTS,2023-07-01,13.52,13.74,13.36,13.56,1060146.97
FTS,2023-08-01,15.36,15.61,15.1,15.38,1166660.77
FTS,2023-09-01,17.04,17.53,16.61,17.11,1536760.77
FTS,2023-10-01,18.88,19.41,18.14,18.69,1924109.45
FTS,2023-11-01,18.65,19.1,18.24,18.77,1607017.27
FTS,2023-12-01,18.74,18.92,18.44,18.74,999440.81
FTS,2024-01-01,20.09,20.48,19.88,20.12,959310.06
FTS,2024-02-01,17.57,17.98,17.37,17.72,742067.34
FTS,2024-03-01,26.35,26.82,25.86,26.34,1388749.68
FTS,2024-04-01,23.36,23.88,22.77,23.24,1304460.4
FTS,2024-05-01,28.11,28.47,27.58,28.06,1645720.32
FTS,2024-06-01,27.25,27.51,26.78,26.99,1397224.63
FTS,2024-07-01,27.24,27.63,26.75,27.12,1330928.94
FTS,2024-08-01,26.13,26.71,25.67,26.28,2453347.71
FTS,2024-09-01,25.13,25.47,24.83,25.14,1871459.5
FTS,2024-10-01,28.99,29.27,28.62,28.85,1373242.16
FTS,2024-11-01,26.36,26.78,26.02,26.39,1227932.2
FTS,2024-12-01,27.37,27.66,27.09,27.34,1215784.35
FTS,2025-01-01,20.19,20.4,19.96,20.1,692718.26
FTS,2025-02-01,27.29,27.73,27.06,27.42,1640246.43
FTS,2025-03-01,30.5,31.11,30.1,30.58,2100324.32
FTS,2025-04-01,24.49,25.03,24.0,24.35,3178911.2
FTS,2025-05-01,22.84,23.22,22.51,22.77,2414632.74
FTS,2025-06-01,25.78,26.15,25.5,25.74,2487270.0
FTS,2025-07-01,30.23,30.9,29.66,30.18,5609700.0
FTS,2025-08-01,27.65,28.19,27.04,27.49,4424419.35
FTS,2025-09-01,25.22,25.42,24.78,24.98,1419500.0
FTS,2025-10-01,8.12,8.22,7.95,8.07,441861.29
