ticker,date,open,high,low,close,volume
SHS,2015-01-01,1.39,1.43,1.37,1.4,1035187.77
SHS,2015-02-01,0.99,1.0,0.98,0.98,269205.71
SHS,2015-03-01,1.38,1.39,1.36,1.37,502464.13
SHS,2015-04-01,1.06,1.08,1.04,1.06,363021.53
SHS,2015-05-01,0.94,0.97,0.92,0.95,611777.94
SHS,2015-06-01,1.3,1.33,1.28,1.29,937274.73
SHS,2015-07-01,1.26,1.29,1.24,1.25,689181.42
SHS,2015-08-01,1.06,1.09,1.0,1.03,525651.13
SHS,2015-09-01,0.98,1.0,0.97,0.98,177668.87
SHS,2015-10-01,1.0,1.02,0.99,1.0,319746.45
SHS,2015-11-01,1.07,1.09,1.05,1.07,508859.73
SHS,2015-12-01,1.11,1.14,1.09,1.12,260562.13
SHS,2016-01-01,0.92,0.93,0.89,0.91,387656.06
SHS,2016-02-01,0.81,0.82,0.79,0.81,180455.17
SHS,2016-03-01,1.09,1.1,1.08,1.09,282032.16
SHS,2016-04-01,0.95,0.96,0.94,0.95,238890.73
SHS,2016-05-01,0.88,0.89,0.87,0.87,130422.9
SHS,2016-06-01,0.97,0.98,0.96,0.97,171980.67
SHS,2016-07-01,0.92,0.94,0.9,0.92,240776.81
SHS,2016-08-01,0.96,0.96,0.95,0.96,116603.68
SHS,2016-09-01,0.82,0.83,0.81,0.82,168034.57
SHS,2016-10-01,0.75,0.77,0.74,0.75,207366.65
SHS,2016-11-01,0.79,0.8,0.78,0.79,133967.17
SHS,2016-12-01,0.69,0.7,0.68,0.69,92748.26
SHS,2017-01-01,0.55,0.56,0.54,0.55,115063.03
SHS,2017-02-01,0.77,0.79,0.76,0.78,352237.71
SHS,2017-03-01,1.11,1.14,1.09,1.12,649475.81
SHS,2017-04-01,1.04,1.06,1.02,1.04,521036.63
SHS,2017-05-01,1.35,1.4,1.32,1.36,1369475.06
SHS,2017-06-01,2.06,2.13,2.03,2.09,1248830.1
SHS,2017-07-01,2.22,2.27,2.17,2.22,1097582.9
SHS,2017-08-01,2.53,2.58,2.49,2.53,971610.45
SHS,2017-09-01,2.43,2.48,2.41,2.44,943565.8
SHS,2017-10-01,2.85,2.88,2.8,2.84,1044458.13
SHS,2017-11-01,2.88,2.94,2.85,2.9,1356425.97
SHS,2017-12-01,2.95,3.01,2.89,2.95,1111081.48
SHS,2018-01-01,3.46,3.53,3.39,3.46,1746396.29
SHS,2018-02-01,2.55,2.61,2.47,2.55,1267604.5
SHS,2018-03-01,3.64,3.71,3.57,3.65,1823641.58
SHS,2018-04-01,3.1,3.17,3.0,3.07,1312090.8
SHS,2018-05-01,2.65,2.71,2.54,2.63,909683.13
SHS,2018-06-01,2.36,2.43,2.31,2.37,819053.33
SHS,2018-07-01,2.02,2.07,1.95,2.02,834980.1
SHS,2018-08-01,2.38,2.42,2.34,2.39,969143.58
SHS,2018-09-01,2.18,2.22,2.14,2.19,987701.33
SHS,2018-10-01,2.41,2.45,2.35,2.4,1073630.77
SHS,2018-11-01,2.23,2.26,2.18,2.23,618564.13
SHS,2018-12-01,1.95,1.97,1.92,1.94,694328.32
SHS,2019-01-01,1.9,1.92,1.87,1.89,284847.58
SHS,2019-02-01,1.54,1.58,1.52,1.56,500890.43
SHS,2019-03-01,2.0,2.02,1.96,1.99,493579.71
SHS,2019-04-01,1.84,1.86,1.82,1.84,327576.43
SHS,2019-05-01,2.09,2.12,2.07,2.1,566129.74
SHS,2019-06-01,1.96,1.98,1.93,1.95,434402.57
SHS,2019-07-01,2.08,2.1,2.04,2.07,390476.65
SHS,2019-08-01,1.72,1.74,1.69,1.71,347837.13
SHS,2019-09-01,1.44,1.47,1.41,1.45,535837.07
SHS,2019-10-01,1.79,1.81,1.76,1.79,289094.52
SHS,2019-11-01,1.7,1.72,1.67,1.7,298893.3
SHS,2019-12-01,1.59,1.61,1.57,1.59,167552.97
SHS,2020-01-01,1.2,1.21,1.18,1.2,187575.55
SHS,2020-02-01,1.39,1.43,1.36,1.41,492242.48
SHS,2020-03-01,1.43,1.49,1.38,1.44,1117192.94
SHS,2020-04-01,1.53,1.59,1.48,1.54,1417915.47
SHS,2020-05-01,1.64,1.68,1.6,1.64,1194970.87
SHS,2020-06-01,2.56,2.67,2.47,2.58,2712006.97
SHS,2020-07-01,2.71,2.77,2.64,2.7,1751684.65
SHS,2020-08-01,2.33,2.38,2.3,2.34,1494685.77
SHS,2020-09-01,2.61,2.65,2.57,2.62,2022185.17
SHS,2020-10-01,2.95,3.02,2.91,2.96,2627227.84
SHS,2020-11-01,3.04,3.09,3.0,3.06,2054876.67
SHS,2020-12-01,4.1,4.26,4.04,4.2,4143138.9
SHS,2021-01-01,5.56,5.74,5.36,5.55,3903458.19
SHS,2021-02-01,4.27,4.42,4.13,4.3,3510922.21
SHS,2021-03-01,6.6,6.71,6.45,6.61,5950668.84
SHS,2021-04-01,6.41,6.56,6.24,6.37,6865259.3
SHS,2021-05-01,6.32,6.55,6.23,6.43,5936598.1
SHS,2021-06-01,9.44,9.77,9.19,9.49,7405224.5
SHS,2021-07-01,9.32,9.59,9.01,9.31,4794083.03
SHS,2021-08-01,11.19,11.46,10.91,11.27,5468589.29
SHS,2021-09-01,11.56,11.71,11.34,11.5,3279326.3
SHS,2021-10-01,11.25,11.45,11.1,11.28,2766432.35
SHS,2021-11-01,15.32,15.81,14.94,15.55,7479318.6
SHS,2021-12-01,16.5,16.87,16.12,16.44,5672361.16
SHS,2022-01-01,12.3,12.6,11.91,12.15,3997715.65
SHS,2022-02-01,10.67,10.93,10.49,10.73,2583016.54
SHS,2022-03-01,13.97,14.21,13.64,13.91,3376281.39
SHS,2022-04-01,10.57,10.91,10.12,10.45,3489086.03
SHS,2022-05-01,7.14,7.69,6.95,7.35,5806399.19
SHS,2022-06-01,7.8,8.15,7.53,7.77,6018823.17
SHS,2022-07-01,6.91,7.12,6.7,6.89,7124265.52
SHS,2022-08-01,8.99,9.21,8.72,8.93,10793125.03
