ticker,date,open,high,low,close,volume
SSI,2015-01-01,4.08,4.11,4.03,4.06,1160704.52
SSI,2015-02-01,3.07,3.1,3.04,3.07,703981.07
SSI,2015-03-01,4.38,4.41,4.32,4.34,1159112.58
SSI,2015-04-01,3.63,3.67,3.6,3.63,810704.67
SSI,2015-05-01,3.68,3.74,3.64,3.7,1330396.77
SSI,2015-06-01,4.8,4.88,4.75,4.81,3516843.33
SSI,2015-07-01,5.48,5.56,5.41,5.5,4375220.0
SSI,2015-08-01,5.08,5.17,5.0,5.1,3440720.65
SSI,2015-09-01,5.32,5.37,5.26,5.3,1954777.0
SSI,2015-10-01,5.25,5.3,5.21,5.24,1861607.1
SSI,2015-11-01,5.05,5.1,5.01,5.04,1150245.67
SSI,2015-12-01,5.18,5.23,5.14,5.17,1649855.16
SSI,2016-01-01,4.01,4.07,3.95,4.0,1435917.1
SSI,2016-02-01,3.6,3.67,3.58,3.63,1479054.14
SSI,2016-03-01,5.08,5.13,5.03,5.06,1844618.71
SSI,2016-04-01,4.44,4.48,4.4,4.43,1326226.33
SSI,2016-05-01,4.13,4.17,4.09,4.13,938610.97
SSI,2016-06-01,4.75,4.81,4.7,4.75,1191579.67
SSI,2016-07-01,4.76,4.84,4.7,4.76,2364396.45
SSI,2016-08-01,4.98,5.03,4.93,4.96,1096721.94
SSI,2016-09-01,4.63,4.67,4.6,4.63,1180522.33
SSI,2016-10-01,4.64,4.67,4.6,4.62,962987.42
SSI,2016-11-01,4.81,4.83,4.75,4.79,687141.0
SSI,2016-12-01,4.4,4.44,4.37,4.4,868067.42
SSI,2017-01-01,3.57,3.6,3.55,3.58,621155.16
SSI,2017-02-01,4.59,4.63,4.55,4.59,1054133.21
SSI,2017-03-01,5.28,5.35,5.24,5.29,2079818.71
SSI,2017-04-01,4.65,4.7,4.59,4.63,1693081.33
SSI,2017-05-01,5.32,5.42,5.24,5.31,3410630.32
SSI,2017-06-01,6.28,6.35,6.22,6.29,2714158.0
SSI,2017-07-01,5.78,5.83,5.7,5.75,2792832.9
SSI,2017-08-01,6.02,6.07,5.96,6.0,2393797.1
SSI,2017-09-01,5.42,5.46,5.39,5.41,1402685.33
SSI,2017-10-01,5.74,5.77,5.68,5.71,1930191.94
SSI,2017-11-01,5.96,6.04,5.91,5.99,2594533.67
SSI,2017-12-01,6.25,6.34,6.15,6.25,3349244.19
SSI,2018-01-01,7.6,7.77,7.48,7.65,5368929.68
SSI,2018-02-01,6.05,6.2,5.97,6.09,3182733.93
SSI,2018-03-01,9.31,9.45,9.15,9.31,4646924.19
SSI,2018-04-01,8.71,8.87,8.51,8.66,3844180.0
SSI,2018-05-01,7.87,8.03,7.65,7.82,3415800.32
SSI,2018-06-01,7.51,7.66,7.36,7.52,3355302.67
SSI,2018-07-01,6.56,6.7,6.4,6.57,3065696.45
SSI,2018-08-01,7.48,7.61,7.39,7.51,2682215.48
SSI,2018-09-01,6.79,6.87,6.74,6.81,2341995.67
SSI,2018-10-01,7.8,7.91,7.7,7.79,2310546.77
SSI,2018-11-01,7.14,7.22,7.07,7.15,1222662.0
SSI,2018-12-01,6.35,6.41,6.29,6.34,1129467.74
SSI,2019-01-01,6.35,6.4,6.28,6.33,966857.1
SSI,2019-02-01,5.06,5.12,5.04,5.08,1255635.0
SSI,2019-03-01,6.63,6.68,6.56,6.62,939207.74
SSI,2019-04-01,5.86,5.9,5.8,5.84,708586.0
SSI,2019-05-01,6.22,6.28,6.17,6.22,1114544.84
SSI,2019-06-01,5.72,5.76,5.69,5.72,626788.67
SSI,2019-07-01,6.39,6.42,6.33,6.36,943377.42
SSI,2019-08-01,5.38,5.44,5.32,5.38,993757.74
SSI,2019-09-01,4.96,5.0,4.91,4.96,1253089.33
SSI,2019-10-01,5.74,5.79,5.69,5.73,1260061.61
SSI,2019-11-01,5.34,5.37,5.28,5.31,1234259.33
SSI,2019-12-01,4.84,4.88,4.79,4.81,779835.48
SSI,2020-01-01,3.65,3.69,3.61,3.66,941765.81
SSI,2020-02-01,4.26,4.32,4.21,4.27,1297756.55
SSI,2020-03-01,3.62,3.69,3.53,3.6,2072585.16
SSI,2020-04-01,3.57,3.64,3.51,3.59,2382979.0
SSI,2020-05-01,3.78,3.85,3.73,3.8,3035046.77
SSI,2020-06-01,4.73,4.81,4.62,4.71,4356599.67
SSI,2020-07-01,4.86,4.93,4.77,4.84,3896497.42
SSI,2020-08-01,4.41,4.46,4.36,4.41,2777586.77
SSI,2020-09-01,4.98,5.06,4.94,5.0,4410580.33
SSI,2020-10-01,5.62,5.69,5.52,5.61,4095912.9
SSI,2020-11-01,5.62,5.69,5.57,5.63,3936482.0
SSI,2020-12-01,8.32,8.59,8.22,8.5,8657265.81
SSI,2021-01-01,9.59,9.83,9.33,9.57,8696629.03
SSI,2021-02-01,7.49,7.69,7.31,7.54,7498514.29
SSI,2021-03-01,10.93,11.04,10.73,10.88,7749545.16
SSI,2021-04-01,10.15,10.31,9.94,10.12,9437276.67
SSI,2021-05-01,10.43,10.74,10.31,10.58,9816567.74
SSI,2021-06-01,16.23,16.72,15.94,16.39,10992876.67
SSI,2021-07-01,17.03,17.42,16.62,17.04,9688745.16
SSI,2021-08-01,19.19,19.53,18.89,19.26,11153161.29
SSI,2021-09-01,18.7,18.88,18.45,18.59,6834316.67
SSI,2021-10-01,18.08,18.3,17.85,18.05,6760293.55
SSI,2021-11-01,22.77,23.37,22.39,22.96,17748043.33
SSI,2021-12-01,25.52,25.94,25.0,25.4,13018612.9
SSI,2022-01-01,19.21,19.59,18.78,19.07,8250503.23
SSI,2022-02-01,17.06,17.33,16.88,17.08,4776610.71
SSI,2022-03-01,21.94,22.17,21.64,21.82,7355567.74
SSI,2022-04-01,17.34,17.67,16.88,17.19,6240566.67
SSI,2022-05-01,12.22,12.57,11.89,12.17,11822829.03
SSI,2022-06-01,11.87,12.14,11.55,11.72,11664436.67
SSI,2022-07-01,10.14,10.38,9.97,10.2,12500829.03
SSI,2022-08-01,13.25,13.53,13.04,13.31,15389622.58
SSI,2022-09-01,10.43,10.59,10.17,10.34,11096758.67
SSI,2022-10-01,8.52,8.7,8.22,8.4,11822107.94
SSI,2022-11-01,8.45,8.76,8.25,8.55,15927637.5
SSI,2022-12-01,10.11,10.35,9.78,10.02,16344307.0
SSI,2023-01-01,7.44,7.61,7.34,7.49,7844812.74
SSI,2023-02-01,10.26,10.4,10.0,10.15,9651758.29
SSI,2023-03-01,10.8,11.0,10.67,10.83,12817601.65
SSI,2023-04-01,10.67,10.8,10.49,10.62,13418464.13
SSI,2023-05-01,10.7,10.85,10.6,10.71,12065069.13
SSI,2023-06-01,13.87,14.1,13.68,13.89,15081822.47
SSI,2023-07-01,14.42,14.62,14.25,14.48,12159336.45
SSI,2023-08-01,16.89,17.21,16.62,16.94,19730874.0
SSI,2023-09-01,16.44,16.73,16.07,16.37,19938175.3
SSI,2023-10-01,16.97,17.3,16.51,16.85,18072797.61
SSI,2023-11-01,17.17,17.52,16.88,17.24,17377879.13
SSI,2023-12-01,16.81,16.99,16.62,16.79,12658635.13
SSI,2024-01-01,18.24,18.44,18.08,18.24,15598458.71
SSI,2024-02-01,14.76,14.94,14.63,14.78,12666986.34
SSI,2024-03-01,19.36,19.59,19.09,19.32,18358099.48
SSI,2024-04-01,17.58,17.79,17.3,17.5,12923286.2
SSI,2024-05-01,19.3,19.46,19.06,19.25,10505958.77
SSI,2024-06-01,18.04,18.17,17.85,17.99,8854345.1
SSI,2024-07-01,19.2,19.34,18.97,19.1,6910360.52
SSI,2024-08-01,17.34,17.57,17.08,17.34,9844871.84
SSI,2024-09-01,16.16,16.33,16.0,16.17,9283843.9
SSI,2024-10-01,19.72,19.88,19.57,19.66,8102661.94
SSI,2024-11-01,17.21,17.35,16.99,17.12,8326580.23
SSI,2024-12-01,17.87,18.06,17.71,17.92,10597089.06
SSI,2025-01-01,13.22,13.36,13.07,13.16,6459969.77
