ticker,date,open,high,low,close,volume
VCI,2017-07-01,5.52,5.57,5.46,5.51,287576.13
VCI,2017-08-01,7.63,7.67,7.58,7.63,141667.1
VCI,2017-09-01,6.54,6.59,6.48,6.54,65184.33
VCI,2017-10-01,7.51,7.59,7.43,7.5,75580.65
VCI,2017-11-01,8.51,8.66,8.43,8.58,66049.33
VCI,2017-12-01,8.46,8.57,8.37,8.48,42887.1
VCI,2018-01-01,10.09,10.26,9.97,10.15,51742.58
VCI,2018-02-01,7.51,7.71,7.39,7.53,63874.29
VCI,2018-03-01,11.68,11.96,11.56,11.82,83412.26
VCI,2018-04-01,11.86,12.07,11.6,11.76,94627.33
VCI,2018-05-01,11.53,11.78,11.24,11.58,73655.48
VCI,2018-06-01,10.58,10.76,10.43,10.62,56023.33
VCI,2018-07-01,9.14,9.33,8.91,9.12,72003.87
VCI,2018-08-01,10.17,10.33,10.05,10.2,98580.97
VCI,2018-09-01,9.2,9.33,9.13,9.22,114395.67
VCI,2018-10-01,10.35,10.55,10.19,10.35,109900.97
VCI,2018-11-01,8.93,9.01,8.77,8.88,60698.33
VCI,2018-12-01,7.19,7.3,7.08,7.2,97399.03
VCI,2019-01-01,6.65,6.72,6.51,6.58,55223.87
VCI,2019-02-01,4.93,5.04,4.88,4.99,127942.5
VCI,2019-03-01,6.68,6.73,6.59,6.63,72090.97
VCI,2019-04-01,5.59,5.64,5.5,5.56,63936.0
VCI,2019-05-01,5.45,5.51,5.36,5.41,103440.0
VCI,2019-06-01,5.16,5.23,5.1,5.16,65462.33
VCI,2019-07-01,5.91,5.99,5.83,5.94,48108.39
VCI,2019-08-01,5.83,5.94,5.75,5.86,38539.68
VCI,2019-09-01,5.45,5.52,5.36,5.45,26502.0
VCI,2019-10-01,6.28,6.35,6.2,6.29,23273.87
VCI,2019-11-01,5.79,5.87,5.74,5.79,106512.0
VCI,2019-12-01,5.4,5.44,5.3,5.37,35921.29
VCI,2020-01-01,3.84,3.9,3.77,3.82,16235.16
VCI,2020-02-01,4.53,4.64,4.45,4.58,24539.66
VCI,2020-03-01,3.58,3.66,3.51,3.57,54209.03
VCI,2020-04-01,2.82,2.89,2.76,2.83,317161.67
VCI,2020-05-01,3.44,3.54,3.37,3.46,504217.42
VCI,2020-06-01,4.18,4.27,4.07,4.16,659834.0
VCI,2020-07-01,4.24,4.31,4.16,4.23,519920.32
VCI,2020-08-01,3.95,4.04,3.9,3.98,456811.29
VCI,2020-09-01,5.09,5.19,5.02,5.12,608604.33
VCI,2020-10-01,6.51,6.69,6.36,6.54,848897.1
VCI,2020-11-01,7.42,7.56,7.32,7.43,700149.33
VCI,2020-12-01,9.15,9.43,9.01,9.28,1059118.06
VCI,2021-01-01,10.1,10.35,9.84,10.09,1054429.03
VCI,2021-02-01,7.53,7.7,7.35,7.55,538692.86
VCI,2021-03-01,11.74,11.96,11.51,11.79,1075009.68
VCI,2021-04-01,11.55,11.75,11.31,11.53,910730.0
VCI,2021-05-01,12.38,12.73,12.22,12.52,1489290.32
VCI,2021-06-01,18.99,19.48,18.67,19.11,2260846.67
VCI,2021-07-01,20.06,20.55,19.53,20.02,2578496.77
VCI,2021-08-01,22.4,22.94,21.99,22.55,4565335.48
VCI,2021-09-01,22.76,23.09,22.4,22.73,3204180.0
VCI,2021-10-01,22.84,23.2,22.47,22.84,3110135.48
VCI,2021-11-01,29.38,30.11,28.89,29.56,4293380.0
VCI,2021-12-01,30.58,30.99,29.91,30.36,2019922.58
VCI,2022-01-01,21.44,21.79,20.82,21.11,1881593.55
VCI,2022-02-01,19.02,19.49,18.76,19.14,1489635.71
VCI,2022-03-01,24.93,25.24,24.53,24.77,1964996.77
VCI,2022-04-01,18.57,18.99,18.03,18.32,1592563.33
VCI,2022-05-01,13.03,13.39,12.66,13.04,2649358.06
VCI,2022-06-01,14.56,14.99,14.15,14.52,3172916.67
VCI,2022-07-01,14.04,14.48,13.83,14.15,2902548.39
VCI,2022-08-01,19.24,19.69,18.89,19.37,4420109.68
VCI,2022-09-01,16.57,16.88,16.08,16.4,3950117.3
VCI,2022-10-01,12.81,13.13,12.34,12.66,4408634.13
VCI,2022-11-01,11.55,11.99,11.2,11.59,6003407.43
VCI,2022-12-01,13.21,13.57,12.71,13.11,5616158.32
VCI,2023-01-01,10.52,10.81,10.36,10.64,3024972.42
VCI,2023-02-01,14.48,14.75,14.09,14.34,3491310.79
VCI,2023-03-01,16.02,16.41,15.76,16.12,4925129.45
VCI,2023-04-01,15.9,16.14,15.56,15.83,3397179.83
VCI,2023-05-01,16.18,16.45,15.99,16.21,3178187.35
VCI,2023-06-01,19.93,20.2,19.58,19.89,3843122.47
VCI,2023-07-01,21.22,21.62,20.99,21.36,3216781.97
VCI,2023-08-01,24.33,24.73,23.95,24.36,3571355.97
VCI,2023-09-01,22.22,22.62,21.67,22.07,3734767.53
