ticker,date,open,high,low,close,volume
VND,2015-01-01,1.07,1.09,1.05,1.08,366536.84
VND,2015-02-01,0.76,0.79,0.76,0.78,145481.14
VND,2015-03-01,1.05,1.06,1.04,1.05,311142.55
VND,2015-04-01,0.89,0.9,0.88,0.89,244223.63
VND,2015-05-01,0.9,0.92,0.88,0.91,395746.26
VND,2015-06-01,1.28,1.31,1.25,1.28,1380507.73
VND,2015-07-01,1.45,1.48,1.42,1.45,1464149.23
VND,2015-08-01,1.3,1.34,1.27,1.31,1117107.77
VND,2015-09-01,1.29,1.31,1.27,1.28,792617.43
VND,2015-10-01,1.25,1.29,1.24,1.26,751907.1
VND,2015-11-01,1.28,1.29,1.26,1.27,306639.27
VND,2015-12-01,1.22,1.23,1.19,1.2,356921.29
VND,2016-01-01,0.97,0.99,0.92,0.95,531505.32
VND,2016-02-01,0.85,0.86,0.84,0.85,400348.28
VND,2016-03-01,1.18,1.2,1.17,1.18,687373.45
VND,2016-04-01,1.05,1.06,1.03,1.05,554462.67
VND,2016-05-01,1.02,1.03,1.01,1.02,466187.32
VND,2016-06-01,1.18,1.2,1.17,1.18,679860.13
VND,2016-07-01,1.21,1.24,1.19,1.22,703374.39
VND,2016-08-01,1.32,1.33,1.3,1.31,245834.35
VND,2016-09-01,1.27,1.3,1.26,1.28,258182.7
VND,2016-10-01,1.27,1.29,1.25,1.27,211504.87
VND,2016-11-01,1.23,1.25,1.21,1.23,151387.33
VND,2016-12-01,1.22,1.24,1.21,1.23,247626.0
VND,2017-01-01,1.0,1.01,0.98,0.99,157890.26
VND,2017-02-01,1.2,1.22,1.19,1.21,185667.89
VND,2017-03-01,1.4,1.43,1.39,1.41,394599.26
VND,2017-04-01,1.33,1.36,1.31,1.33,266210.33
VND,2017-05-01,1.72,1.77,1.69,1.73,645241.68
VND,2017-06-01,2.14,2.19,2.12,2.16,434875.53
VND,2017-07-01,2.09,2.13,2.05,2.09,359619.94
VND,2017-08-01,1.94,1.98,1.9,1.95,428772.06
VND,2017-09-01,2.01,2.04,1.99,2.02,460196.33
VND,2017-10-01,2.07,2.08,2.03,2.05,261613.55
VND,2017-11-01,2.15,2.18,2.11,2.16,551249.67
VND,2017-12-01,2.22,2.26,2.18,2.22,910009.68
VND,2018-01-01,2.78,2.84,2.74,2.79,1001004.84
VND,2018-02-01,2.2,2.27,2.16,2.23,1041155.0
VND,2018-03-01,3.58,3.65,3.52,3.59,1359062.9
VND,2018-04-01,3.59,3.68,3.5,3.6,1268977.0
VND,2018-05-01,3.02,3.12,2.92,3.02,1447037.1
VND,2018-06-01,2.62,2.68,2.55,2.61,1343216.67
VND,2018-07-01,2.28,2.34,2.22,2.29,835891.94
VND,2018-08-01,2.82,2.9,2.78,2.85,992846.13
VND,2018-09-01,2.71,2.75,2.66,2.71,1431474.67
VND,2018-10-01,2.83,2.88,2.78,2.82,1169064.19
VND,2018-11-01,2.55,2.59,2.52,2.55,696255.67
VND,2018-12-01,2.25,2.28,2.22,2.24,478656.77
VND,2019-01-01,2.16,2.19,2.13,2.16,400625.16
VND,2019-02-01,1.74,1.76,1.72,1.74,541625.0
VND,2019-03-01,2.23,2.25,2.19,2.23,721336.45
VND,2019-04-01,1.96,1.98,1.94,1.96,306516.0
VND,2019-05-01,2.17,2.19,2.15,2.17,323130.0
VND,2019-06-01,2.0,2.01,1.97,1.99,163886.67
VND,2019-07-01,2.18,2.19,2.15,2.18,272923.55
VND,2019-08-01,2.0,2.02,1.98,2.0,204305.81
VND,2019-09-01,1.81,1.83,1.79,1.81,262664.33
VND,2019-10-01,1.99,2.0,1.96,1.99,312004.19
VND,2019-11-01,1.9,1.91,1.88,1.9,226955.33
VND,2019-12-01,1.95,1.97,1.93,1.96,125862.58
VND,2020-01-01,1.53,1.54,1.51,1.54,85590.65
VND,2020-02-01,1.86,1.88,1.83,1.87,208894.83
VND,2020-03-01,1.73,1.78,1.7,1.77,294123.55
VND,2020-04-01,1.46,1.49,1.43,1.46,629089.33
VND,2020-05-01,1.49,1.52,1.48,1.5,579645.16
VND,2020-06-01,1.89,1.92,1.85,1.89,568485.33
VND,2020-07-01,1.85,1.88,1.83,1.86,353258.71
VND,2020-08-01,1.59,1.61,1.58,1.59,404277.42
VND,2020-09-01,1.81,1.83,1.79,1.82,932460.33
VND,2020-10-01,2.21,2.25,2.17,2.22,1096155.81
VND,2020-11-01,2.37,2.42,2.34,2.39,1322702.67
VND,2020-12-01,3.5,3.6,3.44,3.55,2416410.65
VND,2021-01-01,3.73,3.81,3.62,3.7,3807819.35
VND,2021-02-01,2.84,2.91,2.77,2.86,2145292.86
VND,2021-03-01,4.16,4.22,4.07,4.17,3920461.29
VND,2021-04-01,4.37,4.48,4.24,4.37,4415821.53
VND,2021-05-01,5.52,5.7,5.43,5.61,3183888.61
VND,2021-06-01,9.72,9.99,9.35,9.74,5412070.47
VND,2021-07-01,9.9,10.23,9.59,9.93,5630758.32
VND,2021-08-01,10.76,11.01,10.52,10.81,7867794.77
VND,2021-09-01,10.9,11.08,10.74,10.9,4505650.0
VND,2021-10-01,11.52,11.7,11.35,11.54,4441083.87
VND,2021-11-01,17.08,17.52,16.68,17.19,6525080.0
VND,2021-12-01,19.31,19.66,18.87,19.26,4778422.58
VND,2022-01-01,14.35,14.7,13.98,14.24,4227341.94
VND,2022-02-01,13.51,13.84,13.32,13.61,2708982.14
VND,2022-03-01,18.97,19.2,18.67,18.81,6157900.0
VND,2022-04-01,17.52,18.16,17.01,17.55,10235163.33
VND,2022-05-01,13.14,13.52,12.73,13.07,6662416.13
VND,2022-06-01,12.47,12.84,12.08,12.34,13682523.33
VND,2022-07-01,10.37,10.63,10.18,10.39,15022122.58
VND,2022-08-01,13.41,13.7,13.21,13.49,17396458.06
VND,2022-09-01,10.62,10.78,10.32,10.49,11350869.1
VND,2022-10-01,7.79,8.01,7.51,7.66,15152403.35
VND,2022-11-01,6.61,6.89,6.43,6.71,17073223.97
VND,2022-12-01,8.59,8.82,8.27,8.52,24610717.55
VND,2023-01-01,6.43,6.59,6.33,6.47,11131474.35
VND,2023-02-01,8.6,8.73,8.34,8.49,13432226.36
VND,2023-03-01,8.98,9.15,8.83,8.98,14287404.68
VND,2023-04-01,8.45,8.55,8.3,8.39,14087321.8
VND,2023-05-01,8.39,8.55,8.31,8.42,17107709.42
VND,2023-06-01,11.52,11.72,11.3,11.5,25283309.73
VND,2023-07-01,10.43,10.6,10.24,10.43,22843673.0
VND,2023-08-01,12.83,13.08,12.6,12.84,25464751.23
VND,2023-09-01,12.23,12.48,11.96,12.16,19122959.5
VND,2023-10-01,11.81,12.08,11.44,11.69,17346298.29
VND,2023-11-01,12.11,12.41,11.88,12.17,19164464.3
VND,2023-12-01,12.24,12.4,12.09,12.23,16276781.0
VND,2024-01-01,12.88,13.01,12.76,12.83,13147910.16
VND,2024-02-01,10.27,10.4,10.16,10.25,14685756.59
VND,2024-03-01,13.07,13.26,12.84,13.05,28661443.48
VND,2024-04-01,11.16,11.32,10.94,11.1,11851941.93
VND,2024-05-01,12.21,12.34,12.02,12.15,10064061.81
VND,2024-06-01,10.91,11.03,10.77,10.82,8435317.93
VND,2024-07-01,11.19,11.32,11.02,11.15,7113750.06
VND,2024-08-01,10.08,10.23,9.91,10.04,7848851.42
VND,2024-09-01,9.04,9.16,8.96,9.03,7026220.8
VND,2024-10-01,10.69,10.82,10.59,10.65,8838371.65
VND,2024-11-01,9.62,9.71,9.52,9.58,4584085.9
VND,2024-12-01,9.09,9.17,8.97,9.05,5867058.55
VND,2025-01-01,6.34,6.43,6.26,6.32,4352794.65
VND,2025-02-01,8.97,9.12,8.88,9.0,10382163.21
VND,2025-03-01,9.63,9.82,9.53,9.7,17049998.23
VND,2025-04-01,9.54,9.75,9.39,9.56,15782378.93
VND,2025-05-01,9.58,9.73,9.43,9.57,11794872.97
VND,2025-06-01,11.37,11.57,11.21,11.43,18020228.83
VND,2025-07-01,14.03,14.35,13.72,14.06,28965240.23
VND,2025-08-01,16.09,16.54,15.66,16.16,31515880.65
VND,2025-09-01,16.04,16.23,15.59,15.82,19938613.33
VND,2025-10-01,5.25,5.32,5.15,5.2,6071396.77
