ticker,date,open,high,low,close,volume
VOS,2015-01-01,3.79,3.86,3.73,3.79,250267.1
VOS,2015-02-01,2.83,2.86,2.77,2.8,133001.07
VOS,2015-03-01,3.97,4.02,3.9,3.96,281040.32
VOS,2015-04-01,2.81,2.87,2.73,2.8,147805.33
VOS,2015-05-01,2.34,2.4,2.31,2.36,100229.68
VOS,2015-06-01,2.6,2.65,2.57,2.6,90203.33
VOS,2015-07-01,2.51,2.58,2.49,2.53,69308.71
VOS,2015-08-01,2.0,2.07,1.97,2.01,41762.58
VOS,2015-09-01,1.9,1.93,1.88,1.92,17843.33
VOS,2015-10-01,1.96,1.98,1.93,1.96,31842.58
VOS,2015-11-01,1.94,1.98,1.9,1.94,39372.67
VOS,2015-12-01,1.93,1.97,1.91,1.95,19072.58
VOS,2016-01-01,1.59,1.61,1.56,1.59,52044.19
VOS,2016-02-01,1.31,1.33,1.29,1.31,25742.41
VOS,2016-03-01,1.88,1.91,1.83,1.87,169210.65
VOS,2016-04-01,1.5,1.54,1.46,1.49,130759.67
VOS,2016-05-01,1.28,1.32,1.23,1.28,64453.23
VOS,2016-06-01,1.54,1.59,1.5,1.54,77004.33
VOS,2016-07-01,1.31,1.35,1.27,1.31,48438.71
VOS,2016-08-01,1.12,1.17,1.08,1.12,50635.48
VOS,2016-09-01,0.97,0.99,0.94,0.97,56172.67
VOS,2016-10-01,0.9,0.93,0.88,0.9,13229.68
VOS,2016-11-01,0.94,0.97,0.92,0.95,66650.0
VOS,2016-12-01,0.78,0.79,0.76,0.77,52564.84
VOS,2017-01-01,0.54,0.55,0.53,0.55,24836.45
VOS,2017-02-01,0.71,0.73,0.7,0.72,48096.43
VOS,2017-03-01,0.78,0.79,0.77,0.78,51651.61
VOS,2017-04-01,0.64,0.65,0.63,0.64,37559.33
VOS,2017-05-01,0.68,0.68,0.66,0.68,55926.77
VOS,2017-06-01,1.51,1.53,1.48,1.5,547775.0
VOS,2017-07-01,1.29,1.34,1.26,1.29,314391.94
VOS,2017-08-01,1.34,1.38,1.29,1.34,348224.84
VOS,2017-09-01,1.15,1.17,1.12,1.15,245037.33
VOS,2017-10-01,1.36,1.39,1.32,1.35,695524.84
VOS,2017-11-01,1.5,1.53,1.45,1.48,351862.0
VOS,2017-12-01,1.87,1.94,1.81,1.89,710872.58
VOS,2018-01-01,2.13,2.17,2.07,2.11,281188.06
VOS,2018-02-01,1.35,1.39,1.3,1.34,175867.5
VOS,2018-03-01,1.71,1.73,1.65,1.68,488307.1
VOS,2018-04-01,1.27,1.3,1.23,1.26,220965.0
VOS,2018-05-01,1.18,1.19,1.15,1.17,136215.16
VOS,2018-06-01,1.08,1.1,1.05,1.08,94370.67
VOS,2018-07-01,1.04,1.06,1.02,1.04,70727.42
VOS,2018-08-01,1.05,1.07,1.04,1.06,67990.32
VOS,2018-09-01,1.11,1.13,1.07,1.11,236103.33
VOS,2018-10-01,1.2,1.22,1.16,1.19,67185.81
VOS,2018-11-01,1.08,1.1,1.05,1.08,53635.33
VOS,2018-12-01,0.98,1.0,0.96,0.98,88965.16
VOS,2019-01-01,1.17,1.2,1.14,1.18,92177.42
VOS,2019-02-01,0.87,0.88,0.84,0.85,52060.0
VOS,2019-03-01,1.05,1.06,1.02,1.04,52984.19
VOS,2019-04-01,0.93,0.95,0.92,0.93,54715.33
VOS,2019-05-01,1.03,1.05,1.02,1.03,67658.71
VOS,2019-06-01,0.96,0.98,0.94,0.96,46201.33
VOS,2019-07-01,1.02,1.03,1.0,1.02,58250.32
VOS,2019-08-01,1.15,1.19,1.13,1.17,263396.13
VOS,2019-09-01,1.29,1.32,1.25,1.27,199049.67
VOS,2019-10-01,1.25,1.27,1.21,1.23,48904.52
VOS,2019-11-01,1.13,1.16,1.1,1.14,54220.33
VOS,2019-12-01,1.09,1.1,1.07,1.09,58314.52
VOS,2020-01-01,0.8,0.81,0.79,0.8,48450.32
VOS,2020-02-01,1.05,1.08,1.02,1.05,135275.17
VOS,2020-03-01,0.94,0.97,0.92,0.94,145107.42
VOS,2020-04-01,0.84,0.86,0.83,0.86,90466.67
VOS,2020-05-01,0.84,0.85,0.82,0.84,124525.48
VOS,2020-06-01,1.09,1.12,1.06,1.09,390773.0
VOS,2020-07-01,1.0,1.01,0.97,0.99,138994.19
VOS,2020-08-01,0.89,0.91,0.87,0.89,106617.1
VOS,2020-09-01,0.97,0.99,0.95,0.97,152704.67
VOS,2020-10-01,0.96,0.96,0.94,0.95,120289.68
VOS,2020-11-01,0.94,0.95,0.93,0.94,176538.67
VOS,2020-12-01,1.5,1.54,1.45,1.5,1540026.45
VOS,2021-01-01,2.18,2.23,2.11,2.19,1885029.03
VOS,2021-02-01,1.68,1.73,1.62,1.68,995217.86
VOS,2021-03-01,2.66,2.73,2.6,2.67,1555422.58
VOS,2021-04-01,2.57,2.65,2.51,2.58,1875030.0
VOS,2021-05-01,2.43,2.48,2.4,2.44,692009.68
VOS,2021-06-01,3.84,3.91,3.74,3.87,1962866.67
VOS,2021-07-01,4.69,4.89,4.57,4.74,1604287.1
VOS,2021-08-01,8.08,8.32,7.82,8.12,3234916.13
VOS,2021-09-01,13.22,13.65,12.81,13.3,2675706.67
VOS,2021-10-01,14.0,14.37,13.73,14.05,2047074.19
VOS,2021-11-01,14.98,15.45,14.58,14.91,2411666.67
VOS,2021-12-01,13.26,13.53,12.98,13.19,1113448.39
VOS,2022-01-01,9.39,9.59,9.12,9.25,732909.68
VOS,2022-02-01,9.32,9.55,9.13,9.37,786010.71
VOS,2022-03-01,14.65,15.16,14.28,14.73,3096687.1
VOS,2022-04-01,11.5,11.9,11.07,11.35,1522563.33
VOS,2022-05-01,9.12,9.4,8.8,9.06,806112.9
VOS,2022-06-01,10.67,11.05,10.41,10.74,1281516.67
VOS,2022-07-01,10.87,11.19,10.59,10.82,1262064.52
VOS,2022-08-01,12.26,12.53,12.03,12.26,1518551.61
VOS,2022-09-01,9.49,9.66,9.26,9.44,532281.77
VOS,2022-10-01,7.49,7.64,7.18,7.37,410959.74
VOS,2022-11-01,5.53,5.66,5.4,5.51,428147.1
VOS,2022-12-01,7.46,7.69,7.15,7.47,864065.45
VOS,2023-01-01,5.26,5.38,5.12,5.25,857862.39
VOS,2023-02-01,6.64,6.76,6.42,6.53,630234.39
VOS,2023-03-01,6.54,6.64,6.45,6.53,368525.97
VOS,2023-04-01,6.27,6.4,6.15,6.27,1026990.67
VOS,2023-05-01,6.71,6.85,6.62,6.71,1262425.94
VOS,2023-06-01,8.52,8.68,8.36,8.51,1906509.47
VOS,2023-07-01,8.27,8.39,8.14,8.24,1740984.48
VOS,2023-08-01,8.46,8.54,8.29,8.39,1159239.19
VOS,2023-09-01,7.58,7.76,7.4,7.57,1897981.33
VOS,2023-10-01,8.05,8.19,7.76,7.89,1894580.06
VOS,2023-11-01,6.88,7.04,6.72,6.89,1201270.6
VOS,2023-12-01,7.12,7.22,6.99,7.09,1110017.1
VOS,2024-01-01,7.68,7.79,7.55,7.64,1128122.71
VOS,2024-02-01,6.18,6.28,6.08,6.17,993603.45
VOS,2024-03-01,7.58,7.68,7.46,7.55,1310679.1
VOS,2024-04-01,6.53,6.62,6.41,6.49,787463.63
VOS,2024-05-01,9.4,9.71,9.2,9.5,2895713.45
VOS,2024-06-01,11.69,11.92,11.27,11.6,2956307.93
VOS,2024-07-01,13.25,13.5,12.84,13.13,3467654.55
VOS,2024-08-01,10.83,11.05,10.59,10.81,2069166.77
VOS,2024-09-01,9.46,9.57,9.28,9.42,996438.2
VOS,2024-10-01,10.35,10.47,10.17,10.27,1088542.03
VOS,2024-11-01,9.89,10.13,9.68,9.87,1843763.3
VOS,2024-12-01,10.78,11.0,10.62,10.79,2263561.26
VOS,2025-01-01,8.3,8.43,8.13,8.24,1437033.32
VOS,2025-02-01,10.89,11.05,10.74,10.89,1804312.11
VOS,2025-03-01,10.02,10.14,9.89,9.97,1226012.42
