ticker,date,open,high,low,close,volume
VTP,2018-11-01,7.01,7.2,6.95,7.17,36396.03
VTP,2018-12-01,25.07,25.33,24.78,25.12,60259.84
VTP,2019-01-01,31.29,31.9,30.82,31.69,71434.71
VTP,2019-02-01,27.9,28.35,27.58,28.06,20965.93
VTP,2019-03-01,39.5,39.99,39.21,39.72,36904.1
VTP,2019-04-01,36.21,36.69,35.54,36.25,42079.0
VTP,2019-05-01,40.86,41.12,40.43,40.84,19043.87
VTP,2019-06-01,42.06,42.51,41.33,41.87,53721.03
VTP,2019-07-01,45.65,46.1,45.08,45.56,48439.19
VTP,2019-08-01,43.41,43.86,42.93,43.42,68213.23
VTP,2019-09-01,38.34,38.64,37.92,38.29,27295.67
VTP,2019-10-01,41.52,41.85,41.27,41.44,23367.19
VTP,2019-11-01,38.83,39.0,38.26,38.74,19890.73
VTP,2019-12-01,36.01,36.29,35.67,36.04,16019.71
VTP,2020-01-01,27.63,27.79,27.51,27.68,17009.29
VTP,2020-02-01,36.98,37.53,36.51,37.11,25715.59
VTP,2020-03-01,33.22,34.01,32.09,33.29,41749.45
VTP,2020-04-01,33.52,34.04,32.91,33.66,44239.53
VTP,2020-05-01,35.46,36.03,35.13,35.67,37068.39
VTP,2020-06-01,43.27,43.91,42.82,43.4,32274.73
VTP,2020-07-01,43.51,43.93,43.14,43.58,18125.71
VTP,2020-08-01,40.57,41.21,39.63,40.42,78785.1
VTP,2020-09-01,44.87,45.27,44.5,44.99,59574.0
VTP,2020-10-01,46.94,47.64,46.49,46.81,77866.39
VTP,2020-11-01,46.96,47.35,46.46,46.87,71790.0
VTP,2020-12-01,49.67,50.09,49.33,49.78,75085.48
VTP,2021-01-01,42.91,43.66,41.79,42.68,196741.03
VTP,2021-02-01,32.27,32.59,31.72,32.15,88242.79
VTP,2021-03-01,42.1,42.5,41.43,41.84,254174.29
VTP,2021-04-01,34.86,35.22,34.29,34.56,196885.37
VTP,2021-05-01,34.78,35.37,34.19,34.9,203703.71
VTP,2021-06-01,45.44,46.05,44.52,45.5,202416.17
VTP,2021-07-01,45.84,46.47,45.35,46.05,131835.74
VTP,2021-08-01,46.29,46.7,45.74,46.25,144399.97
VTP,2021-09-01,42.61,42.97,42.3,42.68,68992.63
VTP,2021-10-01,42.82,43.08,42.47,42.77,147548.1
VTP,2021-11-01,45.38,45.61,45.02,45.26,105362.6
VTP,2021-12-01,43.03,43.56,42.35,42.73,76857.48
VTP,2022-01-01,33.13,33.37,32.6,32.93,65635.0
VTP,2022-02-01,30.61,30.89,30.18,30.63,53458.39
VTP,2022-03-01,40.85,41.64,40.51,41.27,205188.61
VTP,2022-04-01,40.93,42.08,39.69,40.89,312684.6
VTP,2022-05-01,34.39,35.42,33.32,33.95,232948.26
VTP,2022-06-01,35.14,35.9,34.23,34.9,251882.27
VTP,2022-07-01,30.0,30.79,29.36,30.15,209450.35
VTP,2022-08-01,36.17,36.85,35.73,36.39,251094.97
VTP,2022-09-01,31.06,31.69,30.41,30.85,149354.5
VTP,2022-10-01,25.48,25.87,24.32,24.82,86721.94
VTP,2022-11-01,19.01,19.67,18.03,18.9,130340.67
VTP,2022-12-01,18.28,18.65,17.56,18.0,173612.61
VTP,2023-01-01,12.58,12.83,12.41,12.62,173487.65
VTP,2023-02-01,16.96,17.2,16.62,16.87,229880.89
VTP,2023-03-01,17.28,17.52,17.07,17.26,226947.42
VTP,2023-04-01,17.6,17.95,17.32,17.64,411971.97
VTP,2023-05-01,18.67,19.16,18.44,18.87,511128.65
VTP,2023-06-01,25.13,25.64,24.75,25.23,575199.6
VTP,2023-07-01,25.25,25.66,24.93,25.37,671719.94
VTP,2023-08-01,29.36,29.84,28.9,29.44,654193.55
VTP,2023-09-01,28.7,29.27,28.11,28.79,763279.33
VTP,2023-10-01,32.47,33.09,31.62,32.28,892927.97
VTP,2023-11-01,32.5,33.18,32.07,32.81,728517.53
VTP,2023-12-01,32.76,33.35,32.43,33.06,605730.97
VTP,2024-01-01,41.26,42.18,40.69,41.48,698098.26
VTP,2024-02-01,37.39,38.16,37.13,37.7,526467.79
VTP,2024-03-01,38.67,39.28,37.61,38.66,731143.45
VTP,2024-04-01,47.53,48.67,46.2,47.34,1152207.03
VTP,2024-05-01,55.31,56.19,54.25,55.27,1029109.19
VTP,2024-06-01,54.98,56.16,53.88,54.84,1263939.7
VTP,2024-07-01,59.41,60.22,58.0,59.01,717728.97
VTP,2024-08-01,51.21,52.09,50.4,51.12,461002.65
VTP,2024-09-01,47.16,47.74,46.65,47.12,518589.5
VTP,2024-10-01,61.31,62.42,60.58,61.67,748429.9
VTP,2024-11-01,77.54,80.37,76.1,78.75,979181.73
VTP,2024-12-01,98.57,100.68,96.53,98.4,715370.45
VTP,2025-01-01,83.91,85.88,82.66,84.48,479436.84
VTP,2025-02-01,110.51,111.96,108.12,109.74,502636.21
VTP,2025-03-01,99.48,100.73,97.66,98.95,262189.61
VTP,2025-04-01,72.2,74.06,71.01,72.32,573409.2
VTP,2025-05-01,72.32,73.34,71.04,71.95,481562.68
VTP,2025-06-01,79.49,80.76,78.3,79.51,568181.07
VTP,2025-07-01,88.45,89.59,87.26,88.06,742665.94
VTP,2025-08-01,73.59,74.29,72.06,72.87,541863.84
VTP,2025-09-01,66.92,67.79,66.07,66.68,238540.93
VTP,2025-10-01,21.68,21.83,21.41,21.5,74443.1
