ticker,date,open,high,low,close,volume
BID,2015-01-01,4.67,4.81,4.61,4.73,2108893.87
BID,2015-02-01,4.02,4.11,3.95,4.03,1620237.14
BID,2015-03-01,5.86,5.95,5.79,5.86,1378084.19
BID,2015-04-01,5.39,5.48,5.35,5.41,1321098.0
BID,2015-05-01,5.59,5.71,5.5,5.62,927660.0
BID,2015-06-01,7.67,7.85,7.55,7.69,1618266.0
BID,2015-07-01,9.11,9.34,8.97,9.16,1897430.0
BID,2015-08-01,7.61,7.8,7.45,7.64,1488465.16
BID,2015-09-01,8.74,8.87,8.65,8.78,1453587.33
BID,2015-10-01,8.73,8.82,8.66,8.72,588612.58
BID,2015-11-01,8.24,8.31,8.15,8.21,483463.67
BID,2015-12-01,7.78,7.9,7.71,7.79,965523.23
BID,2016-01-01,5.92,5.99,5.75,5.84,1161226.13
BID,2016-02-01,4.72,4.8,4.65,4.72,961874.83
BID,2016-03-01,6.65,6.69,6.56,6.61,883243.87
BID,2016-04-01,5.6,5.68,5.52,5.6,915144.67
BID,2016-05-01,5.95,6.05,5.88,5.96,1367693.23
BID,2016-06-01,6.72,6.78,6.64,6.72,852250.0
BID,2016-07-01,6.13,6.21,6.06,6.15,1067764.52
BID,2016-08-01,6.31,6.36,6.23,6.31,776898.71
BID,2016-09-01,5.76,5.82,5.69,5.79,811643.0
BID,2016-10-01,5.88,5.95,5.82,5.89,1188819.03
BID,2016-11-01,6.18,6.22,6.09,6.16,1002545.0
BID,2016-12-01,5.59,5.64,5.51,5.6,1201934.84
BID,2017-01-01,4.73,4.83,4.68,4.77,2252547.1
BID,2017-02-01,6.13,6.2,6.07,6.13,2084020.36
BID,2017-03-01,6.7,6.77,6.62,6.71,2870697.1
BID,2017-04-01,5.68,5.75,5.61,5.67,1887841.0
BID,2017-05-01,6.33,6.46,6.26,6.37,3696390.0
BID,2017-06-01,7.67,7.78,7.59,7.69,3614359.33
BID,2017-07-01,7.23,7.33,7.13,7.24,2348052.9
BID,2017-08-01,8.35,8.49,8.2,8.35,2296724.19
BID,2017-09-01,7.54,7.63,7.47,7.53,1239358.33
BID,2017-10-01,8.04,8.18,7.98,8.09,1587063.23
BID,2017-11-01,9.67,9.86,9.55,9.74,1584848.0
BID,2017-12-01,9.16,9.29,9.02,9.17,933340.65
BID,2018-01-01,11.19,11.45,11.0,11.31,2108418.71
BID,2018-02-01,10.17,10.49,9.97,10.25,1406060.0
BID,2018-03-01,15.95,16.27,15.61,15.97,1593663.87
BID,2018-04-01,14.74,15.01,14.28,14.54,1473039.33
BID,2018-05-01,12.53,12.88,12.09,12.44,1721550.32
BID,2018-06-01,11.09,11.36,10.84,11.1,2036359.67
BID,2018-07-01,9.46,9.73,9.23,9.47,2641470.0
BID,2018-08-01,12.43,12.74,12.25,12.57,2599839.68
BID,2018-09-01,12.06,12.26,11.89,12.07,1811787.67
BID,2018-10-01,13.82,14.09,13.55,13.78,2069562.58
BID,2018-11-01,12.8,13.05,12.65,12.83,1342222.0
BID,2018-12-01,11.94,12.16,11.82,12.0,1166123.87
BID,2019-01-01,12.69,12.83,12.51,12.61,493999.03
BID,2019-02-01,9.78,9.93,9.69,9.78,731449.64
BID,2019-03-01,13.07,13.31,12.92,13.13,1406967.74
BID,2019-04-01,12.27,12.4,12.12,12.23,599578.67
BID,2019-05-01,12.83,12.96,12.69,12.78,727540.0
BID,2019-06-01,11.74,11.86,11.63,11.73,455068.67
