ticker,date,open,high,low,close,volume
HDB,2018-01-01,6.64,6.75,6.52,6.7,4733096.77
HDB,2018-02-01,5.92,6.03,5.79,5.93,1785746.43
HDB,2018-03-01,7.63,7.74,7.55,7.67,2014838.71
HDB,2018-04-01,7.5,7.61,7.35,7.48,2333625.0
HDB,2018-05-01,7.02,7.12,6.81,6.97,1165095.81
HDB,2018-06-01,6.85,7.02,6.72,6.89,885032.33
HDB,2018-07-01,6.25,6.35,6.11,6.24,1042312.26
HDB,2018-08-01,6.89,6.97,6.82,6.91,1166583.87
HDB,2018-09-01,6.16,6.21,6.11,6.17,942566.67
HDB,2018-10-01,6.96,7.03,6.85,6.94,1312220.97
HDB,2018-11-01,5.86,5.94,5.76,5.84,1406876.0
HDB,2018-12-01,4.95,5.01,4.88,4.96,1195864.52
HDB,2019-01-01,5.34,5.39,5.28,5.33,753595.81
HDB,2019-02-01,4.19,4.22,4.14,4.18,699915.0
HDB,2019-03-01,5.33,5.39,5.29,5.34,929318.06
HDB,2019-04-01,4.63,4.66,4.57,4.62,815168.33
HDB,2019-05-01,4.92,4.97,4.85,4.92,1153062.58
HDB,2019-06-01,4.55,4.59,4.5,4.56,849992.67
HDB,2019-07-01,4.99,5.01,4.94,4.98,875796.13
HDB,2019-08-01,4.73,4.76,4.67,4.74,1065962.58
HDB,2019-09-01,4.44,4.47,4.4,4.45,975200.67
HDB,2019-10-01,5.35,5.39,5.31,5.36,1556555.16
HDB,2019-11-01,5.15,5.18,5.08,5.12,1346943.33
HDB,2019-12-01,4.9,4.96,4.86,4.91,918775.16
HDB,2020-01-01,3.91,3.95,3.85,3.91,874692.26
HDB,2020-02-01,5.01,5.09,4.95,5.03,1127996.9
HDB,2020-03-01,4.16,4.23,4.02,4.12,1369816.13
HDB,2020-04-01,3.47,3.53,3.41,3.5,1098124.0
HDB,2020-05-01,3.78,3.87,3.73,3.82,702680.65
HDB,2020-06-01,5.03,5.08,4.93,5.02,835279.67
HDB,2020-07-01,4.87,4.96,4.81,4.9,704032.58
HDB,2020-08-01,4.65,4.72,4.62,4.68,620184.84
HDB,2020-09-01,5.41,5.46,5.36,5.41,1046920.33
HDB,2020-10-01,5.83,5.88,5.76,5.81,1266616.45
HDB,2020-11-01,5.98,6.03,5.91,5.97,3088252.0
HDB,2020-12-01,7.18,7.28,7.1,7.2,3568898.71
HDB,2021-01-01,6.96,7.11,6.82,6.97,3720912.9
HDB,2021-02-01,5.52,5.64,5.43,5.57,2218021.43
HDB,2021-03-01,8.28,8.36,8.16,8.28,3308983.87
HDB,2021-04-01,7.72,7.77,7.59,7.69,3102910.0
HDB,2021-05-01,8.37,8.57,8.28,8.46,5171283.87
HDB,2021-06-01,10.64,10.84,10.47,10.66,3723836.67
HDB,2021-07-01,10.23,10.37,9.99,10.19,2626158.06
HDB,2021-08-01,10.4,10.52,10.26,10.39,1942806.45
HDB,2021-09-01,9.05,9.12,8.96,9.02,1461000.0
HDB,2021-10-01,8.98,9.07,8.87,8.95,1624867.74
HDB,2021-11-01,11.18,11.42,11.0,11.21,5736010.0
HDB,2021-12-01,11.76,12.04,11.54,11.72,4328845.16
HDB,2022-01-01,9.72,9.97,9.59,9.72,3338461.29
HDB,2022-02-01,9.08,9.18,8.94,9.05,3606385.71
HDB,2022-03-01,10.89,10.99,10.77,10.85,2920706.45
HDB,2022-04-01,9.46,9.61,9.26,9.4,2644626.67
HDB,2022-05-01,8.27,8.43,8.1,8.3,1667577.42
HDB,2022-06-01,9.55,9.73,9.4,9.56,1447163.33
HDB,2022-07-01,8.55,8.63,8.46,8.54,982267.74
HDB,2022-08-01,10.03,10.13,9.94,10.07,2021941.94
HDB,2022-09-01,8.87,8.96,8.7,8.8,1011030.37
HDB,2022-10-01,7.64,7.76,7.4,7.57,1282263.58
HDB,2022-11-01,7.27,7.45,7.08,7.3,2259592.0
HDB,2022-12-01,7.83,7.91,7.64,7.74,2228579.48
HDB,2023-01-01,5.8,5.88,5.74,5.81,1041804.87
HDB,2023-02-01,8.58,8.7,8.43,8.57,1588334.18
HDB,2023-03-01,8.84,9.0,8.73,8.9,1863668.26
HDB,2023-04-01,8.49,8.56,8.39,8.47,1506881.23
HDB,2023-05-01,8.26,8.31,8.2,8.26,1091737.81
HDB,2023-06-01,9.54,9.62,9.46,9.54,1805303.53
HDB,2023-07-01,8.99,9.05,8.92,8.99,2150021.94
HDB,2023-08-01,10.01,10.1,9.91,10.0,2027848.16
HDB,2023-09-01,8.83,8.9,8.72,8.85,5103065.67
HDB,2023-10-01,9.87,9.93,9.72,9.85,5744601.35
HDB,2023-11-01,10.78,10.89,10.63,10.79,6232057.13
HDB,2023-12-01,10.19,10.29,10.06,10.24,5021373.61
HDB,2024-01-01,11.83,11.92,11.72,11.87,4732792.13
HDB,2024-02-01,10.12,10.23,10.02,10.16,3744418.21
HDB,2024-03-01,12.62,12.73,12.43,12.65,4413553.77
HDB,2024-04-01,11.82,11.96,11.63,11.83,4809027.7
HDB,2024-05-01,13.63,13.75,13.44,13.61,5317859.03
HDB,2024-06-01,12.56,12.65,12.41,12.54,4635434.4
HDB,2024-07-01,15.03,15.2,14.88,15.13,6660928.81
HDB,2024-08-01,15.54,15.74,15.33,15.55,4718929.29
HDB,2024-09-01,14.22,14.31,14.06,14.22,4327365.77
HDB,2024-10-01,16.81,16.89,16.64,16.77,6166281.9
HDB,2024-11-01,14.85,14.96,14.69,14.82,5308432.7
HDB,2024-12-01,16.54,16.74,16.35,16.66,6715143.23
HDB,2025-01-01,12.56,12.72,12.29,12.48,7264790.32
HDB,2025-02-01,16.31,16.42,16.19,16.31,6591860.71
HDB,2025-03-01,15.64,15.76,15.5,15.6,6800648.39
HDB,2025-04-01,13.84,14.04,13.61,13.82,7842540.0
HDB,2025-05-01,14.11,14.27,14.01,14.12,7011858.06
HDB,2025-06-01,15.24,15.35,15.13,15.24,6440913.33
HDB,2025-07-01,18.35,18.67,18.1,18.43,17010261.29
HDB,2025-08-01,20.57,20.9,20.04,20.58,17071258.06
HDB,2025-09-01,20.8,20.98,20.37,20.71,9528250.0
HDB,2025-10-01,7.04,7.11,6.94,7.03,3055374.19
