ticker,date,open,high,low,close,volume
HVN,2017-01-01,11.98,12.1,11.49,11.73,85453.1
HVN,2017-02-01,13.96,14.26,13.38,13.8,1069420.82
HVN,2017-03-01,12.11,12.42,11.41,12.0,824718.16
HVN,2017-04-01,8.76,9.01,8.18,8.68,359994.93
HVN,2017-05-01,9.5,9.69,8.97,9.5,342704.26
HVN,2017-06-01,10.17,10.28,9.77,10.18,230257.37
HVN,2017-07-01,9.24,9.32,9.18,9.26,178372.68
HVN,2017-08-01,9.69,9.73,9.56,9.67,101113.23
HVN,2017-09-01,8.86,8.94,8.78,8.87,106072.6
HVN,2017-10-01,10.61,10.82,10.42,10.6,397687.23
HVN,2017-11-01,11.6,11.95,11.43,11.73,553730.5
HVN,2017-12-01,13.82,14.22,13.44,13.93,805430.06
HVN,2018-01-01,20.33,21.23,19.85,20.57,1308937.9
HVN,2018-02-01,14.59,15.16,13.99,14.66,965914.07
HVN,2018-03-01,19.39,19.73,18.89,19.22,884307.74
HVN,2018-04-01,15.83,16.15,15.4,15.63,493768.37
HVN,2018-05-01,14.97,15.27,14.42,14.81,294662.0
HVN,2018-06-01,14.52,14.87,14.2,14.61,332887.47
HVN,2018-07-01,13.64,13.93,13.37,13.69,308806.58
HVN,2018-08-01,17.42,17.75,17.16,17.46,689759.71
HVN,2018-09-01,15.04,15.21,14.82,15.02,522002.7
HVN,2018-10-01,16.47,16.66,16.05,16.32,437837.68
HVN,2018-11-01,14.51,14.77,14.13,14.54,315653.2
HVN,2018-12-01,13.24,13.38,13.06,13.23,218430.0
HVN,2019-01-01,15.8,16.09,15.65,15.92,453147.74
HVN,2019-02-01,12.88,13.09,12.68,12.89,466837.46
HVN,2019-03-01,17.06,17.37,16.88,17.16,793915.81
HVN,2019-04-01,12.39,12.5,12.22,12.35,350800.4
HVN,2019-05-01,15.59,15.82,15.43,15.63,625767.42
HVN,2019-06-01,17.72,17.84,17.48,17.63,483629.0
HVN,2019-07-01,19.68,19.83,19.53,19.68,565682.9
HVN,2019-08-01,17.16,17.33,17.01,17.09,342874.19
HVN,2019-09-01,14.06,14.18,13.86,13.99,298474.67
HVN,2019-10-01,15.99,16.16,15.86,16.01,321968.71
HVN,2019-11-01,15.41,15.52,15.25,15.38,300876.33
HVN,2019-12-01,15.25,15.35,15.09,15.21,190795.48
HVN,2020-01-01,11.16,11.25,11.02,11.1,161239.35
HVN,2020-02-01,11.32,11.48,11.14,11.28,535861.72
HVN,2020-03-01,9.32,9.54,9.1,9.32,715846.77
HVN,2020-04-01,9.86,10.13,9.62,9.96,1183602.0
