ticker,date,open,high,low,close,volume
VHM,2015-01-01,19.39,19.39,19.39,19.39,0.0
VHM,2015-02-01,12.82,12.82,12.82,12.82,3.57
VHM,2015-03-01,16.07,16.07,16.07,16.07,9.68
VHM,2015-04-01,14.02,14.02,14.02,14.02,0.0
VHM,2015-05-01,14.28,14.28,14.28,14.28,0.0
VHM,2015-06-01,18.01,18.01,18.01,18.01,26.67
VHM,2015-07-01,16.77,16.77,16.77,16.77,0.0
VHM,2015-08-01,15.31,15.31,15.31,15.31,0.0
VHM,2015-09-01,15.82,15.82,15.82,15.82,0.0
VHM,2015-10-01,18.64,18.68,18.62,18.66,35.48
VHM,2015-11-01,20.17,20.17,20.17,20.17,6.67
VHM,2015-12-01,14.41,14.45,14.41,14.45,51.61
VHM,2016-01-01,12.03,12.03,12.03,12.03,0.0
VHM,2016-02-01,10.44,10.44,10.44,10.44,10.34
VHM,2016-03-01,23.21,23.45,23.16,23.43,196.77
VHM,2016-04-01,12.64,12.64,12.63,12.63,113.33
VHM,2016-05-01,11.27,11.27,11.27,11.27,0.0
VHM,2016-06-01,12.81,12.81,12.81,12.81,0.0
VHM,2016-07-01,11.83,11.83,11.83,11.83,0.0
VHM,2016-08-01,12.96,12.96,12.96,12.96,0.0
VHM,2016-09-01,12.23,12.23,12.23,12.23,0.0
VHM,2016-10-01,11.83,11.83,11.83,11.83,0.0
VHM,2016-11-01,12.81,12.81,12.81,12.81,0.0
VHM,2016-12-01,12.4,12.4,12.4,12.4,0.0
VHM,2017-01-01,9.58,9.58,9.58,9.58,0.0
VHM,2017-02-01,11.85,11.85,11.85,11.85,0.0
VHM,2017-03-01,12.96,12.96,12.96,12.96,0.0
VHM,2017-04-01,11.06,11.06,11.06,11.06,0.0
VHM,2017-05-01,11.83,11.83,11.83,11.83,0.0
VHM,2017-06-01,12.81,12.81,12.81,12.81,0.0
VHM,2017-07-01,5.07,5.07,5.07,5.07,0.0
VHM,2018-05-01,23.5,23.84,23.23,23.62,516147.42
VHM,2018-06-01,47.34,47.87,46.6,47.38,395681.0
VHM,2018-07-01,44.88,45.68,44.16,44.93,219440.32
VHM,2018-08-01,47.33,47.58,46.76,46.98,502188.71
VHM,2018-09-01,38.59,38.81,38.24,38.48,582898.67
VHM,2018-10-01,40.84,41.44,40.12,40.5,328379.03
VHM,2018-11-01,39.68,40.42,39.18,40.04,340309.33
VHM,2018-12-01,36.57,36.95,36.13,36.47,227405.81
VHM,2019-01-01,40.16,40.5,39.64,40.23,199923.23
VHM,2019-02-01,33.6,34.17,33.07,33.71,453388.57
VHM,2019-03-01,45.32,45.89,44.71,45.28,665715.16
VHM,2019-04-01,42.23,42.58,41.78,42.2,334712.33
VHM,2019-05-01,44.64,44.89,44.14,44.38,582271.61
VHM,2019-06-01,38.72,39.02,38.2,38.68,681087.0
VHM,2019-07-01,45.36,45.99,44.95,45.57,632049.35
VHM,2019-08-01,44.62,45.16,44.18,44.72,395345.81
VHM,2019-09-01,43.62,43.87,43.2,43.64,309578.67
VHM,2019-10-01,47.93,48.14,47.53,47.91,387379.68
VHM,2019-11-01,49.49,50.1,48.9,49.46,1404516.67
VHM,2019-12-01,45.97,46.34,45.31,45.83,985050.97
VHM,2020-01-01,34.49,34.87,34.27,34.62,365123.55
VHM,2020-02-01,43.17,43.65,42.81,43.3,434224.83
VHM,2020-03-01,36.0,36.94,35.09,36.24,749744.52
VHM,2020-04-01,32.19,32.86,31.57,32.22,737287.67
VHM,2020-05-01,34.2,34.94,33.83,34.48,1900460.32
VHM,2020-06-01,41.41,41.89,40.81,41.27,1856622.67
VHM,2020-07-01,42.65,43.37,42.16,42.83,1259380.97
VHM,2020-08-01,39.61,39.93,39.26,39.63,1043603.87
VHM,2020-09-01,40.11,40.44,39.8,40.0,1510412.0
VHM,2020-10-01,40.36,40.75,40.0,40.26,1649940.0
VHM,2020-11-01,40.51,40.95,40.19,40.55,1933086.33
VHM,2020-12-01,47.04,47.61,46.57,47.14,1919618.71
VHM,2021-01-01,46.12,47.07,45.25,46.31,1948129.03
VHM,2021-02-01,39.2,39.9,38.41,39.34,1640110.71
VHM,2021-03-01,54.2,54.59,53.44,54.06,1588696.77
VHM,2021-04-01,49.99,50.87,49.22,49.87,3655856.67
VHM,2021-05-01,47.91,48.63,47.23,47.96,2551409.68
VHM,2021-06-01,59.0,60.06,58.39,59.22,3253406.67
VHM,2021-07-01,58.05,58.79,56.83,57.82,2901106.45
VHM,2021-08-01,58.24,58.91,57.46,58.16,8683322.58
VHM,2021-09-01,52.13,52.66,51.53,51.96,5982203.33
VHM,2021-10-01,52.25,52.82,51.86,52.4,3900790.32
VHM,2021-11-01,59.24,59.83,58.49,59.14,5584590.0
VHM,2021-12-01,59.68,60.24,58.96,59.4,4887261.29
VHM,2022-01-01,48.6,49.28,47.84,48.52,3911183.87
VHM,2022-02-01,44.42,44.81,44.0,44.29,2190721.43
VHM,2022-03-01,54.75,55.2,54.21,54.71,3156848.39
VHM,2022-04-01,45.57,46.04,44.6,45.39,3267796.67
VHM,2022-05-01,42.24,43.01,41.47,42.71,2572232.26
VHM,2022-06-01,48.53,48.91,47.94,48.53,2149636.67
VHM,2022-07-01,40.45,40.84,40.01,40.48,1646025.81
VHM,2022-08-01,45.14,45.6,44.79,45.2,1652777.42
VHM,2022-09-01,38.82,39.16,38.26,38.55,1371632.63
VHM,2022-10-01,33.69,34.06,32.47,33.54,2168315.77
VHM,2022-11-01,33.44,34.22,32.76,33.82,2721837.43
VHM,2022-12-01,36.68,37.34,35.59,36.36,2250150.94
VHM,2023-01-01,26.29,26.61,25.9,26.32,694097.55
VHM,2023-02-01,32.01,32.39,31.26,31.78,2137912.82
VHM,2023-03-01,33.17,33.88,32.76,33.44,1831801.32
VHM,2023-04-01,33.82,34.24,33.26,33.64,1033627.23
VHM,2023-05-01,33.83,34.24,33.37,33.85,974447.19
VHM,2023-06-01,40.52,40.94,40.08,40.54,1222149.07
VHM,2023-07-01,38.59,39.04,38.2,38.76,1781071.97
VHM,2023-08-01,44.16,44.7,43.31,43.65,3968687.48
VHM,2023-09-01,32.18,32.6,31.42,31.74,4831613.27
VHM,2023-10-01,31.51,32.03,31.01,31.46,3250218.35
VHM,2023-11-01,29.65,30.05,29.13,29.61,5576749.13
VHM,2023-12-01,27.68,27.94,27.38,27.65,4861319.61
VHM,2024-01-01,30.25,30.5,29.94,30.16,3909362.87
VHM,2024-02-01,23.88,24.14,23.6,23.84,4414593.0
VHM,2024-03-01,29.2,29.45,28.86,29.07,6113249.84
VHM,2024-04-01,26.92,27.14,26.54,26.88,7696073.3
VHM,2024-05-01,28.74,28.93,28.46,28.6,5305161.52
VHM,2024-06-01,25.62,25.8,25.4,25.55,4952271.2
VHM,2024-07-01,28.08,28.26,27.81,28.08,4233338.65
VHM,2024-08-01,27.12,27.47,26.75,27.2,8686848.39
VHM,2024-09-01,27.48,27.83,27.15,27.51,7616630.0
VHM,2024-10-01,32.6,32.97,32.04,32.43,11828525.81
VHM,2024-11-01,29.0,29.35,28.67,28.98,10995723.33
VHM,2024-12-01,28.98,29.19,28.77,28.9,2651974.19
VHM,2025-01-01,21.91,22.03,21.76,21.9,2077709.68
VHM,2025-02-01,28.08,28.34,27.91,28.1,3520614.29
VHM,2025-03-01,31.77,32.51,31.48,32.11,8629480.65
VHM,2025-04-01,36.28,37.32,35.49,36.69,8276946.67
VHM,2025-05-01,41.85,42.88,41.19,42.35,5728022.58
VHM,2025-06-01,51.36,52.26,50.38,51.58,3826153.33
VHM,2025-07-01,64.15,65.5,63.05,64.69,3745887.1
VHM,2025-08-01,65.03,66.47,63.82,65.64,3741293.55
VHM,2025-09-01,67.53,68.86,66.33,67.82,2985500.0
VHM,2025-10-01,23.27,23.79,22.82,23.49,1557764.52
