ticker,date,open,high,low,close,volume
VJC,2017-02-01,2.17,2.17,2.17,2.17,429.64
VJC,2017-03-01,53.23,53.9,52.26,53.07,443020.65
VJC,2017-04-01,46.39,46.79,45.89,46.34,203728.0
VJC,2017-05-01,49.11,49.37,48.82,49.18,201567.42
VJC,2017-06-01,53.06,53.27,52.52,52.78,261388.67
VJC,2017-07-01,48.52,48.66,48.13,48.41,238394.19
VJC,2017-08-01,52.96,53.23,52.74,53.05,233021.29
VJC,2017-09-01,53.01,53.66,52.61,53.26,440159.33
VJC,2017-10-01,62.17,62.8,61.57,62.19,616452.26
VJC,2017-11-01,71.21,72.32,70.77,71.79,926781.0
VJC,2017-12-01,74.64,75.67,73.73,74.95,715966.13
VJC,2018-01-01,95.68,97.45,94.17,96.23,788507.1
VJC,2018-02-01,82.31,84.24,81.42,83.28,518100.0
VJC,2018-03-01,120.04,122.02,119.0,120.67,564695.16
VJC,2018-04-01,108.59,109.6,105.78,107.37,520921.0
VJC,2018-05-01,103.28,105.23,100.06,102.49,432387.74
VJC,2018-06-01,97.89,99.97,95.93,98.34,343281.67
VJC,2018-07-01,93.89,95.26,91.71,93.6,451976.13
VJC,2018-08-01,109.32,110.29,108.12,109.54,546818.71
VJC,2018-09-01,94.03,94.7,92.9,93.75,424559.0
VJC,2018-10-01,100.82,101.62,99.14,100.33,557639.68
VJC,2018-11-01,94.87,95.64,94.04,94.59,422917.33
VJC,2018-12-01,81.51,82.06,80.75,81.22,317735.16
VJC,2019-01-01,82.61,83.32,81.79,82.65,372491.61
VJC,2019-02-01,65.27,65.69,64.56,65.05,461962.14
VJC,2019-03-01,80.22,80.55,79.55,80.19,561383.55
VJC,2019-04-01,71.6,72.17,70.91,71.6,455910.33
VJC,2019-05-01,84.1,84.73,83.62,84.45,503000.97
VJC,2019-06-01,81.48,82.15,80.97,81.7,388843.67
VJC,2019-07-01,96.78,97.44,96.33,96.95,462875.48
VJC,2019-08-01,93.33,93.84,92.81,93.48,522860.65
VJC,2019-09-01,90.32,90.88,89.73,90.59,481892.0
VJC,2019-10-01,103.99,104.67,103.62,104.25,352844.84
VJC,2019-11-01,100.67,100.97,100.33,100.71,315589.33
VJC,2019-12-01,102.21,102.52,101.86,102.26,299719.03
VJC,2020-01-01,80.07,80.31,79.29,79.63,233406.45
VJC,2020-02-01,87.89,88.47,87.33,88.03,259891.72
VJC,2020-03-01,75.07,76.35,73.21,74.97,271874.84
VJC,2020-04-01,72.8,73.93,71.84,73.39,214842.0
VJC,2020-05-01,73.9,74.51,73.1,73.84,291834.19
VJC,2020-06-01,81.94,82.59,81.06,81.8,337227.0
VJC,2020-07-01,78.22,78.89,77.5,78.17,223690.32
VJC,2020-08-01,67.51,68.01,67.07,67.7,246815.48
VJC,2020-09-01,74.25,74.64,73.72,74.35,326485.0
VJC,2020-10-01,74.21,74.45,73.49,74.11,329933.23
VJC,2020-11-01,78.64,79.35,77.86,78.96,407949.0
VJC,2020-12-01,90.76,91.7,90.13,91.09,462847.1
VJC,2021-01-01,83.05,84.0,82.05,83.21,448322.58
VJC,2021-02-01,69.79,70.6,68.77,70.13,378542.86
VJC,2021-03-01,99.26,99.88,98.14,99.16,409100.0
VJC,2021-04-01,87.44,87.86,86.15,87.0,361193.33
VJC,2021-05-01,75.18,75.56,73.98,74.76,305706.45
VJC,2021-06-01,83.4,84.27,82.67,83.83,430993.33
VJC,2021-07-01,82.97,83.4,81.16,82.83,450477.42
VJC,2021-08-01,84.79,85.48,83.95,85.28,620206.45
VJC,2021-09-01,83.98,84.59,83.19,84.13,588760.0
VJC,2021-10-01,89.27,90.07,88.32,89.46,591016.13
VJC,2021-11-01,94.78,95.32,93.56,94.65,643810.0
VJC,2021-12-01,91.24,91.92,90.03,91.54,582787.1
VJC,2022-01-01,75.42,75.83,74.24,75.3,415070.97
VJC,2022-02-01,79.1,80.66,78.06,80.07,557992.86
VJC,2022-03-01,105.07,106.36,103.79,105.4,719648.39
VJC,2022-04-01,91.38,92.44,89.74,91.22,468386.67
VJC,2022-05-01,81.76,82.6,80.31,81.97,411464.52
VJC,2022-06-01,93.69,94.51,92.54,93.91,497713.33
VJC,2022-07-01,85.69,86.15,84.84,85.61,340022.58
VJC,2022-08-01,92.44,92.87,91.77,92.46,428583.87
VJC,2022-09-01,76.64,77.12,75.89,76.5,363571.13
VJC,2022-10-01,74.39,74.95,73.05,74.24,216787.42
VJC,2022-11-01,74.11,75.58,72.73,74.56,204448.1
VJC,2022-12-01,77.64,78.71,76.18,77.79,302836.52
VJC,2023-01-01,57.26,57.89,56.5,57.29,178698.87
VJC,2023-02-01,74.67,75.42,73.28,74.24,184431.75
VJC,2023-03-01,76.39,77.7,74.88,76.55,211880.0
VJC,2023-04-01,66.65,67.08,65.82,66.37,129172.77
VJC,2023-05-01,63.01,63.47,62.48,63.0,407423.26
VJC,2023-06-01,70.54,70.97,69.89,70.27,540355.0
VJC,2023-07-01,64.88,65.38,64.47,65.14,634954.65
VJC,2023-08-01,74.04,74.64,73.02,73.8,652596.61
VJC,2023-09-01,62.94,63.5,62.15,63.07,730811.27
VJC,2023-10-01,71.2,71.7,69.88,71.17,674394.65
VJC,2023-11-01,78.31,79.47,76.7,78.37,667181.87
VJC,2023-12-01,71.53,71.93,70.58,71.57,648859.16
VJC,2024-01-01,75.15,75.4,74.33,75.05,480167.48
VJC,2024-02-01,57.7,57.99,57.3,57.58,355225.14
VJC,2024-03-01,69.64,70.01,68.95,69.54,434257.68
VJC,2024-04-01,65.29,65.85,64.46,65.37,591022.83
VJC,2024-05-01,79.9,80.89,78.83,79.95,719778.06
VJC,2024-06-01,70.35,70.7,69.51,70.06,648757.27
VJC,2024-07-01,76.95,77.4,76.27,77.14,614882.52
VJC,2024-08-01,73.23,73.84,72.28,73.22,455393.55
VJC,2024-09-01,66.32,66.62,65.75,66.28,488726.67
VJC,2024-10-01,78.06,78.45,77.3,78.1,651377.42
VJC,2024-11-01,72.28,72.55,71.47,72.23,475306.67
VJC,2024-12-01,72.14,72.44,71.45,72.08,504383.87
VJC,2025-01-01,54.35,54.54,53.92,54.35,305287.1
VJC,2025-02-01,69.42,69.66,68.94,69.34,372867.86
VJC,2025-03-01,65.76,66.09,65.26,65.74,411035.48
VJC,2025-04-01,57.99,58.81,56.54,57.68,483116.67
VJC,2025-05-01,57.23,57.76,56.65,57.42,446912.9
VJC,2025-06-01,61.89,62.44,61.39,62.01,546333.33
VJC,2025-07-01,75.1,76.77,73.78,75.53,1337583.87
VJC,2025-08-01,91.83,93.37,89.15,91.94,1774558.06
VJC,2025-09-01,93.29,94.09,91.51,92.79,1349223.33
VJC,2025-10-01,29.65,29.96,29.28,29.68,383164.52
