ticker,date,open,high,low,close,volume
VPB,2017-08-01,2.6,2.63,2.55,2.62,2196120.97
VPB,2017-09-01,4.99,5.04,4.96,5.0,504194.33
VPB,2017-10-01,5.66,5.73,5.62,5.67,911563.87
VPB,2017-11-01,5.87,5.94,5.8,5.86,874409.0
VPB,2017-12-01,5.45,5.51,5.38,5.44,1077100.0
VPB,2018-01-01,6.85,7.0,6.77,6.92,2920074.52
VPB,2018-02-01,5.91,6.04,5.82,5.95,2155132.14
VPB,2018-03-01,9.09,9.24,8.94,9.1,2909794.84
VPB,2018-04-01,8.2,8.32,7.98,8.13,2492161.0
VPB,2018-05-01,6.91,7.06,6.67,6.85,2316325.81
VPB,2018-06-01,7.05,7.23,6.89,7.07,2551959.0
VPB,2018-07-01,6.34,6.48,6.17,6.32,3135122.58
VPB,2018-08-01,6.34,6.41,6.25,6.31,3500554.84
VPB,2018-09-01,5.22,5.3,5.17,5.22,2837118.67
VPB,2018-10-01,5.78,5.84,5.67,5.75,3307369.35
VPB,2018-11-01,5.02,5.09,4.93,5.0,2321353.67
VPB,2018-12-01,4.5,4.55,4.42,4.49,2084006.45
VPB,2019-01-01,4.52,4.59,4.46,4.52,1237045.48
VPB,2019-02-01,3.71,3.75,3.66,3.71,1458075.71
VPB,2019-03-01,4.69,4.74,4.64,4.69,1662476.45
VPB,2019-04-01,4.06,4.09,4.02,4.05,1058349.67
VPB,2019-05-01,4.31,4.35,4.27,4.31,1063151.94
VPB,2019-06-01,4.02,4.06,3.98,4.03,1369904.0
VPB,2019-07-01,4.66,4.69,4.61,4.65,1118130.32
VPB,2019-08-01,4.48,4.54,4.44,4.5,1312816.77
VPB,2019-09-01,4.52,4.57,4.49,4.54,1397701.0
VPB,2019-10-01,5.36,5.4,5.31,5.36,3140310.32
VPB,2019-11-01,4.85,4.88,4.8,4.83,1192665.67
VPB,2019-12-01,4.5,4.56,4.46,4.51,1003775.16
VPB,2020-01-01,3.81,3.89,3.78,3.84,1453025.81
VPB,2020-02-01,5.86,6.04,5.8,5.96,3400947.59
VPB,2020-03-01,5.25,5.36,5.12,5.23,2735972.26
VPB,2020-04-01,4.33,4.44,4.23,4.34,3135392.33
VPB,2020-05-01,4.88,4.97,4.8,4.91,3971226.77
VPB,2020-06-01,5.53,5.6,5.42,5.49,3209252.33
VPB,2020-07-01,5.26,5.35,5.19,5.27,2208778.71
VPB,2020-08-01,4.83,4.9,4.79,4.85,2524322.9
VPB,2020-09-01,5.31,5.37,5.26,5.31,3366592.67
VPB,2020-10-01,5.61,5.68,5.51,5.59,5602930.32
VPB,2020-11-01,5.66,5.73,5.59,5.69,4552585.67
VPB,2020-12-01,7.23,7.37,7.12,7.27,4885645.48
VPB,2021-01-01,7.29,7.45,7.12,7.28,3915732.26
VPB,2021-02-01,6.56,6.75,6.43,6.66,3696482.14
VPB,2021-03-01,10.47,10.62,10.3,10.52,3400500.0
VPB,2021-04-01,10.68,10.9,10.5,10.79,7315383.33
VPB,2021-05-01,13.58,13.82,13.34,13.75,21938887.1
VPB,2021-06-01,16.47,16.67,16.23,16.52,23702303.33
VPB,2021-07-01,14.86,15.07,14.51,14.76,12204764.52
VPB,2021-08-01,14.36,14.52,14.19,14.34,6715851.61
VPB,2021-09-01,14.13,14.3,14.0,14.16,4596646.67
VPB,2021-10-01,14.67,14.81,14.47,14.67,6346441.94
VPB,2021-11-01,16.04,16.26,15.81,16.01,10867933.33
VPB,2021-12-01,15.33,15.51,15.07,15.25,12388751.61
VPB,2022-01-01,12.49,12.71,12.33,12.5,7569216.13
VPB,2022-02-01,12.21,12.42,12.07,12.24,9991778.57
VPB,2022-03-01,16.08,16.25,15.92,16.05,10664861.29
VPB,2022-04-01,14.71,15.05,14.42,14.69,16182513.33
VPB,2022-05-01,12.09,12.28,11.78,11.97,7957616.13
VPB,2022-06-01,12.67,12.91,12.46,12.68,6989413.33
VPB,2022-07-01,11.29,11.4,11.16,11.26,6049667.74
VPB,2022-08-01,13.22,13.39,13.08,13.25,10286283.87
VPB,2022-09-01,11.66,11.77,11.44,11.55,8254602.63
VPB,2022-10-01,9.61,9.8,9.25,9.56,8843169.0
VPB,2022-11-01,10.38,10.69,10.15,10.46,13258154.0
VPB,2022-12-01,10.98,11.25,10.71,10.95,19145397.97
VPB,2023-01-01,8.69,8.82,8.57,8.7,11693033.68
VPB,2023-02-01,11.19,11.35,10.94,11.1,11767733.68
VPB,2023-03-01,12.62,12.81,12.47,12.7,15438144.23
VPB,2023-04-01,11.97,12.08,11.82,11.92,7191031.37
VPB,2023-05-01,11.1,11.18,11.02,11.06,5162673.0
VPB,2023-06-01,12.81,12.92,12.66,12.76,11992781.27
VPB,2023-07-01,12.32,12.45,12.19,12.35,13249706.55
VPB,2023-08-01,14.05,14.18,13.82,14.01,13138435.87
VPB,2023-09-01,12.07,12.21,11.89,12.09,11814012.0
VPB,2023-10-01,13.29,13.48,13.08,13.31,8927523.03
VPB,2023-11-01,13.24,13.41,13.07,13.2,7376942.87
VPB,2023-12-01,11.83,11.92,11.7,11.84,7159931.48
VPB,2024-01-01,12.78,12.88,12.67,12.78,8996534.32
