ticker,date,open,high,low,close,volume
VSC,2015-01-01,3.36,3.39,3.33,3.36,9432.9
VSC,2015-02-01,2.63,2.65,2.61,2.63,16045.71
VSC,2015-03-01,3.81,3.84,3.77,3.81,27802.26
VSC,2015-04-01,3.32,3.34,3.29,3.32,8910.67
VSC,2015-05-01,3.62,3.66,3.58,3.62,50416.13
VSC,2015-06-01,4.3,4.34,4.27,4.3,26267.0
VSC,2015-07-01,4.65,4.71,4.62,4.67,44117.1
VSC,2015-08-01,4.69,4.78,4.63,4.72,85594.19
VSC,2015-09-01,4.97,5.04,4.92,5.01,48862.67
VSC,2015-10-01,6.03,6.14,5.97,6.04,133912.9
VSC,2015-11-01,6.5,6.58,6.39,6.48,143309.67
VSC,2015-12-01,7.11,7.23,7.05,7.14,124493.23
VSC,2016-01-01,6.13,6.21,6.05,6.11,107423.55
VSC,2016-02-01,4.85,4.9,4.78,4.83,82613.1
VSC,2016-03-01,6.51,6.58,6.41,6.49,114033.55
VSC,2016-04-01,5.01,5.06,4.95,5.0,69207.33
VSC,2016-05-01,4.86,4.91,4.8,4.85,42364.19
VSC,2016-06-01,6.22,6.34,6.16,6.27,77294.0
VSC,2016-07-01,6.31,6.41,6.23,6.33,83029.68
VSC,2016-08-01,7.32,7.42,7.22,7.33,139048.39
VSC,2016-09-01,7.22,7.31,7.14,7.21,135481.33
VSC,2016-10-01,6.31,6.37,6.22,6.3,82666.45
VSC,2016-11-01,6.3,6.33,6.21,6.25,35978.0
VSC,2016-12-01,5.59,5.66,5.5,5.58,65105.48
VSC,2017-01-01,4.5,4.55,4.46,4.5,42405.16
VSC,2017-02-01,5.88,5.92,5.83,5.88,65334.64
VSC,2017-03-01,6.19,6.25,6.12,6.18,80749.68
VSC,2017-04-01,5.33,5.38,5.28,5.33,81407.67
VSC,2017-05-01,5.56,5.58,5.52,5.54,55782.9
VSC,2017-06-01,6.4,6.48,6.35,6.43,122641.67
VSC,2017-07-01,5.82,5.86,5.75,5.78,79951.61
VSC,2017-08-01,5.96,6.0,5.92,5.95,43267.42
VSC,2017-09-01,5.27,5.32,5.21,5.25,89037.0
VSC,2017-10-01,5.44,5.5,5.36,5.4,121638.06
VSC,2017-11-01,5.16,5.22,5.09,5.15,132298.33
VSC,2017-12-01,4.98,5.02,4.9,4.94,172554.52
VSC,2018-01-01,4.98,5.06,4.93,4.98,144808.06
VSC,2018-02-01,3.27,3.33,3.2,3.25,148167.14
VSC,2018-03-01,4.84,4.94,4.76,4.86,253680.65
VSC,2018-04-01,3.92,3.96,3.83,3.87,78153.67
VSC,2018-05-01,3.87,3.94,3.79,3.85,94910.32
VSC,2018-06-01,4.07,4.19,4.0,4.12,125162.33
VSC,2018-07-01,4.05,4.12,3.96,4.04,70370.32
VSC,2018-08-01,5.06,5.14,5.0,5.08,122329.68
VSC,2018-09-01,4.56,4.63,4.5,4.56,121752.67
VSC,2018-10-01,5.48,5.56,5.39,5.45,188488.06
VSC,2018-11-01,5.1,5.15,5.04,5.1,145028.67
VSC,2018-12-01,4.77,4.83,4.71,4.78,157416.45
VSC,2019-01-01,5.16,5.22,5.11,5.16,66966.77
VSC,2019-02-01,4.12,4.17,4.07,4.12,106137.5
VSC,2019-03-01,5.05,5.11,4.99,5.03,108250.97
VSC,2019-04-01,4.39,4.41,4.34,4.37,64327.67
VSC,2019-05-01,4.63,4.66,4.58,4.62,63000.65
VSC,2019-06-01,4.25,4.28,4.19,4.22,37618.33
VSC,2019-07-01,4.59,4.63,4.54,4.58,109964.84
VSC,2019-08-01,4.05,4.12,3.99,4.06,150837.74
VSC,2019-09-01,3.88,3.92,3.83,3.86,93667.0
VSC,2019-10-01,4.01,4.03,3.96,3.99,76027.74
VSC,2019-11-01,3.62,3.65,3.57,3.6,82278.0
VSC,2019-12-01,3.67,3.72,3.63,3.69,71095.16
VSC,2020-01-01,3.02,3.06,2.98,3.01,41244.52
VSC,2020-02-01,3.53,3.57,3.49,3.53,68168.97
VSC,2020-03-01,3.14,3.19,3.1,3.14,105660.32
VSC,2020-04-01,3.05,3.12,3.01,3.08,105033.33
VSC,2020-05-01,3.61,3.69,3.56,3.64,115550.97
VSC,2020-06-01,4.17,4.24,4.1,4.16,154698.0
VSC,2020-07-01,4.35,4.43,4.32,4.39,143111.61
VSC,2020-08-01,4.48,4.55,4.43,4.49,285965.16
VSC,2020-09-01,5.1,5.16,5.05,5.12,190260.0
VSC,2020-10-01,6.1,6.2,6.03,6.11,179858.71
VSC,2020-11-01,7.09,7.16,7.02,7.1,114143.33
VSC,2020-12-01,8.67,8.83,8.59,8.72,146720.65
VSC,2021-01-01,8.41,8.58,8.23,8.43,96803.23
VSC,2021-02-01,7.09,7.16,7.02,7.11,32075.0
VSC,2021-03-01,9.59,9.64,9.42,9.54,27796.77
VSC,2021-04-01,7.44,7.56,7.29,7.44,67026.67
VSC,2021-05-01,7.11,7.23,7.02,7.13,43087.1
VSC,2021-06-01,9.2,9.36,9.05,9.24,62636.67
VSC,2021-07-01,9.73,9.91,9.6,9.77,53674.19
VSC,2021-08-01,10.59,10.81,10.41,10.64,90645.16
VSC,2021-09-01,9.73,9.82,9.47,9.66,102116.67
VSC,2021-10-01,9.66,9.8,9.53,9.69,398580.65
VSC,2021-11-01,12.59,12.78,12.4,12.63,557960.0
VSC,2021-12-01,12.85,12.98,12.65,12.8,220609.68
VSC,2022-01-01,9.76,9.86,9.59,9.7,107819.35
VSC,2022-02-01,9.29,9.45,9.14,9.34,126832.14
VSC,2022-03-01,13.07,13.38,12.88,13.12,915306.45
VSC,2022-04-01,11.81,12.14,11.54,11.87,903493.33
VSC,2022-05-01,11.87,12.3,11.51,11.91,836270.97
VSC,2022-06-01,13.86,14.3,13.49,13.89,666100.0
VSC,2022-07-01,11.09,11.22,10.84,11.03,181767.74
VSC,2022-08-01,11.96,12.08,11.79,11.96,429719.35
VSC,2022-09-01,10.26,10.42,10.06,10.33,480170.63
VSC,2022-10-01,10.44,10.58,10.27,10.51,188732.84
VSC,2022-11-01,10.7,10.87,10.47,10.75,263864.3
VSC,2022-12-01,9.76,9.86,9.56,9.78,170495.71
VSC,2023-01-01,6.94,7.0,6.89,6.97,54186.48
VSC,2023-02-01,9.55,9.64,9.39,9.56,191751.93
VSC,2023-03-01,9.72,9.81,9.6,9.74,196699.45
VSC,2023-04-01,8.45,8.51,8.37,8.44,118371.77
VSC,2023-05-01,8.01,8.09,7.92,8.05,199478.71
VSC,2023-06-01,10.41,10.62,10.28,10.43,961293.57
VSC,2023-07-01,11.05,11.16,10.79,10.98,1143369.48
VSC,2023-08-01,11.15,11.3,10.93,11.1,1151305.0
VSC,2023-09-01,9.5,9.69,9.27,9.47,1051124.07
VSC,2023-10-01,9.18,9.29,8.93,9.1,567396.52
VSC,2023-11-01,9.65,9.87,9.49,9.69,989020.6
VSC,2023-12-01,9.66,9.78,9.53,9.63,620756.74
VSC,2024-01-01,10.5,10.61,10.29,10.42,2098307.71
VSC,2024-02-01,8.89,9.06,8.75,8.91,2547694.0
VSC,2024-03-01,10.9,11.05,10.71,10.87,3576908.97
VSC,2024-04-01,9.81,9.93,9.62,9.74,2184880.17
VSC,2024-05-01,10.86,11.06,10.71,10.86,3619898.58
VSC,2024-06-01,10.8,10.98,10.6,10.73,6222728.3
VSC,2024-07-01,11.35,11.45,11.17,11.25,2872123.32
VSC,2024-08-01,9.62,9.72,9.45,9.58,2426959.68
VSC,2024-09-01,8.43,8.5,8.36,8.43,1363369.6
VSC,2024-10-01,9.9,9.98,9.81,9.87,1118608.1
VSC,2024-11-01,9.07,9.2,8.94,9.03,2913566.63
VSC,2024-12-01,8.82,8.9,8.73,8.8,2202011.39
VSC,2025-01-01,6.9,7.01,6.84,6.93,1493280.87
VSC,2025-02-01,10.04,10.15,9.94,10.05,2793719.36
VSC,2025-03-01,9.49,9.61,9.39,9.49,1115167.26
VSC,2025-04-01,8.86,9.13,8.73,9.08,2695766.27
VSC,2025-05-01,11.46,11.76,11.06,11.37,6128824.58
VSC,2025-06-01,11.62,11.75,11.4,11.54,4672561.0
VSC,2025-07-01,14.0,14.39,13.63,14.06,17257370.97
VSC,2025-08-01,20.46,20.93,19.64,20.25,12863448.39
VSC,2025-09-01,20.37,20.83,19.64,20.22,6750426.67
VSC,2025-10-01,6.43,6.54,6.25,6.32,2348200.0
