ticker,date,open,high,low,close,volume
ACB,2025-10-09,26.8,26.95,26.6,26.95,16388600
ACB,2025-10-10,27.05,27.2,26.8,26.95,16337400
ACB,2025-10-13,26.55,26.8,26.4,26.75,18373300
ACB,2025-10-14,26.75,26.95,26.25,26.3,18531600
ACB,2025-10-15,26.4,26.65,26.15,26.3,14416100
ACB,2025-10-16,26.4,26.55,26.15,26.3,13461000
ACB,2025-10-17,26.3,26.4,25.75,25.75,16289600
ACB,2025-10-20,25.6,25.65,24.6,24.8,32231800
ACB,2025-10-21,24.85,25.3,24.85,25.0,19371400
ACB,2025-10-22,25.2,25.3,24.65,25.1,15620500
ACB,2025-10-23,25.1,25.2,24.95,24.95,8751200
ACB,2025-10-24,24.95,25.3,24.8,25.0,11724500
ACB,2025-10-27,25.3,25.55,24.95,25.0,10208700
ACB,2025-10-28,25.1,25.4,25.05,25.4,10305300
ACB,2025-10-29,25.4,25.55,25.3,25.4,6350700
ACB,2025-10-30,25.5,25.7,25.0,25.1,9309300
ACB,2025-10-31,25.3,25.5,25.05,25.5,12748200
ACB,2025-11-03,25.4,25.9,25.3,25.45,13864900
ACB,2025-11-04,25.45,26.1,25.4,26.0,17972000
ACB,2025-11-05,25.8,25.9,25.55,25.6,6212200
ACB,2025-11-06,25.55,25.7,25.3,25.3,6525200
ACB,2025-11-07,25.25,25.3,24.85,24.9,12107200
ACB,2025-11-10,24.9,25.2,24.7,24.8,7222900
ACB,2025-11-11,24.85,25.05,24.8,24.85,6962300
ACB,2025-11-12,25.0,25.2,24.8,25.2,6319100
ACB,2025-11-13,25.2,25.2,25.0,25.1,5637200
ACB,2025-11-14,25.1,25.1,24.9,24.95,6763400
ACB,2025-11-17,25.0,25.15,24.95,25.15,3945100
ACB,2025-11-18,25.2,25.4,25.05,25.1,6387000
ACB,2025-11-19,25.15,25.15,24.85,24.9,5994400
ACB,2025-11-20,25.0,25.0,24.8,24.8,6153200
ACB,2025-11-21,24.75,24.85,24.6,24.7,7299200
ACB,2025-11-24,24.7,24.85,24.6,24.6,7081700
ACB,2025-11-25,24.65,24.7,24.1,24.2,15856700
ACB,2025-11-26,24.2,24.4,24.15,24.2,9003200
ACB,2025-11-27,24.45,24.5,24.3,24.35,7791600
