ticker,date,open,high,low,close,volume
BID,2025-10-09,40.1,40.5,39.96,40.35,4351594
BID,2025-10-10,40.45,41.04,40.45,40.75,6799562
BID,2025-10-13,40.55,40.7,40.3,40.45,4332780
BID,2025-10-14,40.6,40.75,39.6,39.6,7731694
BID,2025-10-15,39.7,40.15,39.35,39.35,4335312
BID,2025-10-16,39.35,39.75,39.2,39.75,3816264
BID,2025-10-17,39.75,39.8,39.05,39.05,4180594
BID,2025-10-20,38.95,39.05,36.5,36.5,7402866
BID,2025-10-21,36.55,37.5,36.55,37.05,4509093
BID,2025-10-22,37.5,37.5,36.5,37.2,3978223
BID,2025-10-23,37.0,37.45,36.85,36.9,2710914
BID,2025-10-24,37.0,37.1,36.2,36.9,3495261
BID,2025-10-27,36.95,37.2,36.5,36.5,2062600
BID,2025-10-28,36.6,37.15,36.6,37.1,2793500
BID,2025-10-29,37.5,37.9,37.3,37.8,3204200
BID,2025-10-30,37.95,38.25,37.6,37.9,2599600
BID,2025-10-31,38.0,38.0,37.4,37.4,2380000
BID,2025-11-03,37.6,37.8,37.1,37.1,2453800
BID,2025-11-04,37.1,38.0,36.9,37.9,3482600
BID,2025-11-05,37.6,38.8,37.6,38.65,3945700
BID,2025-11-06,38.7,38.9,38.35,38.5,2392700
BID,2025-11-07,38.35,38.65,37.45,37.5,3220900
BID,2025-11-10,37.5,38.0,37.3,37.4,2337400
BID,2025-11-11,37.6,38.15,37.6,38.0,2393800
BID,2025-11-12,38.2,38.4,37.8,38.25,2029800
BID,2025-11-13,38.25,38.45,38.0,38.3,1942700
BID,2025-11-14,38.2,38.5,38.2,38.35,2234600
BID,2025-11-17,38.35,38.55,38.3,38.4,1422700
BID,2025-11-18,38.5,38.5,38.25,38.4,1451400
BID,2025-11-19,38.3,38.45,38.1,38.1,1302400
BID,2025-11-20,38.2,38.2,37.9,37.95,1467900
BID,2025-11-21,37.9,37.9,37.4,37.6,1247000
BID,2025-11-24,37.6,37.95,37.6,37.65,1091700
BID,2025-11-25,37.8,37.8,37.0,37.0,1798100
BID,2025-11-26,37.05,37.55,37.05,37.35,1237300
BID,2025-11-27,37.45,37.7,37.3,37.55,1071300
