ticker,date,open,high,low,close,volume
CII,2025-10-09,25.6,26.4,25.45,25.95,16693600
CII,2025-10-10,26.2,27.75,26.2,26.8,36038900
CII,2025-10-13,26.45,28.65,26.0,28.65,47071800
CII,2025-10-14,30.3,30.6,28.95,29.75,33788100
CII,2025-10-15,29.75,30.5,28.9,30.3,29726800
CII,2025-10-16,30.5,31.2,29.75,30.0,22428200
CII,2025-10-17,30.0,31.35,29.75,30.35,32284500
CII,2025-10-20,29.9,30.8,28.25,28.25,38914400
CII,2025-10-21,28.0,28.25,26.5,27.0,53003000
CII,2025-10-22,27.55,27.75,25.8,27.6,33444800
CII,2025-10-23,27.9,28.8,27.5,27.5,26768200
CII,2025-10-24,27.4,27.55,26.7,26.7,25246400
CII,2025-10-27,26.9,27.15,24.85,24.85,28541900
CII,2025-10-28,24.2,25.2,23.55,25.0,26048800
CII,2025-10-29,25.2,25.75,25.0,25.05,9596500
CII,2025-10-30,25.1,25.5,24.35,24.4,17774000
CII,2025-10-31,24.45,25.3,24.05,24.05,15866100
CII,2025-11-03,24.4,24.5,22.4,22.4,29456900
CII,2025-11-04,21.9,23.95,21.25,23.95,31648000
CII,2025-11-05,23.95,23.95,23.0,23.0,9606400
CII,2025-11-06,23.0,24.1,22.9,23.4,17415500
CII,2025-11-07,23.45,23.75,22.8,22.8,14270500
CII,2025-11-10,22.8,23.4,22.25,22.3,11509600
CII,2025-11-11,22.5,22.8,21.7,22.8,16815000
CII,2025-11-12,23.0,24.35,23.0,24.35,17965600
CII,2025-11-13,24.65,25.1,24.2,24.5,20103600
CII,2025-11-14,24.5,25.75,24.3,25.15,21016500
CII,2025-11-17,25.7,26.75,25.55,26.55,22751600
CII,2025-11-18,26.65,26.85,26.1,26.4,15217900
CII,2025-11-19,26.1,26.65,26.05,26.15,18357300
CII,2025-11-20,26.45,26.8,25.1,25.75,21825900
CII,2025-11-21,25.3,26.3,25.3,26.3,19954400
CII,2025-11-24,26.55,26.55,25.65,25.65,13267500
CII,2025-11-25,25.65,26.45,25.2,25.3,16664600
CII,2025-11-26,25.45,27.05,25.4,26.6,22691500
CII,2025-11-27,26.8,26.8,25.95,26.0,14701800
