ticker,date,open,high,low,close,volume
CTD,2025-10-09,86.0,87.3,85.0,86.0,911400
CTD,2025-10-10,86.5,88.8,85.1,87.6,2130900
CTD,2025-10-13,86.1,87.1,85.5,86.0,925300
CTD,2025-10-14,85.9,86.9,83.5,84.0,1836400
CTD,2025-10-15,84.1,84.5,83.0,83.5,872400
CTD,2025-10-16,83.4,85.3,83.3,85.1,740200
CTD,2025-10-17,85.9,85.9,83.0,83.5,1526600
CTD,2025-10-20,84.0,84.8,78.0,79.0,1558500
CTD,2025-10-21,79.5,84.5,79.0,84.0,1988100
CTD,2025-10-22,84.7,85.1,82.3,85.1,953500
CTD,2025-10-23,85.6,91.0,85.2,89.8,4127600
CTD,2025-10-24,89.7,92.0,88.0,89.9,974600
CTD,2025-10-27,90.2,90.9,87.2,87.2,1060000
CTD,2025-10-28,87.1,93.3,85.3,93.3,2096000
CTD,2025-10-29,95.0,99.8,94.1,99.8,2652100
CTD,2025-10-30,99.5,102.5,98.2,100.0,1299900
CTD,2025-10-31,100.5,103.5,98.6,103.5,2181600
CTD,2025-11-03,103.0,103.0,99.0,99.0,1057200
CTD,2025-11-04,98.1,99.4,92.1,94.3,3602200
CTD,2025-11-05,93.6,100.0,92.3,96.8,1063500
CTD,2025-11-06,95.6,97.8,91.0,91.0,1439500
CTD,2025-11-07,90.5,91.1,84.7,84.7,2818800
CTD,2025-11-10,84.7,87.0,83.5,84.0,731200
CTD,2025-11-11,84.2,86.3,84.2,85.1,746400
CTD,2025-11-12,85.1,89.0,85.1,89.0,846300
CTD,2025-11-13,89.7,89.7,87.3,88.4,731600
CTD,2025-11-14,87.4,88.4,86.9,88.0,497400
CTD,2025-11-17,87.5,89.4,87.3,88.8,566300
CTD,2025-11-18,89.1,89.6,87.6,87.9,527400
CTD,2025-11-19,87.9,88.5,86.3,86.7,613700
CTD,2025-11-20,87.0,87.0,85.6,85.9,514100
CTD,2025-11-21,85.6,86.2,84.3,85.9,440300
CTD,2025-11-24,86.5,88.8,86.4,88.6,624200
CTD,2025-11-25,88.6,89.0,86.5,86.9,385300
CTD,2025-11-26,87.0,88.4,86.9,87.8,424900
CTD,2025-11-27,87.9,87.9,86.0,87.5,611200
