ticker,date,open,high,low,close,volume
CTG,2025-10-09,52.48,54.56,52.18,54.56,21556639
CTG,2025-10-10,55.25,56.05,54.46,54.76,13408522
CTG,2025-10-13,54.26,55.85,54.16,55.55,10960123
CTG,2025-10-14,55.9,55.9,54.4,54.4,13700332
CTG,2025-10-15,54.5,55.2,54.1,54.8,8099814
CTG,2025-10-16,54.9,55.0,53.5,53.8,10981538
CTG,2025-10-17,53.7,54.2,52.2,52.2,17832831
CTG,2025-10-20,52.8,53.4,48.8,48.9,25122546
CTG,2025-10-21,49.0,50.4,48.9,49.95,13438444
CTG,2025-10-22,50.5,50.5,48.5,50.5,11673294
CTG,2025-10-23,50.0,50.4,49.6,49.7,8501295
CTG,2025-10-24,49.35,49.9,48.0,49.8,11657777
CTG,2025-10-27,49.8,49.85,48.6,48.6,5362100
CTG,2025-10-28,48.55,49.0,47.75,49.0,6253500
CTG,2025-10-29,49.2,50.3,49.05,49.65,6411600
CTG,2025-10-30,49.8,49.85,49.1,49.2,4840500
CTG,2025-10-31,49.85,50.5,49.0,49.0,8858400
CTG,2025-11-03,49.3,49.6,48.5,48.5,5620800
CTG,2025-11-04,48.25,50.0,47.85,49.95,7379300
CTG,2025-11-05,49.8,51.6,49.5,51.3,10623400
CTG,2025-11-06,51.2,51.2,50.1,51.1,7255500
CTG,2025-11-07,50.5,51.2,48.45,49.0,13056800
CTG,2025-11-10,48.7,49.0,47.65,48.0,7671700
CTG,2025-11-11,48.15,48.5,47.0,48.5,8811100
CTG,2025-11-12,48.5,49.5,48.1,49.2,6635000
CTG,2025-11-13,49.15,49.15,48.4,48.85,5628500
CTG,2025-11-14,48.5,48.6,48.05,48.55,6523600
CTG,2025-11-17,48.75,48.95,48.35,48.85,5014800
CTG,2025-11-18,48.9,49.55,48.85,49.4,5458400
CTG,2025-11-19,49.4,49.4,48.75,49.35,5019700
CTG,2025-11-20,49.3,49.3,48.65,49.1,4543200
CTG,2025-11-21,48.6,49.2,48.3,49.1,6520900
CTG,2025-11-24,49.1,49.2,48.75,48.8,3617800
CTG,2025-11-25,48.7,48.95,48.15,48.15,5568500
CTG,2025-11-26,48.3,48.9,47.9,48.9,7071200
CTG,2025-11-27,49.0,49.6,48.8,48.85,7632300
