ticker,date,open,high,low,close,volume
FTS,2025-10-09,36.05,36.35,35.75,35.85,1132900
FTS,2025-10-10,36.05,36.4,35.9,36.05,1297300
FTS,2025-10-13,35.9,35.9,35.3,35.55,1734800
FTS,2025-10-14,35.8,36.3,35.1,35.3,2677000
FTS,2025-10-15,35.3,35.4,34.6,34.75,2128400
FTS,2025-10-16,34.75,34.8,34.35,34.4,1972900
FTS,2025-10-17,34.65,35.2,34.35,34.35,2036000
FTS,2025-10-20,34.05,34.55,31.95,31.95,2441500
FTS,2025-10-21,31.95,33.75,30.7,33.45,3162800
FTS,2025-10-22,33.75,34.1,32.8,34.0,1243900
FTS,2025-10-23,34.0,34.0,33.1,33.1,874500
FTS,2025-10-24,33.15,33.15,32.2,32.8,1129400
FTS,2025-10-27,33.4,35.05,33.15,34.45,4970700
FTS,2025-10-28,34.7,35.5,34.55,35.4,1993900
FTS,2025-10-29,35.3,35.55,34.75,34.75,1726200
FTS,2025-10-30,35.1,35.45,34.75,35.35,2026700
FTS,2025-10-31,35.4,36.15,35.0,35.0,2842800
FTS,2025-11-03,35.0,35.55,34.3,34.3,2060000
FTS,2025-11-04,33.8,36.5,32.8,35.9,3770900
FTS,2025-11-05,35.3,35.65,35.0,35.0,1013200
FTS,2025-11-06,35.0,35.3,34.6,34.6,1067700
FTS,2025-11-07,34.6,34.9,33.15,33.2,1703900
FTS,2025-11-10,32.75,34.05,32.75,32.95,1142700
FTS,2025-11-11,33.45,33.55,32.85,33.45,643300
FTS,2025-11-12,33.8,33.95,33.5,33.85,774200
FTS,2025-11-13,33.95,34.15,33.6,33.6,909700
FTS,2025-11-14,33.4,33.85,33.4,33.7,752100
FTS,2025-11-17,33.8,34.25,33.8,34.1,767000
FTS,2025-11-18,34.15,34.95,34.15,34.4,1365100
FTS,2025-11-19,34.4,34.6,33.6,33.9,902300
FTS,2025-11-20,33.8,34.25,33.55,33.65,564400
FTS,2025-11-21,33.5,33.5,33.0,33.2,838400
FTS,2025-11-24,33.1,33.5,33.05,33.05,672200
FTS,2025-11-25,33.1,33.4,32.2,32.2,1058800
FTS,2025-11-26,32.2,33.35,32.2,33.05,625900
FTS,2025-11-27,33.3,33.3,32.75,32.75,442800
