ticker,date,open,high,low,close,volume
GMD,2025-10-09,67.5,67.5,66.0,67.3,2633900
GMD,2025-10-10,67.3,69.1,67.1,68.5,2195500
GMD,2025-10-13,67.2,68.5,67.1,67.2,2089700
GMD,2025-10-14,67.3,68.7,66.9,68.1,2318500
GMD,2025-10-15,68.3,71.3,63.4,69.0,3943600
GMD,2025-10-16,69.5,69.5,67.5,67.5,2467100
GMD,2025-10-17,67.5,68.4,67.0,68.0,2521700
GMD,2025-10-20,68.0,68.0,63.3,63.3,5551000
GMD,2025-10-21,63.7,66.3,63.4,66.0,2308600
GMD,2025-10-22,66.0,67.2,65.3,67.0,1993000
GMD,2025-10-23,67.0,69.7,66.7,67.3,2381400
GMD,2025-10-24,67.5,67.5,65.9,66.8,1221700
GMD,2025-10-27,67.3,67.4,65.3,66.5,1406800
GMD,2025-10-28,66.4,66.5,64.0,66.5,2080000
GMD,2025-10-29,66.4,70.0,65.6,69.2,3992400
GMD,2025-10-30,69.8,70.6,68.8,70.5,3451800
GMD,2025-10-31,69.9,70.0,68.1,68.1,4256200
GMD,2025-11-03,68.2,71.0,67.7,68.5,3824900
GMD,2025-11-04,67.6,68.1,64.1,67.3,3771700
GMD,2025-11-05,67.3,67.3,65.6,67.0,1440700
GMD,2025-11-06,67.0,67.7,66.1,66.1,1890700
GMD,2025-11-07,66.1,66.2,63.0,63.4,2325400
GMD,2025-11-10,63.4,63.6,61.0,61.0,2649000
GMD,2025-11-11,61.0,62.0,59.5,61.0,1523700
GMD,2025-11-12,61.5,63.0,61.4,62.0,1117300
GMD,2025-11-13,62.1,63.9,62.1,63.0,1573100
GMD,2025-11-14,63.0,63.1,62.1,62.5,766900
GMD,2025-11-17,62.5,64.0,62.5,63.6,613100
GMD,2025-11-18,63.4,64.5,63.1,63.5,1082300
GMD,2025-11-19,63.6,64.0,62.7,63.2,906500
GMD,2025-11-20,63.2,63.2,62.5,62.6,756600
GMD,2025-11-21,62.5,63.9,61.9,63.2,864500
GMD,2025-11-24,63.2,63.5,62.9,62.9,437700
GMD,2025-11-25,63.0,63.4,62.0,62.9,1312100
GMD,2025-11-26,63.0,63.7,62.5,63.4,1233200
GMD,2025-11-27,63.5,64.3,63.1,63.9,1196000
