ticker,date,open,high,low,close,volume
HDB,2025-10-09,31.45,31.85,31.2,31.65,15346800
HDB,2025-10-10,31.9,31.95,31.7,31.85,14960500
HDB,2025-10-13,31.45,32.65,31.35,32.65,27220300
HDB,2025-10-14,32.9,33.45,32.1,32.65,27956100
HDB,2025-10-15,32.6,33.6,32.5,33.1,23703400
HDB,2025-10-16,33.25,33.4,32.9,33.4,17013200
HDB,2025-10-17,33.55,33.55,32.5,32.5,19439000
HDB,2025-10-20,32.0,32.2,30.25,30.25,26891500
HDB,2025-10-21,30.4,32.35,30.4,32.35,24467900
HDB,2025-10-22,32.5,32.55,31.7,32.5,12369900
HDB,2025-10-23,32.45,34.25,32.4,33.0,34268900
HDB,2025-10-24,32.75,33.05,32.0,32.7,17222100
HDB,2025-10-27,32.95,32.95,31.1,31.1,17556400
HDB,2025-10-28,30.55,32.2,30.55,32.2,14459200
HDB,2025-10-29,32.45,34.1,32.35,33.4,31358500
HDB,2025-10-30,33.45,34.35,33.2,33.4,23301200
HDB,2025-10-31,33.55,33.55,32.0,32.0,22262400
HDB,2025-11-03,32.0,32.1,30.5,30.55,23596600
HDB,2025-11-04,30.55,31.1,29.25,31.1,34423800
HDB,2025-11-05,31.1,31.8,30.8,31.05,8534600
HDB,2025-11-06,31.1,31.1,30.05,30.1,12158000
HDB,2025-11-07,29.95,30.15,29.25,30.0,22588600
HDB,2025-11-10,29.9,30.05,29.3,29.6,12893500
HDB,2025-11-11,29.6,29.7,29.05,29.6,11097100
HDB,2025-11-12,29.7,30.1,29.3,30.0,14650300
HDB,2025-11-13,30.0,30.15,29.7,29.95,11503300
HDB,2025-11-14,29.85,30.0,29.5,29.85,14810200
HDB,2025-11-17,30.0,30.5,29.8,30.05,12131900
HDB,2025-11-18,30.15,30.5,30.0,30.45,13963400
HDB,2025-11-19,30.5,31.5,30.0,31.3,20946700
HDB,2025-11-20,31.4,31.9,31.2,31.8,21414900
HDB,2025-11-21,31.65,31.85,31.0,31.2,13878700
HDB,2025-11-24,31.3,32.0,31.05,31.1,16462700
HDB,2025-11-25,31.25,32.1,31.25,31.8,22337300
HDB,2025-11-26,31.8,32.3,31.6,32.3,14640700
HDB,2025-11-27,32.45,32.45,31.6,32.0,11302600
