ticker,date,open,high,low,close,volume
HVN,2025-10-09,35.0,35.2,34.45,34.7,1056500
HVN,2025-10-10,34.8,36.2,34.8,36.2,1039900
HVN,2025-10-13,35.4,36.0,35.4,35.7,655100
HVN,2025-10-14,35.8,35.95,35.2,35.2,1016200
HVN,2025-10-15,35.65,35.7,35.0,35.1,727200
HVN,2025-10-16,35.7,35.75,35.5,35.6,559200
HVN,2025-10-17,35.6,35.6,35.0,35.0,588100
HVN,2025-10-20,35.0,36.25,32.6,32.6,1402300
HVN,2025-10-21,34.0,34.5,33.5,34.5,1271700
HVN,2025-10-22,35.0,35.0,34.0,34.45,691500
HVN,2025-10-23,34.45,34.45,33.6,33.75,1573600
HVN,2025-10-24,34.0,34.6,33.05,33.1,1213700
HVN,2025-10-27,33.7,34.2,33.0,33.0,981200
HVN,2025-10-28,33.0,33.1,32.05,33.1,1411500
HVN,2025-10-29,33.45,33.45,32.5,32.5,1262700
HVN,2025-10-30,32.9,33.45,32.5,33.0,580900
HVN,2025-10-31,33.0,33.0,31.5,31.6,2582100
HVN,2025-11-03,31.9,32.0,30.75,30.75,1393700
HVN,2025-11-04,30.55,30.65,30.1,30.65,981900
HVN,2025-11-05,30.65,32.2,30.5,31.7,1016500
HVN,2025-11-06,32.0,32.0,31.3,31.3,566000
HVN,2025-11-07,30.6,30.6,30.4,30.4,2267800
HVN,2025-11-10,30.4,30.4,29.6,29.8,1096800
HVN,2025-11-11,29.5,29.7,28.5,28.5,2330800
HVN,2025-11-12,29.7,29.75,29.0,29.7,892200
HVN,2025-11-13,29.5,29.5,29.2,29.3,862100
HVN,2025-11-14,29.5,29.5,29.15,29.2,1075700
HVN,2025-11-17,29.2,29.65,29.2,29.5,537200
HVN,2025-11-18,29.6,30.45,29.6,30.25,1661200
HVN,2025-11-19,30.4,30.4,29.85,29.9,781100
HVN,2025-11-20,29.9,30.25,29.9,29.95,644500
HVN,2025-11-21,29.9,29.9,29.55,29.55,637400
HVN,2025-11-24,29.55,30.0,29.55,29.7,541200
HVN,2025-11-25,29.65,29.9,29.0,29.0,952100
HVN,2025-11-26,29.0,29.6,29.0,29.25,360300
HVN,2025-11-27,29.35,29.6,29.25,29.25,587700
