ticker,date,open,high,low,close,volume
MBB,2025-10-09,27.0,27.4,26.85,27.35,38667700
MBB,2025-10-10,27.4,27.75,27.2,27.45,56780900
MBB,2025-10-13,27.15,27.4,27.0,27.35,46449900
MBB,2025-10-14,27.5,27.7,27.05,27.05,49401300
MBB,2025-10-15,27.15,27.65,27.1,27.25,31486300
MBB,2025-10-16,27.3,27.55,27.15,27.2,26482800
MBB,2025-10-17,27.25,27.8,27.1,27.1,43529100
MBB,2025-10-20,26.95,27.1,25.25,25.25,74530200
MBB,2025-10-21,25.35,26.0,24.8,25.3,51668400
MBB,2025-10-22,25.6,25.65,24.8,25.45,29596300
MBB,2025-10-23,25.5,25.7,25.2,25.2,19904800
MBB,2025-10-24,25.15,25.15,24.35,24.4,46363100
MBB,2025-10-27,24.55,24.65,23.8,23.8,52326000
MBB,2025-10-28,23.8,24.0,23.15,24.0,49519800
MBB,2025-10-29,24.2,24.6,24.05,24.35,24107400
MBB,2025-10-30,24.4,24.4,23.85,23.95,24498600
MBB,2025-10-31,23.8,24.1,23.6,23.6,19849200
MBB,2025-11-03,23.7,24.0,23.1,23.1,29961200
MBB,2025-11-04,23.5,24.35,23.2,24.0,38226500
MBB,2025-11-05,24.0,24.1,23.8,23.9,12417500
MBB,2025-11-06,24.0,24.1,23.6,23.7,10717900
MBB,2025-11-07,23.75,23.75,23.15,23.3,21326700
MBB,2025-11-10,23.3,23.6,23.05,23.1,17025200
MBB,2025-11-11,23.15,23.35,23.0,23.2,15211100
MBB,2025-11-12,23.35,23.8,23.2,23.7,17528300
MBB,2025-11-13,23.75,23.8,23.5,23.5,19631300
MBB,2025-11-14,23.45,23.65,23.3,23.5,16560800
MBB,2025-11-17,23.6,23.95,23.6,23.8,16843400
MBB,2025-11-18,23.8,23.95,23.7,23.7,19492900
MBB,2025-11-19,23.75,23.8,23.4,23.5,16581700
MBB,2025-11-20,23.7,23.7,23.3,23.35,13622300
MBB,2025-11-21,23.25,23.25,23.0,23.2,26669000
MBB,2025-11-24,23.25,23.4,23.05,23.15,10531000
MBB,2025-11-25,23.2,23.3,22.8,22.85,18502700
MBB,2025-11-26,22.9,23.45,22.85,23.25,21635300
MBB,2025-11-27,23.35,23.65,23.3,23.5,22892300
