ticker,date,open,high,low,close,volume
NVL,2025-10-09,15.3,15.55,15.25,15.3,7295400
NVL,2025-10-10,15.45,16.0,15.45,15.6,15221600
NVL,2025-10-13,15.4,16.2,15.25,16.0,22278600
NVL,2025-10-14,16.15,16.2,15.45,15.5,17237400
NVL,2025-10-15,15.75,15.75,15.45,15.6,8842700
NVL,2025-10-16,15.7,16.45,15.7,16.25,28947600
NVL,2025-10-17,16.25,16.95,16.05,16.6,32460400
NVL,2025-10-20,15.45,15.8,15.45,15.45,70812600
NVL,2025-10-21,14.6,14.9,14.4,14.4,29857200
NVL,2025-10-22,14.5,15.15,13.55,14.0,48486500
NVL,2025-10-23,14.05,14.5,14.05,14.2,13101800
NVL,2025-10-24,14.25,14.5,14.1,14.3,19337200
NVL,2025-10-27,14.4,14.5,13.8,13.8,14413700
NVL,2025-10-28,13.8,13.8,12.9,13.4,29814200
NVL,2025-10-29,13.4,13.9,13.25,13.55,8466700
NVL,2025-10-30,13.6,14.1,13.6,13.8,6206100
NVL,2025-10-31,13.8,13.8,13.6,13.65,5331300
NVL,2025-11-03,13.4,13.65,12.9,12.9,12425600
NVL,2025-11-04,12.9,13.45,12.5,13.4,17601500
NVL,2025-11-05,13.6,13.85,13.45,13.75,11134600
NVL,2025-11-06,13.75,13.75,13.5,13.5,4045700
NVL,2025-11-07,13.5,13.6,12.95,13.0,8439500
NVL,2025-11-10,12.9,13.0,12.3,12.3,12955700
NVL,2025-11-11,12.4,12.5,12.05,12.2,10978400
NVL,2025-11-12,12.3,13.05,12.25,13.05,6254200
NVL,2025-11-13,13.3,13.45,13.2,13.25,8975000
NVL,2025-11-14,13.35,14.15,13.35,14.15,22445400
NVL,2025-11-17,14.8,15.1,14.6,15.1,18483300
NVL,2025-11-18,15.8,16.1,15.3,15.85,36693400
NVL,2025-11-19,15.65,16.15,15.4,15.65,20151200
NVL,2025-11-20,15.6,15.7,14.95,15.1,13183000
NVL,2025-11-21,14.9,15.55,14.9,15.4,11324600
NVL,2025-11-24,15.65,16.1,15.5,15.8,19922400
NVL,2025-11-25,15.8,15.9,15.2,15.3,11227900
NVL,2025-11-26,15.35,15.7,15.3,15.5,10760000
NVL,2025-11-27,15.55,15.55,14.8,14.85,16187400
