ticker,date,open,high,low,close,volume
SHB,2025-10-09,17.35,18.45,17.3,17.9,189712900
SHB,2025-10-10,17.95,18.15,17.75,18.0,77920000
SHB,2025-10-13,17.7,18.2,17.65,18.1,118930300
SHB,2025-10-14,18.1,18.25,17.7,18.0,124387300
SHB,2025-10-15,17.95,18.45,17.9,18.2,135329400
SHB,2025-10-16,18.35,18.4,17.95,18.15,89585600
SHB,2025-10-17,18.15,18.25,17.75,18.1,115962400
SHB,2025-10-20,17.9,18.0,16.85,16.85,157036500
SHB,2025-10-21,16.85,17.25,16.1,17.0,144384000
SHB,2025-10-22,17.0,17.0,16.4,16.65,81491700
SHB,2025-10-23,16.65,17.0,16.6,16.7,80037000
SHB,2025-10-24,16.7,16.7,16.1,16.3,83830400
SHB,2025-10-27,16.4,16.45,16.0,16.15,95564800
SHB,2025-10-28,16.2,16.35,15.9,16.35,67544000
SHB,2025-10-29,16.3,17.05,16.25,16.8,117844300
SHB,2025-10-30,16.8,16.95,16.55,16.9,71843700
SHB,2025-10-31,16.85,16.85,16.45,16.45,47405000
SHB,2025-11-03,16.35,16.4,15.95,15.95,71719600
SHB,2025-11-04,15.9,16.4,15.35,16.3,96499600
SHB,2025-11-05,16.3,16.35,16.1,16.2,39403600
SHB,2025-11-06,16.05,16.25,15.85,15.85,54472700
SHB,2025-11-07,15.75,15.85,15.2,15.3,84767600
SHB,2025-11-10,15.25,15.6,15.1,15.3,48856900
SHB,2025-11-11,15.4,15.8,15.15,15.8,67711900
SHB,2025-11-12,15.8,16.3,15.55,16.3,83505400
SHB,2025-11-13,16.3,16.35,16.05,16.35,56710100
SHB,2025-11-14,16.2,16.35,16.1,16.35,62828700
SHB,2025-11-17,16.25,16.6,16.1,16.6,65266800
SHB,2025-11-18,16.5,16.6,16.3,16.5,44005400
SHB,2025-11-19,16.45,16.6,16.35,16.45,59460500
SHB,2025-11-20,16.4,16.65,16.25,16.65,83370900
SHB,2025-11-21,16.5,16.65,16.35,16.65,58408100
SHB,2025-11-24,16.55,16.7,16.45,16.55,50474000
SHB,2025-11-25,16.55,16.7,16.35,16.4,77663400
SHB,2025-11-26,16.35,16.75,16.35,16.7,87211400
SHB,2025-11-27,16.65,16.9,16.6,16.75,49403500
