ticker,date,open,high,low,close,volume
SHS,2025-10-09,26.6,27.2,26.5,26.7,16476200
SHS,2025-10-10,26.8,27.1,26.3,26.5,21471300
SHS,2025-10-13,26.5,26.8,25.7,26.8,27743300
SHS,2025-10-14,27.1,28.1,26.8,26.9,46769300
SHS,2025-10-15,26.9,27.4,26.7,27.0,22879400
SHS,2025-10-16,27.1,27.8,27.0,27.3,25918800
SHS,2025-10-17,27.3,28.2,27.1,27.4,31139000
SHS,2025-10-20,27.6,28.0,24.7,24.7,49358400
SHS,2025-10-21,24.7,25.6,23.6,24.8,34701100
SHS,2025-10-22,25.0,25.4,23.6,24.9,27540900
SHS,2025-10-23,25.0,25.2,24.0,24.0,17022500
SHS,2025-10-24,24.0,24.0,22.7,23.1,34391300
SHS,2025-10-27,23.2,24.2,22.8,23.0,25077500
SHS,2025-10-28,23.0,23.9,22.8,23.9,16347100
SHS,2025-10-29,24.0,24.5,23.8,24.0,12267800
SHS,2025-10-30,23.9,24.1,22.8,23.1,20367600
SHS,2025-10-31,23.1,23.4,22.9,23.0,15495600
SHS,2025-11-03,23.0,23.2,20.8,20.8,42867600
SHS,2025-11-04,20.7,22.8,20.2,22.8,35928800
SHS,2025-11-05,23.0,23.2,22.5,22.6,19017700
SHS,2025-11-06,22.5,23.1,22.0,22.6,19963500
SHS,2025-11-07,22.5,22.8,21.3,21.4,22396400
SHS,2025-11-10,21.4,22.3,19.7,21.4,24707100
SHS,2025-11-11,21.6,22.4,21.4,22.2,14402700
SHS,2025-11-12,22.3,22.9,22.3,22.7,15153400
SHS,2025-11-13,22.7,23.0,22.0,22.4,12635600
SHS,2025-11-14,22.3,22.9,22.1,22.6,11981300
SHS,2025-11-17,22.6,23.1,22.4,22.9,14237600
SHS,2025-11-18,23.0,23.5,22.8,22.9,13873200
SHS,2025-11-19,22.9,23.0,21.9,22.2,16579500
SHS,2025-11-20,22.0,22.4,21.7,22.0,10692400
SHS,2025-11-21,21.8,22.0,21.4,21.6,12814100
SHS,2025-11-24,21.6,22.1,21.5,21.5,7279100
SHS,2025-11-25,19.6,21.6,19.6,20.6,19483700
SHS,2025-11-26,21.0,22.1,20.7,21.7,17340500
SHS,2025-11-27,21.8,22.0,21.4,21.4,9490400
