ticker,date,open,high,low,close,volume
SSI,2025-10-09,41.25,41.3,40.55,40.65,33451500
SSI,2025-10-10,40.9,41.5,40.6,40.7,29024800
SSI,2025-10-13,40.15,41.7,40.0,41.35,42263800
SSI,2025-10-14,42.35,43.3,41.0,41.0,65269200
SSI,2025-10-15,41.1,41.75,40.85,41.45,30114300
SSI,2025-10-16,41.7,42.25,41.15,41.35,29760800
SSI,2025-10-17,41.5,41.95,40.7,40.8,38969300
SSI,2025-10-20,40.75,41.8,37.95,37.95,70585900
SSI,2025-10-21,37.95,39.5,36.95,38.6,81186900
SSI,2025-10-22,38.8,38.8,37.2,38.45,32795900
SSI,2025-10-23,38.5,38.65,37.5,37.5,24279700
SSI,2025-10-24,37.2,37.4,35.7,36.0,82075200
SSI,2025-10-27,36.4,36.55,34.55,34.8,71137600
SSI,2025-10-28,34.7,36.0,34.7,35.85,34464100
SSI,2025-10-29,35.95,36.2,35.6,35.6,22897000
SSI,2025-10-30,35.65,35.85,34.8,34.85,28037300
SSI,2025-10-31,34.75,35.25,34.3,34.3,26772900
SSI,2025-11-03,34.3,34.55,32.5,32.5,50015100
SSI,2025-11-04,32.4,34.75,32.1,34.75,57837700
SSI,2025-11-05,34.8,35.5,34.75,34.9,30063400
SSI,2025-11-06,35.0,35.05,34.05,34.3,23177900
SSI,2025-11-07,34.15,34.2,32.85,32.95,36679200
SSI,2025-11-10,32.95,34.85,32.75,33.6,33031200
SSI,2025-11-11,34.1,34.95,33.7,34.85,30203900
SSI,2025-11-12,35.1,35.85,34.8,35.5,34965500
SSI,2025-11-13,35.55,35.55,34.8,34.95,21313000
SSI,2025-11-14,34.8,35.35,34.6,34.95,19630000
SSI,2025-11-17,35.0,35.45,34.85,35.4,15953500
SSI,2025-11-18,35.45,35.95,35.2,35.55,25611500
SSI,2025-11-19,35.4,35.45,34.35,34.65,23268600
SSI,2025-11-20,34.65,34.95,34.15,34.8,21063700
SSI,2025-11-21,34.3,34.55,34.05,34.3,18445600
SSI,2025-11-24,34.6,34.9,34.3,34.4,11833000
SSI,2025-11-25,34.15,34.3,32.6,32.85,53026500
SSI,2025-11-26,33.0,34.05,32.95,34.0,36038100
SSI,2025-11-27,33.85,34.15,33.15,33.2,20104000
