ticker,date,open,high,low,close,volume
STB,2025-10-09,60.3,61.0,59.7,60.0,9593000
STB,2025-10-10,60.2,60.4,59.2,60.4,8202400
STB,2025-10-13,59.9,61.0,59.3,61.0,7743200
STB,2025-10-14,61.1,61.3,60.1,60.6,7039200
STB,2025-10-15,60.2,60.8,60.0,60.0,3805800
STB,2025-10-16,60.1,60.4,58.5,59.5,10235300
STB,2025-10-17,59.0,59.3,58.1,59.0,6674400
STB,2025-10-20,58.6,58.8,54.9,54.9,13295700
STB,2025-10-21,55.5,55.6,53.0,55.6,11955700
STB,2025-10-22,55.7,55.7,53.5,55.4,5680600
STB,2025-10-23,55.4,55.9,54.7,55.6,5822500
STB,2025-10-24,55.2,55.5,53.6,54.5,7394000
STB,2025-10-27,54.5,55.3,53.5,54.6,4852600
STB,2025-10-28,54.4,56.8,53.6,56.8,6598200
STB,2025-10-29,56.8,58.1,56.5,57.2,5986100
STB,2025-10-30,57.2,57.3,56.4,56.9,3281900
STB,2025-10-31,56.7,57.2,55.5,55.5,3469600
STB,2025-11-03,55.4,55.8,52.3,52.3,6619800
STB,2025-11-04,52.0,54.8,51.7,53.9,11567100
STB,2025-11-05,53.5,54.5,53.2,53.5,4422600
STB,2025-11-06,53.5,53.8,51.9,51.9,7748900
STB,2025-11-07,51.7,51.9,48.35,48.35,20318100
STB,2025-11-10,48.5,49.4,48.35,48.5,8290900
STB,2025-11-11,48.7,49.65,47.45,49.65,8621000
STB,2025-11-12,49.7,50.6,48.85,50.6,8640000
STB,2025-11-13,50.5,50.5,48.55,48.7,17041000
STB,2025-11-14,48.6,48.65,47.4,48.05,14304600
STB,2025-11-17,48.1,49.05,47.9,48.9,10169700
STB,2025-11-18,48.9,49.65,48.5,49.5,8541600
STB,2025-11-19,49.45,50.3,49.05,49.5,9515600
STB,2025-11-20,49.5,49.8,49.1,49.5,5896100
STB,2025-11-21,49.05,51.3,48.9,51.3,10132900
STB,2025-11-24,51.5,51.5,50.0,50.0,6116900
STB,2025-11-25,50.0,51.0,49.75,50.0,5219100
STB,2025-11-26,50.1,51.2,49.95,49.95,7616300
STB,2025-11-27,49.8,50.6,49.3,49.3,3672600
