ticker,date,open,high,low,close,volume
TCB,2025-10-09,38.6,39.1,38.55,38.95,18777780
TCB,2025-10-10,39.1,39.9,39.0,39.35,20325968
TCB,2025-10-13,39.3,41.5,39.25,41.3,43313300
TCB,2025-10-14,41.75,42.0,40.55,40.8,25929200
TCB,2025-10-15,41.0,41.35,40.55,40.8,13321200
TCB,2025-10-16,41.2,41.25,40.8,41.25,20239100
TCB,2025-10-17,41.65,41.65,40.45,40.65,18690000
TCB,2025-10-20,40.65,40.65,37.85,37.85,30048800
TCB,2025-10-21,38.1,38.45,36.5,37.65,28577600
TCB,2025-10-22,38.1,38.15,36.4,38.0,15701400
TCB,2025-10-23,38.05,38.05,36.8,37.25,15619200
TCB,2025-10-24,37.0,37.0,36.05,36.1,23396700
TCB,2025-10-27,36.3,36.5,35.05,35.05,15906600
TCB,2025-10-28,35.05,36.4,34.0,36.0,26134800
TCB,2025-10-29,35.9,36.9,35.65,36.4,13116300
TCB,2025-10-30,36.5,36.6,35.6,35.7,10507900
TCB,2025-10-31,35.7,36.2,35.1,35.1,12256900
TCB,2025-11-03,35.1,35.5,33.6,33.6,16737200
TCB,2025-11-04,33.6,35.2,33.45,35.0,16062100
TCB,2025-11-05,34.9,34.9,34.05,34.1,11242500
TCB,2025-11-06,34.15,34.5,33.5,33.6,13684100
TCB,2025-11-07,33.6,33.95,33.0,33.0,16083600
TCB,2025-11-10,33.3,33.6,32.95,33.4,8793300
TCB,2025-11-11,33.45,34.0,33.35,33.65,11239700
TCB,2025-11-12,33.7,35.0,33.6,35.0,12025800
TCB,2025-11-13,34.65,35.5,34.6,35.1,12530800
TCB,2025-11-14,34.8,35.35,34.7,35.1,5603100
TCB,2025-11-17,35.1,35.25,34.7,35.15,9499500
TCB,2025-11-18,35.2,35.35,34.95,35.35,8594800
TCB,2025-11-19,35.4,35.4,34.75,34.8,6830700
TCB,2025-11-20,34.85,35.0,34.6,34.6,6941100
TCB,2025-11-21,34.5,34.5,33.5,34.25,8560200
TCB,2025-11-24,34.3,34.4,33.9,33.95,8275900
TCB,2025-11-25,34.0,34.0,33.45,33.45,9145600
TCB,2025-11-26,33.6,33.9,33.5,33.85,7859900
TCB,2025-11-27,33.95,34.2,33.7,33.75,8857300
