ticker,date,open,high,low,close,volume
VCB,2025-10-09,64.5,65.2,63.8,63.8,5740726
VCB,2025-10-10,63.9,64.4,63.6,64.2,4992243
VCB,2025-10-13,63.4,63.8,62.8,63.1,8002194
VCB,2025-10-14,63.5,64.0,62.9,63.1,7019006
VCB,2025-10-15,63.1,63.4,62.5,62.5,5224622
VCB,2025-10-16,62.7,63.0,62.5,62.9,4634400
VCB,2025-10-17,62.9,62.9,61.8,61.9,5405900
VCB,2025-10-20,61.8,62.2,58.6,59.4,12115600
VCB,2025-10-21,59.7,60.7,59.3,59.3,8416700
VCB,2025-10-22,60.1,60.2,58.5,59.6,4664800
VCB,2025-10-23,58.9,60.3,58.9,59.8,4227100
VCB,2025-10-24,59.8,59.9,58.8,59.5,4372700
VCB,2025-10-27,60.0,60.0,59.2,59.2,2640000
VCB,2025-10-28,59.2,60.2,59.1,60.0,2789700
VCB,2025-10-29,60.0,61.0,59.8,60.7,3716000
VCB,2025-10-30,61.0,61.2,60.3,60.6,1946600
VCB,2025-10-31,60.8,60.8,59.6,59.6,2117800
VCB,2025-11-03,60.0,60.3,59.3,59.3,2800100
VCB,2025-11-04,59.2,60.4,59.1,60.1,2952400
VCB,2025-11-05,60.0,61.1,59.9,60.8,4601700
VCB,2025-11-06,60.9,61.3,60.2,60.3,2821200
VCB,2025-11-07,60.0,60.0,59.0,59.3,3586300
VCB,2025-11-10,59.4,59.7,58.8,58.8,2316500
VCB,2025-11-11,59.1,59.6,58.8,58.9,2540900
VCB,2025-11-12,59.1,59.7,59.0,59.5,2012700
VCB,2025-11-13,59.5,60.0,59.2,59.8,2113500
VCB,2025-11-14,59.8,60.4,59.4,60.0,2069600
VCB,2025-11-17,60.0,60.4,59.9,60.2,1585600
VCB,2025-11-18,60.4,60.4,59.8,59.9,2158800
VCB,2025-11-19,59.9,60.1,59.3,59.4,2896200
VCB,2025-11-20,59.6,59.7,59.2,59.4,2259400
VCB,2025-11-21,59.1,59.2,58.7,59.0,3452400
VCB,2025-11-24,59.0,59.3,58.7,58.8,2025600
VCB,2025-11-25,58.9,59.0,58.2,58.2,2755000
VCB,2025-11-26,58.5,58.6,57.8,58.1,5371200
VCB,2025-11-27,58.2,58.5,57.9,57.9,3113500
