ticker,date,open,high,low,close,volume
VCI,2025-10-09,43.9,44.15,42.8,43.0,7848000
VCI,2025-10-10,43.0,44.9,43.0,43.55,13129800
VCI,2025-10-13,43.15,44.3,42.9,44.0,7991300
VCI,2025-10-14,44.5,45.15,42.5,43.0,16096800
VCI,2025-10-15,43.3,43.5,42.55,42.75,7898600
VCI,2025-10-16,43.1,43.75,42.55,42.65,8962500
VCI,2025-10-17,42.9,43.6,41.9,41.95,12190700
VCI,2025-10-20,41.8,42.5,39.05,39.05,13008000
VCI,2025-10-21,38.95,39.5,37.05,37.7,16461400
VCI,2025-10-22,38.3,38.35,36.5,37.5,10763900
VCI,2025-10-23,37.9,38.15,36.8,36.8,6769300
VCI,2025-10-24,36.9,37.75,36.5,37.4,15326100
VCI,2025-10-27,38.1,38.4,36.95,37.4,9062700
VCI,2025-10-28,37.65,38.2,37.25,38.2,7912900
VCI,2025-10-29,38.4,38.45,37.7,37.85,6252800
VCI,2025-10-30,37.95,37.95,37.0,37.1,6626500
VCI,2025-10-31,37.1,37.75,37.0,37.1,10403100
VCI,2025-11-03,37.25,37.55,36.0,36.0,8664200
VCI,2025-11-04,35.7,38.5,35.7,38.5,17168700
VCI,2025-11-05,38.45,38.5,37.3,37.35,8185000
VCI,2025-11-06,37.5,37.65,36.75,36.8,6454000
VCI,2025-11-07,36.8,37.05,35.6,36.0,7826000
VCI,2025-11-10,36.0,36.95,35.55,35.8,7684400
VCI,2025-11-11,36.0,36.8,35.95,36.7,5061300
VCI,2025-11-12,36.8,37.15,36.35,36.6,14004400
VCI,2025-11-13,36.75,36.9,36.05,36.15,12490100
VCI,2025-11-14,36.1,36.45,35.6,35.75,13911600
VCI,2025-11-17,36.0,36.45,35.7,36.2,8682100
VCI,2025-11-18,36.4,36.75,36.15,36.4,11135300
VCI,2025-11-19,36.4,36.45,35.65,35.8,9146500
VCI,2025-11-20,35.8,35.95,34.85,35.05,16611000
VCI,2025-11-21,35.0,35.0,34.3,34.35,11863300
VCI,2025-11-24,34.35,34.85,34.1,34.2,7194100
VCI,2025-11-25,34.15,34.4,33.3,33.3,16555400
VCI,2025-11-26,33.6,34.8,33.5,34.4,10554600
VCI,2025-11-27,34.5,34.6,33.7,33.85,7496900
