ticker,date,open,high,low,close,volume
VHM,2025-10-09,108.3,115.0,108.1,115.0,12892200
VHM,2025-10-10,118.0,123.0,116.0,123.0,9026200
VHM,2025-10-13,123.0,126.0,122.1,124.2,12312200
VHM,2025-10-14,124.5,131.5,124.5,127.0,13660200
VHM,2025-10-15,127.5,127.6,122.6,124.0,7059300
VHM,2025-10-16,123.8,123.8,120.4,122.0,9475900
VHM,2025-10-17,122.0,122.0,114.6,116.0,12213500
VHM,2025-10-20,114.0,115.0,108.0,108.0,11634800
VHM,2025-10-21,109.0,115.0,106.9,110.9,8238300
VHM,2025-10-22,112.0,113.0,104.0,113.0,7701600
VHM,2025-10-23,113.0,117.1,111.2,115.0,6383900
VHM,2025-10-24,114.6,116.8,112.5,114.5,5136500
VHM,2025-10-27,115.0,116.0,106.5,106.5,7164300
VHM,2025-10-28,104.2,107.0,99.1,107.0,13561200
VHM,2025-10-29,107.1,107.1,102.7,103.8,3681700
VHM,2025-10-30,103.8,105.0,100.8,104.0,3691300
VHM,2025-10-31,103.8,103.8,99.2,99.2,6461300
VHM,2025-11-03,99.6,101.4,97.8,98.5,5083100
VHM,2025-11-04,98.4,102.0,98.4,100.2,4564100
VHM,2025-11-05,101.2,101.7,99.5,99.6,3054600
VHM,2025-11-06,99.6,101.5,97.6,98.9,4590300
VHM,2025-11-07,97.5,98.0,92.0,92.0,9791200
VHM,2025-11-10,90.2,92.0,86.9,86.9,6349200
VHM,2025-11-11,86.9,91.4,86.9,90.0,8465600
VHM,2025-11-12,90.1,95.0,90.1,94.0,4720500
VHM,2025-11-13,94.5,94.9,91.6,93.3,4292000
VHM,2025-11-14,93.0,93.9,90.5,93.9,3280400
VHM,2025-11-17,94.0,96.3,94.0,95.0,4096000
VHM,2025-11-18,95.7,97.0,94.0,97.0,3666000
VHM,2025-11-19,96.9,96.9,95.3,96.9,3741200
VHM,2025-11-20,96.7,98.4,96.0,97.8,3350300
VHM,2025-11-21,96.1,99.3,96.1,99.3,3947400
VHM,2025-11-24,99.3,104.0,98.7,102.7,6062300
VHM,2025-11-25,103.4,104.0,101.2,102.6,4457800
VHM,2025-11-26,102.8,102.9,100.1,102.1,4375200
VHM,2025-11-27,102.5,103.6,101.3,102.5,3140200
