ticker,date,open,high,low,close,volume
VIC,2025-10-09,177.0,181.6,176.3,179.5,4131300
VIC,2025-10-10,178.5,192.0,178.5,192.0,4294700
VIC,2025-10-13,193.9,205.4,193.9,205.4,7178300
VIC,2025-10-14,215.9,219.7,206.9,211.9,8065500
VIC,2025-10-15,214.1,214.9,206.0,209.5,3752400
VIC,2025-10-16,210.0,217.6,205.9,213.1,5217400
VIC,2025-10-17,214.1,214.6,199.9,204.0,5615100
VIC,2025-10-20,200.0,204.5,190.0,194.9,5671000
VIC,2025-10-21,202.0,204.9,193.7,203.4,3700400
VIC,2025-10-22,204.0,204.0,193.0,203.0,4196300
VIC,2025-10-23,202.9,215.5,200.0,215.0,4761200
VIC,2025-10-24,215.4,222.9,215.1,219.0,3412900
VIC,2025-10-27,222.9,226.5,214.0,214.0,3889100
VIC,2025-10-28,213.5,220.6,199.1,220.1,5205500
VIC,2025-10-29,219.0,219.0,211.9,212.0,2739200
VIC,2025-10-30,210.5,211.8,201.5,204.1,3772500
VIC,2025-10-31,202.0,203.7,191.0,191.0,7461600
VIC,2025-11-03,191.1,199.5,186.0,195.4,3627000
VIC,2025-11-04,198.0,204.9,196.1,201.0,2514100
VIC,2025-11-05,201.0,208.0,198.5,206.5,2136600
VIC,2025-11-06,206.0,211.5,203.8,207.8,4605200
VIC,2025-11-07,205.0,207.9,199.7,199.7,3701700
VIC,2025-11-10,198.8,204.0,193.3,199.0,2785800
VIC,2025-11-11,199.0,203.9,198.7,201.0,4226300
VIC,2025-11-12,199.6,211.2,199.6,211.2,3885100
VIC,2025-11-13,210.0,215.8,209.2,211.2,3061500
VIC,2025-11-14,210.8,211.3,208.1,211.0,2083100
VIC,2025-11-17,212.0,221.1,212.0,217.0,3889800
VIC,2025-11-18,217.0,221.0,215.5,220.0,3027200
VIC,2025-11-19,220.0,225.0,219.0,220.5,2328900
VIC,2025-11-20,220.9,230.0,220.0,228.0,2828600
VIC,2025-11-21,226.2,231.1,222.0,229.7,2778400
VIC,2025-11-24,229.3,243.9,229.3,239.5,3203000
VIC,2025-11-25,243.0,248.8,240.0,243.0,3425500
VIC,2025-11-26,247.0,247.0,237.5,245.0,4196800
VIC,2025-11-27,246.2,253.1,245.4,248.0,2348000
