ticker,date,open,high,low,close,volume
VND,2025-10-09,24.0,24.0,23.35,23.5,26791500
VND,2025-10-10,23.75,24.25,23.5,23.65,24181500
VND,2025-10-13,23.45,23.9,23.1,23.7,28622300
VND,2025-10-14,24.25,24.55,23.3,23.35,43197000
VND,2025-10-15,23.5,23.8,23.3,23.5,19137300
VND,2025-10-16,23.7,23.9,23.35,23.8,27751600
VND,2025-10-17,24.05,24.5,23.5,23.55,39797600
VND,2025-10-20,23.5,23.8,21.95,21.95,33639500
VND,2025-10-21,21.8,22.4,20.45,21.05,52873100
VND,2025-10-22,21.4,21.4,20.0,20.95,32394700
VND,2025-10-23,21.1,21.3,20.5,20.5,18295700
VND,2025-10-24,20.3,20.65,19.85,20.2,30195100
VND,2025-10-27,20.6,21.0,19.95,20.1,19760300
VND,2025-10-28,20.15,20.8,20.0,20.75,17415200
VND,2025-10-29,20.85,20.9,20.5,20.5,14111600
VND,2025-10-30,20.7,20.7,20.0,20.0,17970700
VND,2025-10-31,20.0,20.35,19.9,20.05,15033600
VND,2025-11-03,20.05,20.2,18.8,18.8,29549500
VND,2025-11-04,18.8,20.1,18.8,20.1,26953700
VND,2025-11-05,20.15,20.35,19.95,19.95,10954000
VND,2025-11-06,20.05,20.05,19.5,19.6,11663500
VND,2025-11-07,19.55,19.75,18.85,18.9,17842900
VND,2025-11-10,18.9,19.7,18.75,19.05,16717900
VND,2025-11-11,19.4,19.5,19.05,19.4,9953400
VND,2025-11-12,19.6,20.1,19.4,19.9,19016600
VND,2025-11-13,19.95,19.95,19.5,19.6,9059900
VND,2025-11-14,19.55,19.95,19.4,19.65,11523700
VND,2025-11-17,19.75,19.95,19.6,19.9,13473800
VND,2025-11-18,20.05,20.5,20.0,20.15,22820500
VND,2025-11-19,20.15,20.2,19.4,19.4,24710400
VND,2025-11-20,19.55,19.6,19.3,19.35,8631000
VND,2025-11-21,19.3,19.3,18.95,19.1,11627300
VND,2025-11-24,19.25,19.45,18.8,18.8,10557300
VND,2025-11-25,19.0,19.1,18.15,18.2,21919800
VND,2025-11-26,18.4,19.2,18.3,18.8,16306700
VND,2025-11-27,18.9,19.15,18.75,18.75,11455300
