ticker,date,open,high,low,close,volume
VOS,2025-10-09,13.5,13.6,13.3,13.5,880900
VOS,2025-10-10,13.5,13.75,13.4,13.45,1367000
VOS,2025-10-13,13.4,13.65,13.3,13.6,1033400
VOS,2025-10-14,13.65,13.7,13.3,13.3,999400
VOS,2025-10-15,13.45,13.45,12.95,13.0,1418600
VOS,2025-10-16,13.0,13.05,12.8,12.95,1110300
VOS,2025-10-17,12.95,13.15,12.7,12.85,933600
VOS,2025-10-20,12.85,12.95,12.0,12.05,1253800
VOS,2025-10-21,12.0,12.85,12.0,12.55,1002500
VOS,2025-10-22,12.8,12.8,12.35,12.6,470500
VOS,2025-10-23,12.6,13.2,12.6,12.85,1052400
VOS,2025-10-24,12.85,12.85,12.4,12.7,554900
VOS,2025-10-27,12.7,12.9,12.6,12.6,490300
VOS,2025-10-28,12.65,12.85,12.4,12.85,751500
VOS,2025-10-29,12.9,13.4,12.8,13.2,2133500
VOS,2025-10-30,13.35,13.35,13.15,13.2,680400
VOS,2025-10-31,13.2,13.4,13.1,13.1,908200
VOS,2025-11-03,13.1,13.55,12.9,13.0,1479800
VOS,2025-11-04,13.0,13.2,12.4,13.2,1420300
VOS,2025-11-05,13.05,13.2,12.95,13.0,405600
VOS,2025-11-06,13.0,13.05,12.6,12.6,483200
VOS,2025-11-07,12.7,12.95,12.45,12.5,912700
VOS,2025-11-10,12.5,12.7,12.4,12.5,414900
VOS,2025-11-11,12.5,12.65,12.35,12.5,329000
VOS,2025-11-12,12.5,12.7,12.5,12.65,659500
VOS,2025-11-13,12.7,13.2,12.6,12.8,1239200
VOS,2025-11-14,12.75,12.9,12.75,12.9,388700
VOS,2025-11-17,12.9,13.0,12.8,13.0,642800
VOS,2025-11-18,13.15,13.45,13.15,13.2,2030600
VOS,2025-11-19,13.2,13.3,12.9,13.0,563500
VOS,2025-11-20,13.0,13.1,12.9,12.95,563500
VOS,2025-11-21,12.95,13.0,12.8,12.9,557900
VOS,2025-11-24,13.0,13.0,12.8,12.85,495000
VOS,2025-11-25,12.85,13.15,12.75,12.9,1118700
VOS,2025-11-26,12.9,13.15,12.9,13.0,640300
VOS,2025-11-27,13.05,13.15,12.85,12.85,582400
