ticker,date,open,high,low,close,volume
VPB,2025-10-09,31.3,32.1,31.1,32.1,39130900
VPB,2025-10-10,32.3,32.35,31.7,32.1,34643000
VPB,2025-10-13,31.6,31.85,31.25,31.7,35739000
VPB,2025-10-14,31.9,32.85,31.9,32.5,57074600
VPB,2025-10-15,32.75,34.65,32.75,33.7,92652500
VPB,2025-10-16,33.8,33.9,33.2,33.2,30745500
VPB,2025-10-17,33.2,33.35,31.9,31.95,50287200
VPB,2025-10-20,31.55,31.8,29.75,29.75,52634700
VPB,2025-10-21,29.5,30.65,28.35,30.35,54104300
VPB,2025-10-22,30.45,30.45,29.4,30.45,26715100
VPB,2025-10-23,30.5,30.8,30.0,30.0,14351400
VPB,2025-10-24,29.9,29.9,29.0,29.2,23926000
VPB,2025-10-27,29.5,29.8,28.3,28.3,23908400
VPB,2025-10-28,28.2,29.45,28.05,29.45,26721300
VPB,2025-10-29,29.7,30.3,29.45,29.85,25082900
VPB,2025-10-30,30.25,30.25,28.95,29.2,19085200
VPB,2025-10-31,29.2,29.35,28.65,28.7,15506600
VPB,2025-11-03,29.05,29.05,27.6,27.6,23165800
VPB,2025-11-04,27.55,29.5,27.25,29.5,31974700
VPB,2025-11-05,29.0,29.45,28.8,29.25,13066000
VPB,2025-11-06,29.2,29.2,28.4,28.5,13235900
VPB,2025-11-07,28.45,28.5,27.3,27.5,23937800
VPB,2025-11-10,27.4,28.2,27.4,27.5,16818300
VPB,2025-11-11,27.75,27.8,27.4,27.5,14818100
VPB,2025-11-12,27.65,28.3,27.5,28.0,16274200
VPB,2025-11-13,28.3,28.35,27.75,27.75,12863200
VPB,2025-11-14,27.6,28.2,27.6,27.8,11783400
VPB,2025-11-17,27.95,28.4,27.85,28.1,12074200
VPB,2025-11-18,28.3,28.8,28.15,28.8,18859400
VPB,2025-11-19,28.7,28.75,28.1,28.1,16825600
VPB,2025-11-20,28.25,28.75,28.0,28.55,19548400
VPB,2025-11-21,28.35,28.7,28.0,28.55,18164600
VPB,2025-11-24,28.55,29.2,28.4,29.0,18118500
VPB,2025-11-25,28.95,29.0,28.1,28.2,14577900
VPB,2025-11-26,28.2,29.1,28.2,29.0,18812900
VPB,2025-11-27,29.05,29.5,28.8,29.1,14878100
