ticker,date,open,high,low,close,volume
VRE,2025-10-09,36.5,38.8,36.1,38.0,25692700
VRE,2025-10-10,38.0,40.4,37.5,40.35,20025400
VRE,2025-10-13,40.4,43.0,40.35,43.0,27893300
VRE,2025-10-14,44.1,45.2,42.7,42.75,32089100
VRE,2025-10-15,42.65,43.05,41.05,41.9,19684200
VRE,2025-10-16,42.2,43.5,41.0,43.4,17983400
VRE,2025-10-17,43.5,43.55,40.8,41.0,20871000
VRE,2025-10-20,39.5,41.3,38.15,38.15,18979900
VRE,2025-10-21,38.05,39.45,36.55,38.8,17634200
VRE,2025-10-22,39.4,39.4,36.35,39.0,14611500
VRE,2025-10-23,38.9,39.95,37.6,39.4,10632500
VRE,2025-10-24,39.2,39.8,38.1,38.8,9011700
VRE,2025-10-27,39.0,39.75,36.1,36.1,12570400
VRE,2025-10-28,34.75,37.0,33.6,36.8,28526100
VRE,2025-10-29,37.1,37.1,35.05,35.95,8951300
VRE,2025-10-30,35.95,35.95,34.1,34.6,9832700
VRE,2025-10-31,34.1,34.3,32.9,33.3,15108600
VRE,2025-11-03,33.25,33.8,31.35,31.35,16286200
VRE,2025-11-04,31.35,33.5,31.35,33.5,11076100
VRE,2025-11-05,33.2,33.3,32.2,32.5,8660900
VRE,2025-11-06,32.0,32.55,31.8,32.0,8062400
VRE,2025-11-07,31.8,31.85,30.2,31.35,14429600
VRE,2025-11-10,31.3,31.3,29.8,29.8,8905300
VRE,2025-11-11,29.8,31.45,29.75,31.05,10444200
VRE,2025-11-12,31.25,32.85,31.1,32.8,8248200
VRE,2025-11-13,32.7,32.7,31.8,31.95,5900500
VRE,2025-11-14,31.65,32.1,31.55,32.1,5608700
VRE,2025-11-17,32.25,33.05,32.05,32.2,7528900
VRE,2025-11-18,32.2,32.5,32.05,32.35,5069300
VRE,2025-11-19,32.3,32.3,31.55,31.6,6884500
VRE,2025-11-20,31.75,32.45,31.7,32.0,5225000
VRE,2025-11-21,31.8,32.3,31.5,32.2,5864200
VRE,2025-11-24,32.3,34.45,32.25,34.45,26444000
VRE,2025-11-25,35.4,35.4,33.3,33.4,12123000
VRE,2025-11-26,33.5,34.4,33.35,33.85,7893300
VRE,2025-11-27,34.1,34.9,33.65,33.65,7224500
