ticker,date,open,high,low,close,volume
VSC,2025-10-09,26.65,27.7,26.65,26.85,10767900
VSC,2025-10-10,27.3,28.2,27.15,27.3,7375000
VSC,2025-10-13,26.8,28.2,26.8,28.05,9840900
VSC,2025-10-14,28.25,28.95,27.55,27.8,13840200
VSC,2025-10-15,28.2,29.4,28.15,28.25,13215400
VSC,2025-10-16,28.4,28.65,27.5,27.5,10097500
VSC,2025-10-17,27.5,27.9,27.0,27.0,10235600
VSC,2025-10-20,27.0,27.2,25.15,25.15,12337500
VSC,2025-10-21,24.5,25.15,23.4,23.8,11896000
VSC,2025-10-22,24.2,24.3,23.0,24.0,6230400
VSC,2025-10-23,24.45,25.65,24.0,25.65,10632100
VSC,2025-10-24,25.8,26.0,24.55,25.0,11084900
VSC,2025-10-27,25.5,25.9,23.55,23.55,10928800
VSC,2025-10-28,23.4,24.9,22.6,24.9,12670100
VSC,2025-10-29,25.1,26.1,24.75,25.0,12679300
VSC,2025-10-30,25.3,25.3,24.1,24.55,7796200
VSC,2025-10-31,24.55,24.6,23.15,23.2,11961000
VSC,2025-11-03,23.3,23.4,21.6,21.6,14102300
VSC,2025-11-04,21.45,22.95,20.3,22.95,17069100
VSC,2025-11-05,22.95,22.95,21.6,21.6,7193800
VSC,2025-11-06,21.95,22.4,21.55,22.0,8003300
VSC,2025-11-07,22.2,22.45,20.8,20.8,10638500
VSC,2025-11-10,20.3,21.25,20.05,20.55,10535300
VSC,2025-11-11,20.95,21.0,19.95,20.15,8809000
VSC,2025-11-12,20.7,21.55,20.5,21.55,13336400
VSC,2025-11-13,22.25,22.75,21.7,22.0,14528500
VSC,2025-11-14,21.9,22.65,21.8,22.25,10927200
VSC,2025-11-17,22.55,23.0,22.1,22.75,8599600
VSC,2025-11-18,22.75,23.65,22.7,23.05,14232800
VSC,2025-11-19,23.2,23.3,22.05,22.4,9620500
VSC,2025-11-20,22.3,22.8,21.9,22.35,7203100
VSC,2025-11-21,22.05,22.5,21.65,22.3,8469700
VSC,2025-11-24,22.4,22.75,22.25,22.25,4733700
VSC,2025-11-25,22.35,22.4,21.35,21.65,7736100
VSC,2025-11-26,22.1,23.15,21.0,23.15,14369800
VSC,2025-11-27,23.2,23.3,22.55,22.65,7516900
